H0 sigma
7.204143749171574029e+01 4.436983710341133929e+02
7.186072811015986872e+01 5.104250711355864496e+02
7.296027673236712019e+01 5.180321714034174647e+02
7.417045566592668138e+01 4.722160406179637562e+02
7.249736392722340383e+01 5.629041353832504910e+02
7.417960532132448748e+01 4.401874580945499815e+02
7.191059847150518181e+01 4.788657922509909781e+02
7.245971179896888259e+01 4.299842098139212112e+02
7.409909851107279621e+01 5.078772495601882611e+02
7.121244961941009421e+01 6.148070652924097885e+02
7.305567299169769058e+01 4.642682076453426703e+02
7.215642925945236641e+01 5.809351676296679443e+02
7.177069978454551347e+01 4.902097755952566445e+02
7.348428523340119511e+01 4.134934774164929081e+02
7.470264867886102422e+01 5.947451933177851515e+02
7.293842276842335082e+01 4.741871489477503019e+02
7.272324989626207525e+01 4.686970237110762696e+02
7.360052515701369202e+01 5.538564654843446533e+02
7.288860216252852808e+01 4.409129786415909393e+02
7.355921588659438726e+01 5.603559291269223195e+02
7.453902675393008792e+01 4.366126468449077720e+02
7.193893097836323136e+01 5.904278908766857512e+02
7.245227031852364519e+01 5.796756231729984847e+02
7.341050428243808312e+01 4.649783303340412886e+02
7.276708769773586027e+01 5.056049003601865479e+02
7.263700044533872813e+01 4.475365565956813612e+02
7.232498502108194316e+01 4.698961179745214736e+02
7.295175134792907556e+01 5.344718916787956005e+02
7.366495103482779427e+01 4.487000561771546927e+02
7.243341077215194446e+01 4.555352312606657392e+02
7.347399569478436376e+01 4.880934047004343483e+02
7.481919863033419915e+01 4.884018874747271752e+02
7.197603411599351375e+01 6.009425817086353163e+02
7.369243928770019636e+01 3.912525646433759903e+02
7.364933830022100381e+01 4.132551711921782385e+02
7.178899197155135425e+01 4.907273740182149595e+02
7.368719215786532573e+01 6.303954928074347208e+02
7.222793599778549378e+01 4.247157793961341099e+02
7.109713628831832466e+01 5.328159541614013506e+02
7.238470320778188238e+01 3.785643160871082387e+02
7.329037043876661528e+01 5.556052245733844757e+02
7.220637815875609533e+01 4.288956821378504287e+02
7.317931331941150574e+01 4.920244515820531319e+02
7.317830559985745253e+01 5.290751387003124364e+02
7.142099982429701299e+01 4.996103818571675106e+02
7.349967039204267394e+01 6.939461261506165783e+02
7.454670869717929804e+01 4.694150991821604180e+02
7.553548529053017546e+01 4.572981830906128948e+02
7.366614586287850841e+01 5.174890356724370122e+02
7.314079551279689895e+01 4.939289637589468498e+02
7.248409916952405752e+01 4.376541235963841814e+02
7.331665495925560094e+01 5.405432171988239816e+02
7.164344995045009057e+01 5.040010830169491669e+02
7.473841212651889521e+01 5.000245626449629981e+02
7.352525737207409406e+01 5.184009321767982783e+02
7.460423447229362637e+01 4.322490246550154893e+02
7.413990429888040978e+01 3.898545992140136605e+02
7.193905337331568717e+01 6.001723782435764178e+02
7.309668901795937757e+01 4.851010227821157628e+02
7.244894290173428431e+01 4.961104595996691842e+02
7.298711508274990933e+01 5.517382722631373326e+02
7.373517305562063484e+01 4.917010417913413676e+02
6.919643719384288261e+01 5.129998729305052620e+02
7.326324047246083637e+01 5.022830729255906590e+02
7.386166539095653150e+01 5.251801304288050005e+02
7.368722853580430865e+01 4.575796565623958827e+02
7.335047696000634687e+01 4.863262906131860177e+02
7.269633971759319024e+01 4.765421468159752862e+02
7.295691624913632722e+01 5.300360096942508790e+02
7.114802246383115403e+01 4.835598577945668239e+02
7.325601203650552407e+01 5.163092747284432562e+02
7.155896109709996722e+01 4.199332591909353027e+02
7.334261780600616021e+01 4.894965405863039791e+02
7.259446215689136750e+01 4.444687475290836574e+02
7.333516901089731732e+01 5.479944947669387147e+02
7.346010144739769032e+01 4.963269755377472165e+02
7.143620238897091212e+01 5.077268997744004082e+02
7.261404421162747269e+01 4.532859756557704713e+02
7.337894296554927109e+01 5.068339555223382717e+02
7.458812314783935449e+01 4.714086460370928648e+02
7.472992664736858615e+01 5.011492713537146528e+02
7.313785952135384605e+01 4.164986757357912666e+02
7.432355199768744569e+01 6.099065794644373000e+02
7.343424669121981196e+01 5.166349783053494775e+02
7.194322017155622007e+01 4.765506842269288086e+02
7.578954676638903720e+01 5.805907830236637892e+02
7.287942912094649728e+01 6.042982507622784851e+02
7.321936945189676749e+01 4.449475815523683764e+02
7.476534513573038510e+01 4.410025500454739813e+02
7.546378637843366732e+01 5.171828315421610114e+02
7.214416219713621103e+01 4.616091273842839087e+02
7.281783816070061732e+01 5.663810557939941646e+02
7.334137463855972783e+01 4.636847550136151312e+02
7.458101692213604395e+01 4.574254329354832294e+02
7.298939507097372825e+01 5.209684984691289173e+02
7.172520672331320668e+01 6.420604433288567634e+02
7.251641707752833099e+01 5.141820944981179764e+02
7.201401132079213596e+01 5.188529460012432537e+02
7.318188795489876952e+01 5.314928227554175919e+02
7.285160254185730366e+01 5.129422409561611857e+02
7.317995795580991114e+01 6.706292193414999474e+02
7.200276774275963021e+01 4.632710053059867050e+02
7.282102657625816278e+01 5.201440874563836587e+02
7.204143749171574029e+01 4.436983710341133929e+02
7.302285314666721661e+01 4.898243260494567153e+02
7.452298449518167445e+01 5.637621810298944638e+02
7.135913254992482280e+01 5.527114952747414236e+02
7.331831394648251887e+01 5.785652078139028163e+02
7.242440732025939099e+01 4.633588934129535346e+02
7.703058303746847457e+01 5.074711941712012617e+02
7.259662809702035702e+01 4.059832933611062913e+02
7.330888059287497072e+01 4.858891472809382890e+02
7.212113824139834151e+01 4.961349841490619497e+02
7.382930451347144185e+01 4.747405805622173602e+02
7.279445499595482261e+01 5.349511148154213060e+02
7.394373935035920908e+01 6.153726170800879345e+02
7.288803936425783547e+01 4.615398879362808771e+02
7.043521059466682743e+01 7.644707545423570991e+02
7.385753010118624218e+01 5.629558324439030912e+02
7.362297492893024753e+01 4.761953620796120958e+02
7.316165624314194815e+01 4.426704842521139085e+02
7.408539748133411251e+01 4.888764994203500578e+02
7.200276774275963021e+01 4.632710053059867050e+02
7.311754296070795078e+01 4.502872236502062151e+02
7.277385998802670031e+01 4.896547429002162062e+02
7.461965028209151285e+01 4.196500916726095056e+02
7.237977931060424908e+01 4.901207981848026520e+02
7.202169545060340283e+01 4.687118425994276549e+02
7.208131219182826044e+01 4.833504051852169141e+02
7.517154066812206281e+01 4.548103485974538671e+02
7.231824098940001022e+01 4.566643331344895955e+02
7.308577965751503314e+01 4.639517596246696485e+02
7.253781147290867182e+01 4.783366440677216929e+02
7.187371155124381517e+01 4.575377728189420736e+02
7.331831394648251887e+01 5.785652078139028163e+02
7.218948246062210217e+01 5.378975458748207075e+02
7.281233830360986303e+01 5.494443966939004440e+02
7.374734146713225869e+01 5.558314747556426028e+02
7.419639656149767859e+01 4.155521959280413284e+02
7.357036165810572470e+01 4.302054607574477245e+02
7.466299937272103193e+01 5.000948599870379212e+02
7.283832690028933143e+01 4.750553451215031942e+02
7.288860216252852808e+01 4.409129786415909393e+02
7.262735461362251499e+01 4.997015785859574635e+02
7.402803329042885139e+01 5.290441947683400485e+02
7.311645437068652598e+01 5.084792994162884270e+02
7.193924333566505425e+01 5.118883919708124495e+02
7.239800443853124534e+01 5.504940493297610828e+02
7.244894290173428431e+01 4.961104595996691842e+02
7.279981532058855009e+01 5.684516273650759786e+02
7.456148397627998747e+01 4.637859121476988662e+02
7.252527816989169196e+01 4.538408691605465606e+02
7.415038355803262959e+01 4.846804451040747495e+02
7.332965804176026836e+01 4.950814680444507871e+02
7.271119562868213393e+01 5.385034398890430793e+02
7.388210355164470400e+01 5.072190115876651930e+02
7.406038164161965653e+01 3.822776248277313584e+02
7.282178132670608761e+01 4.659778849076887468e+02
7.388207516211548409e+01 4.723935328537160103e+02
7.230366905614695838e+01 6.224281767728867862e+02
7.276377111459714797e+01 5.034293344114379920e+02
7.475328383161509294e+01 4.602147935069737628e+02
7.328973820616567991e+01 5.034122030197873414e+02
7.379844359445846180e+01 4.726313367744478455e+02
7.217113534915732487e+01 5.121595208232172354e+02
7.302356697815791620e+01 5.193650480066409045e+02
7.242486338339746510e+01 4.874202291245761103e+02
7.450949243284912882e+01 5.704994741640596203e+02
7.261360849671375206e+01 5.368405616829495557e+02
7.212483395918064843e+01 4.925485948105607577e+02
7.162200152916346951e+01 4.824566041713084132e+02
7.289817422059185503e+01 5.578974752079093378e+02
7.210198957652741569e+01 4.846822351264925715e+02
7.285160254185730366e+01 5.129422409561611857e+02
7.368003714676848404e+01 4.701884292949345081e+02
7.160971224197176355e+01 4.611609438754986172e+02
7.286507835389700460e+01 4.964845712893894643e+02
7.252965651321007101e+01 5.263117060800194622e+02
7.301805773307241054e+01 5.256845460178856229e+02
7.364876731334753401e+01 5.502044101491642323e+02
7.313785952135384605e+01 4.164986757357912666e+02
7.298964035221891322e+01 4.732091052335817380e+02
7.333052700203032259e+01 5.060400838909490631e+02
7.301287585807477853e+01 4.909024207581215364e+02
7.351190984161910080e+01 5.416361115421289014e+02
7.178899197155135425e+01 4.907273740182149595e+02
7.226146241125118763e+01 4.809564172996833236e+02
7.429917922158026045e+01 4.558989496921030309e+02
7.307467633430715637e+01 4.818006176504026143e+02
7.392620368793117791e+01 4.847762074211828462e+02
7.383798630933479501e+01 4.739755373965317631e+02
7.161951940280005147e+01 5.893016086144530163e+02
7.270405407481572979e+01 5.184105852831112315e+02
7.289817422059185503e+01 5.578974752079093378e+02
7.479484747387269294e+01 4.352104251731354339e+02
7.351594284565543092e+01 5.394163713670607194e+02
7.457861573408418110e+01 4.335374348882068603e+02
7.163497898004379749e+01 4.917919571349966077e+02
7.076154572928219011e+01 4.843439364178036044e+02
7.295691624913632722e+01 5.300360096942508790e+02
7.317446421020524383e+01 4.551207741464333481e+02
7.142906882459693918e+01 4.597969853901407760e+02
7.239357657803212476e+01 4.448973895506615577e+02
7.340694564946829814e+01 5.580256813745334057e+02
7.442687684931070180e+01 5.066150666779731182e+02
7.203127619816500271e+01 4.975249311960718046e+02
7.364049439175133216e+01 5.040927261516717408e+02
7.132450607854276825e+01 5.451640227292409691e+02
7.274186982284959413e+01 4.775123399215855784e+02
7.173458463427419929e+01 4.601734007816679650e+02
7.231736026478610313e+01 5.390062117435320488e+02
7.146929165495996017e+01 4.938199283217456355e+02
7.453722633418081500e+01 4.621393685369021682e+02
7.324452920181224158e+01 5.696355525958160797e+02
7.318188795489876952e+01 5.314928227554175919e+02
7.532095702765477085e+01 5.313973402276826619e+02
7.138900184789717684e+01 5.270307168347768538e+02
7.161052205714352681e+01 5.240595738363463170e+02
7.321230189219068052e+01 4.463583752543813716e+02
7.221870508590410509e+01 4.983378810841086874e+02
7.200015276618472626e+01 5.674262537849613182e+02
7.229082331934812089e+01 4.695671991935176948e+02
7.290148388479643415e+01 4.125528500789611144e+02
7.245726229969926635e+01 5.204579778829206589e+02
7.307644249293183236e+01 4.643693702946845860e+02
7.303877760955970189e+01 5.062005812042567072e+02
7.259669666141857647e+01 5.116924401132816911e+02
7.297570739365986014e+01 4.288706584333390310e+02
7.268549211868652549e+01 4.619214112932499461e+02
7.200697929308641676e+01 4.949693197976702663e+02
7.146929165495996017e+01 4.938199283217456355e+02
7.395897889731824648e+01 4.481968992174597588e+02
7.333449064406144657e+01 5.022428998124186705e+02
7.481919863033419915e+01 4.884018874747271752e+02
7.299674516773632149e+01 4.457832232612704502e+02
7.037098515393019227e+01 6.382711129174149391e+02
7.456148397627998747e+01 4.637859121476988662e+02
7.328038119268278194e+01 5.102620492157055878e+02
7.222039667835284149e+01 4.713424212850446793e+02
7.331831394648251887e+01 5.785652078139028163e+02
7.461965028209151285e+01 4.196500916726095056e+02
7.333658170894594264e+01 4.601407246789693772e+02
7.279445499595482261e+01 5.349511148154213060e+02
7.209180064782178476e+01 4.400142182799612556e+02
7.375656179716543193e+01 5.098203243871467976e+02
7.299323509237895280e+01 4.499859216428372974e+02
7.409354340310716225e+01 4.808448246956489243e+02
7.457984552792095201e+01 4.725934860420702535e+02
7.195439573228497920e+01 4.568076776341463301e+02
7.322242348465073292e+01 4.080639651046407153e+02
7.222625621528828788e+01 5.275609524308870277e+02
7.426911167069201269e+01 5.188520203070114576e+02
7.318128282605073309e+01 4.643511168575934676e+02
7.212089082692754971e+01 5.394386401649924210e+02
7.116165375220572287e+01 5.047649541601405190e+02
7.229853071541677423e+01 5.364583603681236355e+02
7.196041515111295439e+01 5.888521466018905812e+02
7.250467482842880429e+01 5.493002950321199478e+02
7.557316663048649730e+01 5.956944799784305360e+02
7.274525200478601050e+01 4.122283639974851326e+02
7.277289890756939883e+01 4.716242761181800915e+02
7.197603411599351375e+01 6.009425817086353163e+02
7.278574149570779639e+01 4.666601463475170704e+02
7.189516217207084026e+01 5.457071864196445858e+02
7.087230654009916009e+01 4.996943443347638549e+02
7.344304864262868193e+01 4.287595580876809436e+02
7.389526020800951756e+01 5.484086231505846172e+02
7.255292757521075941e+01 5.017415561194500242e+02
7.290204810529451152e+01 4.583921581919377104e+02
7.253509020112832673e+01 4.908282399761312718e+02
7.298292734455179698e+01 4.084226213878133649e+02
7.021563860334491380e+01 5.885927437185778217e+02
7.290148388479643415e+01 4.125528500789611144e+02
7.181219073003711628e+01 5.078795975649073853e+02
7.403553698806187811e+01 4.996240783631864133e+02
7.403273680074509855e+01 4.861321066102446480e+02
7.276105542826672945e+01 5.377948650161827118e+02
7.329917504119718785e+01 5.773934041823129064e+02
7.296831894342611236e+01 4.377579908387851333e+02
7.351190984161910080e+01 5.416361115421289014e+02
7.356515703886597635e+01 5.426252100382396293e+02
7.089600820510310086e+01 4.576860446210495184e+02
7.218948246062210217e+01 5.378975458748207075e+02
7.295587382877531013e+01 5.235583291688747067e+02
7.347183550724193424e+01 5.489512988080663263e+02
7.351594284565543092e+01 5.394163713670607194e+02
7.269587507395570469e+01 4.602080027115181338e+02
7.378608529831011253e+01 5.506919976891558690e+02
7.288860216252852808e+01 4.409129786415909393e+02
7.369964742480638620e+01 5.096784796072756194e+02
7.426078263213793207e+01 5.119186140925158952e+02
7.209602124436264603e+01 4.501498246821150815e+02
7.403273680074509855e+01 4.861321066102446480e+02
7.146804770944490315e+01 5.869316454309773690e+02
7.204597405024551904e+01 5.232640446818298869e+02
7.334430683007072105e+01 5.414769725753169496e+02
7.530726676402900921e+01 5.095851102999297382e+02
7.284448840545300641e+01 4.762586195360236729e+02
7.254024420148337526e+01 4.844827478329999053e+02
7.272663813131529764e+01 4.508348367417920031e+02
7.343092495656989627e+01 4.176971194795713131e+02
7.177770083273050261e+01 4.993168536738709804e+02
7.338631483796160637e+01 4.727714865103290549e+02
7.385012001557588235e+01 4.553689871907270117e+02
7.212748004510943645e+01 4.823146712857803209e+02
7.425147043887038478e+01 4.821771789462450784e+02
7.253165144531730846e+01 4.549206286390783589e+02
7.411495128987547787e+01 4.713455376033644484e+02
7.210849266598867757e+01 4.098360139340245496e+02
7.324884263242786631e+01 4.893176264882480950e+02
7.494731571972168638e+01 4.953962558413471129e+02
7.249722221506083031e+01 5.207627988910701333e+02
7.248409916952405752e+01 4.376541235963841814e+02
7.308756161060436796e+01 5.952208058654418892e+02
7.488720001306211316e+01 4.992312023788310853e+02
7.208615406428211259e+01 5.916180712169286835e+02
7.305145702328573520e+01 5.130106946479597809e+02
7.272143288195947264e+01 4.178349985568445959e+02
7.300177434263289911e+01 5.757241931324768984e+02
7.326607439325601945e+01 4.577512900959765147e+02
7.192554125534233833e+01 4.888603805042225758e+02
7.357036165810572470e+01 4.302054607574477245e+02
7.421541052345497747e+01 3.909449856479762389e+02
7.350806328479816898e+01 4.453082919431003575e+02
