logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.922854305896832557e+03 -5.928847020183523455e+03 1.655000000000000027e+00
-5.928847020183523455e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.874760411326359645e+03 -4.880755625613051052e+03 2.849999999999999756e-01
-4.880755625613051052e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.972253504311528104e+03 -3.978251218598219566e+03 8.000000000000000167e-02
-3.978251218598219566e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.908690917417971377e+03 -2.914691131704662894e+03 1.979999999999999982e+00
-2.914691131704662894e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -2.624160559425902193e+03 -2.630163273712593309e+03 1.149999999999999911e+00
-2.630163273712593309e+03 nan -1.250000000000000069e-02 4.000000000000000000e+02 -2.470734879224005908e+03 -2.476740093510697079e+03 1.610000000000000098e+00
-2.476740093510697079e+03 nan -1.500000000000000118e-02 4.000000000000000000e+02 -2.456652694389084900e+03 -2.462660408675776125e+03 8.100000000000000533e-01
-2.462660407907936587e+03 1.240753925495027943e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -2.388114518793192474e+03 -2.394124733079883754e+03 6.350000000000000089e-01
-2.394124733079883754e+03 3.632692248464731222e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -2.327529943795689633e+03 -2.333542658082380967e+03 1.334999999999999964e+00
-2.333542658082380967e+03 4.056797915861557868e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.888362310926927421e+03 -1.894377525213618810e+03 2.500000000000000139e-02
-1.894377525213618810e+03 2.314300783785007525e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.873738736804778227e+03 -1.879756451091469444e+03 1.250000000000000000e+00
-1.879756450644633560e+03 1.948818888589707399e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.674345613095543740e+03 -1.680365827382235011e+03 1.695000000000000062e+00
-1.680365827382235011e+03 1.878192481311867823e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -1.502503143074990248e+03 -1.508525857361681574e+03 2.999999999999999889e-02
-1.508525857361681574e+03 1.154331843725031064e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.452404565123087650e+03 -1.458429779409779030e+03 2.000000000000000000e+00
-1.458429779409779030e+03 6.159238248291731566e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.433534326865610637e+03 -1.439562041152301845e+03 1.864999999999999991e+00
-1.439562041145906733e+03 6.765543075050150890e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.340231799869310635e+03 -1.346262014156001896e+03 1.879999999999999893e+00
-1.346262014156001896e+03 9.399275390495557758e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.305033551695371216e+03 -1.311066265982062532e+03 8.999999999999999667e-02
-1.311066265982062532e+03 3.585648552103687337e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.272246133422493131e+03 -1.278281347709184502e+03 5.949999999999999734e-01
-1.278281347709184502e+03 4.690954824336343165e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.229873224941727585e+03 -1.235910939228419011e+03 1.419999999999999929e+00
-1.235910939228419011e+03 1.163770367475470913e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.166297304248153068e+03 -1.172337518534844321e+03 9.250000000000000444e-01
-1.172337518534844321e+03 3.171382997903858225e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.131793200812149053e+03 -1.137835915098840360e+03 6.600000000000000311e-01
-1.137835915098840360e+03 2.884628768813745836e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -1.114463064747361841e+03 -1.120508279034053203e+03 9.050000000000000266e-01
-1.120508279004219730e+03 3.227646448944580015e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.088214720191997458e+03 -1.094262434478688874e+03 5.250000000000000222e-01
-1.094262434478684781e+03 1.183160328851266208e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.074674867064861701e+03 -1.080725081351552944e+03 4.349999999999999978e-01
-1.080725080030859772e+03 3.987142929228114419e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -1.045710470399850237e+03 -1.051763184686541535e+03 9.949999999999999956e-01
-1.051763184686541308e+03 1.260235322682822989e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -9.736135747616656317e+02 -9.796687890483569845e+02 4.849999999999999867e-01
-9.796687890483569845e+02 4.174349580179027441e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -9.664442812237452927e+02 -9.725019955104365863e+02 1.169999999999999929e+00
-9.725012240146215845e+02 3.421222614809563112e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -9.555164317902832636e+02 -9.615766460769746118e+02 1.090000000000000080e+00
-9.615766280670384276e+02 6.278130614412537724e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -9.401358895923740420e+02 -9.461986038790653311e+02 1.159999999999999920e+00
-9.461986036694568156e+02 7.732638854644497073e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -9.299688242184826095e+02 -9.360340385051739531e+02 8.349999999999999645e-01
-9.360339999948585046e+02 9.355298707275567338e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -9.227640230227015081e+02 -9.288317373093927927e+02 2.800000000000000266e-01
-9.288309926882626542e+02 8.671142587994133066e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -9.057576221525563369e+02 -9.118278364392476760e+02 9.250000000000000444e-01
-9.118278363979787855e+02 1.335110756498243667e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -8.924803051295587011e+02 -8.985530194162499811e+02 1.965000000000000080e+00
