weight logl H0 sigma
0.000000000000000000e+00 -5.922854305896832557e+03 9.728649276182051153e+01 1.075354850516098395e+02
0.000000000000000000e+00 -4.874760411326359645e+03 9.378653002176852738e+01 1.035309613055614477e+02
0.000000000000000000e+00 -3.972253504311528104e+03 5.047231402053099458e+01 1.254328937685182979e+02
0.000000000000000000e+00 -2.908690917417971377e+03 5.178622442335923637e+01 1.411289563195651908e+02
0.000000000000000000e+00 -2.624160559425902193e+03 5.091738666959214044e+01 1.550805572450769887e+02
0.000000000000000000e+00 -2.470734879224005908e+03 9.981358236188884803e+01 1.903479888249747773e+02
0.000000000000000000e+00 -2.456652694389084900e+03 9.203534393127992530e+01 1.396723538160681528e+02
0.000000000000000000e+00 -2.388114518793192474e+03 9.915393410159313703e+01 1.896445442148958875e+02
0.000000000000000000e+00 -2.327529943795689633e+03 9.915769233412972028e+01 1.925300538859291350e+02
0.000000000000000000e+00 -1.888362310926927421e+03 9.118488225749470644e+01 1.566438775523407116e+02
0.000000000000000000e+00 -1.873738736804778227e+03 5.277585063929033282e+01 1.746703272862762333e+02
0.000000000000000000e+00 -1.674345613095543740e+03 5.307435721584131016e+01 1.847245223606067270e+02
0.000000000000000000e+00 -1.502503143074990248e+03 6.029096301630392674e+01 1.363396146956203552e+02
0.000000000000000000e+00 -1.452404565123087650e+03 8.905801500692564332e+01 1.658054115859013677e+02
0.000000000000000000e+00 -1.433534326865610637e+03 9.032218198372230233e+01 1.783884238835176177e+02
0.000000000000000000e+00 -1.340231799869310635e+03 8.616210609058188652e+01 1.487070187064745426e+02
0.000000000000000000e+00 -1.305033551695371216e+03 9.160223500530045726e+01 2.020390317700337164e+02
0.000000000000000000e+00 -1.272246133422493131e+03 8.861356168344590856e+01 1.767201696444315644e+02
0.000000000000000000e+00 -1.229873224941727585e+03 9.623820266428215575e+01 2.577374159149708248e+02
0.000000000000000000e+00 -1.166297304248153068e+03 9.843885617111723718e+01 2.914493864465831052e+02
0.000000000000000000e+00 -1.131793200812149053e+03 9.544040655946875518e+01 2.646423819681025407e+02
3.129905866404296857e-320 -1.114463064747361841e+03 5.450477766868056761e+01 2.268536591624344396e+02
7.833249216555693871e-309 -1.088214720191997458e+03 9.255017132569980731e+01 2.399203823395893949e+02
5.931160912747565381e-303 -1.074674867064861701e+03 8.384504082308185957e+01 1.498717836508773757e+02
