weight logl H0 sigma
0.000000000000000000e+00 -5.922854305896832557e+03 9.457298552364103994e-01 5.382489322578454249e-03
0.000000000000000000e+00 -4.874760411326359645e+03 8.757306004353705431e-01 2.522115218258180747e-03
0.000000000000000000e+00 -3.972253504311528104e+03 9.446280410619900536e-03 1.816635269179878165e-02
0.000000000000000000e+00 -2.908690917417971377e+03 3.572448846718467852e-02 2.937782594254656487e-02
0.000000000000000000e+00 -2.624160559425902193e+03 1.834773339184281316e-02 3.934325517505499192e-02
0.000000000000000000e+00 -2.470734879224005908e+03 9.962716472377769472e-01 6.453427773212483398e-02
0.000000000000000000e+00 -2.456652694389084900e+03 8.407068786255983417e-01 2.833739558290582217e-02
0.000000000000000000e+00 -2.388114518793192474e+03 9.830786820318625496e-01 6.403181729635420982e-02
0.000000000000000000e+00 -2.327529943795689633e+03 9.831538466825944234e-01 6.609289563280651425e-02
0.000000000000000000e+00 -1.888362310926927421e+03 8.236976451498939644e-01 4.045991253738623339e-02
0.000000000000000000e+00 -1.873738736804778227e+03 5.551701278580667420e-02 5.333594806162589297e-02
0.000000000000000000e+00 -1.674345613095543740e+03 6.148714431682622550e-02 6.051751597186194598e-02
0.000000000000000000e+00 -1.502503143074990248e+03 2.058192603260785569e-01 2.595686763972882005e-02
0.000000000000000000e+00 -1.452404565123087650e+03 7.811603001385128975e-01 4.700386541850098965e-02
0.000000000000000000e+00 -1.433534326865610637e+03 8.064436396744461000e-01 5.599173134536972185e-02
0.000000000000000000e+00 -1.340231799869310635e+03 7.232421218116377171e-01 3.479072764748181168e-02
0.000000000000000000e+00 -1.305033551695371216e+03 8.320447001060091718e-01 7.288502269288121838e-02
0.000000000000000000e+00 -1.272246133422493131e+03 7.722712336689183665e-01 5.480012117459398535e-02
0.000000000000000000e+00 -1.229873224941727585e+03 9.247640532856431506e-01 1.126695827964077079e-01
0.000000000000000000e+00 -1.166297304248153068e+03 9.687771234223445660e-01 1.367495617475593672e-01
0.000000000000000000e+00 -1.131793200812149053e+03 9.088081311893752012e-01 1.176017014057875176e-01
3.129905866404296857e-320 -1.114463064747361841e+03 9.009555337361130345e-02 9.060975654459602069e-02
7.833249216555693871e-309 -1.088214720191997458e+03 8.510034265139961862e-01 9.994313024256384903e-02
5.931160912747565381e-303 -1.074674867064861701e+03 6.769008164616371337e-01 3.562270260776956299e-02
2.244562039135741493e-290 -1.045710470399850237e+03 1.046697237325440177e-01 9.245710267984874609e-02
4.584899447621142754e-259 -9.736135747616656317e+02 2.228129466314698881e-02 1.374586500628467434e-01
5.940577991934332599e-256 -9.664442812237452927e+02 2.467600088827629490e-01 4.464572072266426161e-02
3.301016337682586841e-251 -9.555164317902832636e+02 8.411801606464066605e-01 1.134016859283877299e-01
1.574876645862130881e-244 -9.401358895923740420e+02 1.797892069296314066e-01 7.408992866366181929e-02
4.089415094049305371e-240 -9.299688242184826095e+02 6.814457200166301742e-01 4.949435298130488992e-02
5.490107672668834621e-237 -9.227640230227015081e+02 3.017253227899474588e-02 1.429757794381919522e-01
1.331316089622048689e-229 -9.057576221525563369e+02 2.491713921204368187e-01 4.962123041335875229e-02
7.752842513518841223e-224 -8.924803051295587011e+02 1.648164372286479162e-01 8.680129931639224417e-02
3.905267901421527591e-208 -8.563221768080553602e+02 2.676350981991987288e-01 4.762397260747430749e-02
4.556884337094434883e-194 -8.239291727612055638e+02 9.118761142150541010e-01 1.736276103017982964e-01
2.656024182913417845e-193 -8.221638964622152344e+02 2.186147601050224543e-01 7.298289274820091155e-02
5.282049540249610707e-190 -8.145661573269171640e+02 8.860280843031316245e-01 1.627063976689073765e-01
8.077780303914410121e-185 -8.026259289349183064e+02 3.697009953450176578e-01 1.721055171589991328e-02
9.641437688317991122e-169 -7.656051143316486787e+02 8.567293260076325190e-02 1.507882399434165022e-01
7.923714138352440730e-163 -7.519833139562160795e+02 9.199258713158813272e-01 2.000224947061588487e-01
1.565785223339875988e-156 -7.374841909197050427e+02 7.175095356899555687e-01 9.340325604682020444e-02
1.483796590933600193e-148 -7.191147935468220567e+02 7.797375197928443358e-01 1.310707807135496061e-01
3.244187039114365854e-148 -7.183300328225371914e+02 9.453894717771917922e-01 2.281725231348792349e-01
5.636256631327380176e-141 -7.016570818358081851e+02 3.879398715567478062e-01 2.281349165866997097e-02
