H0 sigma epsilon tau
6.957570933589586559e+01 7.431026022816580507e+02 2.001877281013355325e-01 3.148230602826287949e+01
7.315230516217653189e+01 4.248897799044784733e+02 1.334406964812735186e-01 1.996560179417496883e+01
7.289229459448279158e+01 5.067004484834903906e+02 1.887938974386134394e-01 3.110833686095742934e+01
7.195335267474226271e+01 5.221149295772422647e+02 2.289526466565800777e-01 2.098795999662373646e+01
7.055865840674314882e+01 3.754618720344465146e+02 1.589495829459171838e-01 2.281356973452195191e+01
7.194670054126028447e+01 4.425605374052852881e+02 1.885089541811143243e-01 2.691568082115973937e+01
7.262982186113003991e+01 4.556550673098734023e+02 2.048266386843624887e-01 3.927202463003123256e+01
7.191228427740099960e+01 5.914770768995365415e+02 1.274858622100821237e-01 3.313912151036956288e+01
7.225674138725841544e+01 4.591588144212543625e+02 1.115285652267229005e-01 3.148252776545595921e+01
7.069115591839336332e+01 5.120933366103749904e+02 1.391120400777199617e-01 3.013489111858259051e+01
7.150588945016841080e+01 4.565516987311475532e+02 1.303400898468100866e-01 2.803406195428879144e+01
7.084875914122606844e+01 3.577275693570562680e+02 1.695948850035235156e-01 3.650490125658233609e+01
7.336388153077024299e+01 4.071810986520732172e+02 1.139353461496776659e-01 2.269694728798743100e+01
7.146914556377367944e+01 4.251703606803761772e+02 7.210833632546763405e-02 4.680816758440786884e+01
7.188821276921754588e+01 4.476302157248473463e+02 7.883721556890974091e-02 3.121653092108630645e+01
7.087047997798829613e+01 4.017189151260718063e+02 1.817081405997136856e-01 2.960032504771621831e+01
7.375044989092579328e+01 4.179947642647250632e+02 7.054444950429755723e-02 2.774985966670746507e+01
7.184702795144852416e+01 6.421036947816924112e+02 1.160163655896169627e-01 2.127058624858671010e+01
7.381402440945377919e+01 4.407708197698492540e+02 1.161180038195728792e-01 3.221855678244464372e+01
7.015666023915694893e+01 5.776556247547410976e+02 1.488298402905232354e-01 3.804439904053517552e+01
7.398493227416517470e+01 4.327372891825630177e+02 1.871173444141677189e-01 2.371943463678226749e+01
7.221781664742962903e+01 5.548974748501234444e+02 1.126939745308151164e-01 4.651522571169100218e+01
7.265377796448487402e+01 4.347846399905292287e+02 5.371867556087817769e-02 4.325758419842062352e+01
7.185994726399546551e+01 4.638807098745111261e+02 2.317354823897341543e-01 2.127648091983459722e+01
7.128635442493666119e+01 4.910215813036149939e+02 9.243838163605487546e-02 3.018744385810891018e+01
7.292361692935288886e+01 4.612088178353699846e+02 2.118460753819168263e-01 2.933496483572152869e+01
7.198357624603707450e+01 4.495596837763851568e+02 1.045917117169303384e-01 2.717093808946124511e+01
7.193837216141427859e+01 5.223811408182961031e+02 1.059738377532887244e-01 3.556794752683212835e+01
7.307824798026608448e+01 4.164732733003524459e+02 1.369971032382105991e-01 3.450894801476211171e+01
6.974887229684266288e+01 5.908255154696853424e+02 1.524696437374703506e-01 3.227347558559732477e+01
7.120793507262172284e+01 4.288595990804769258e+02 1.112185725987452217e-01 3.685215628522357889e+01
7.334677956688420863e+01 4.850798310631579966e+02 5.955642927352652882e-02 3.906874170461877327e+01
