logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.519207453067246206e+03 -3.525200167353937559e+03 1.854999999999999982e+00
-3.525200167353937559e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.703999966378580666e+03 -2.709995180665272073e+03 2.399999999999999911e-01
-2.709995180665272073e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -8.153811445422966244e+02 -8.213788588289879726e+02 5.999999999999999778e-02
-8.213788588289879726e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.551630859332559567e+02 -7.611633002199472458e+02 1.489999999999999991e+00
-7.611633002199472458e+02 nan -1.000000000000000021e-02 4.000000000000000000e+02 -7.091407071398117523e+02 -7.151434214265030960e+02 3.499999999999999778e-01
-7.151434214265030960e+02 1.307387990314392390e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -6.473690208694753210e+02 -6.533742351561666055e+02 1.215000000000000080e+00
-6.533742351561666055e+02 3.674491990725028501e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -6.437769130266490265e+02 -6.497846273133403656e+02 5.849999999999999645e-01
-6.497573924176004994e+02 2.299818524404066977e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -6.212971845367275137e+02 -6.273073988234187937e+02 3.099999999999999978e-01
-6.273073988232408738e+02 1.220246474109480062e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -6.145000606453041883e+02 -6.205127749319955228e+02 9.050000000000000266e-01
-6.205116557794319760e+02 1.181210453502935209e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -6.104152318244672415e+02 -6.164304461111585169e+02 5.749999999999999556e-01
-6.164137000862082232e+02 3.046464101067757557e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -6.010590461076744759e+02 -6.070767603943658060e+02 1.774999999999999911e+00
-6.070766722895835983e+02 6.703242490951397237e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -6.003816375735810880e+02 -6.064018518602723589e+02 4.249999999999999889e-01
-6.059902404405710286e+02 2.881915568768291358e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -5.898393823133287697e+02 -5.958620966000200951e+02 7.550000000000000044e-01
-5.958620566612813718e+02 6.766968726927945710e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -5.897231636964997961e+02 -5.957483779831910624e+02 1.245000000000000107e+00
-5.951104556554869305e+02 6.868168586554395993e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -5.866259817869291737e+02 -5.926536960736204946e+02 8.050000000000000488e-01
-5.925714598550243863e+02 6.447846802398448318e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -5.866012504949117101e+02 -5.926314647816029719e+02 1.350000000000000089e-01
-5.919078651313579940e+02 8.885557809133282081e-01 -4.000000000000000083e-02 4.000000000000000000e+02 -5.861451143098948933e+02 -5.921778285965862096e+02 1.320000000000000062e+00
-5.913406171799099411e+02 7.807827742100541535e-01 -4.250000000000000305e-02 4.000000000000000000e+02 -5.787019130318166162e+02 -5.847371273185078735e+02 4.550000000000000155e-01
-5.847357726077269717e+02 3.210067659813824470e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -5.757903159028430764e+02 -5.818280301895343882e+02 2.300000000000000100e-01
-5.817748697297831768e+02 2.962184351645989810e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -5.754262587401869951e+02 -5.814664730268783615e+02 1.499999999999999944e-01
-5.809156824480596697e+02 3.068946254294751430e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -5.753158266928934381e+02 -5.813585409795847454e+02 1.639999999999999902e+00
-5.804196468283220156e+02 6.092703817994254978e-01 -5.250000000000001193e-02 4.000000000000000000e+02 -5.751682611047895080e+02 -5.812134753914808698e+02 1.955000000000000071e+00
-5.800466287827350698e+02 5.375082744613062236e-01 -5.500000000000001416e-02 4.000000000000000000e+02 -5.747050488258128098e+02 -5.807527631125041125e+02 1.754999999999999893e+00
-5.796454740108222268e+02 5.153148992510175885e-01 -5.750000000000001638e-02 4.000000000000000000e+02 -5.739209924887279612e+02 -5.799712067754193185e+02 1.100000000000000006e-01
-5.791019887052192416e+02 3.794933282570618349e-01 -6.000000000000001860e-02 4.000000000000000000e+02 -5.676341216206212721e+02 -5.736868359073125703e+02 1.620000000000000107e+00
-5.736823971153269213e+02 3.137804380511205249e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -5.644099713000210841e+02 -5.704651855867124368e+02 1.350000000000000089e-01
