weight logl H0 sigma epsilon tau
0.000000000000000000e+00 -3.519207453067246206e+03 5.253940023049856478e+01 1.423429557411538440e+02 2.189503547732572497e-01 8.989565634673513106e-01
0.000000000000000000e+00 -2.703999966378580666e+03 5.926581214893098348e+01 1.399978457563660470e+02 1.067545273440601017e-02 3.562572241136430229e-02
9.076519870665449092e-181 -8.153811445422966244e+02 5.013915553877584586e+01 2.006429069098358013e+02 3.829096958741110002e-01 7.810221291539337862e+00
1.285891102755383392e-154 -7.551630859332559567e+02 6.893526271290478746e+01 2.516869780237741736e+02 5.521299339031051495e-02 6.964503869251792434e-01
1.245614368348144774e-134 -7.091407071398117523e+02 9.269206488831184743e+01 1.838770998650682316e+02 1.271983047296006489e-03 2.125928674882650071e+01
8.344500751370638821e-108 -6.473690208694753210e+02 9.501179410288611393e+01 1.521508467143130474e+02 1.446534049226478637e-02 4.384924849754145271e+01
3.022367262502153199e-106 -6.437769130266490265e+02 9.780778562651049413e+01 1.094576265009919780e+02 1.532888945675601848e-02 2.812459773856800638e+01
1.746158000326150298e-96 -6.212971845367275137e+02 9.527725602820370909e+01 2.686764343461825888e+02 7.988139000135206086e-03 1.960142528546368013e+01
1.559377274424611455e-93 -6.145000606453041883e+02 8.516574454732713662e+01 1.752785527905710694e+02 2.693580399321724231e-03 2.032230186588857634e+01
9.244513924633105566e-92 -6.104152318244672415e+02 5.148588565087578672e+01 1.318769402644699937e+02 2.246819397820854630e-02 4.391081714952041182e+01
1.066935518711854787e-87 -6.010590461076744759e+02 9.586364755632509116e+01 3.630409323016314147e+02 7.680303731131076124e-03 3.177712072363281948e+01
2.095304884257893246e-87 -6.003816375735810880e+02 9.704372574897428194e+01 2.438828874204168073e+02 2.608565054121318380e-02 1.266424568200379497e+01
7.917804521693280484e-83 -5.898393823133287697e+02 9.814683973882671353e+01 5.681955750187230478e+02 2.588414991725886821e-02 3.680258847718281601e+00
8.871399628310686299e-83 -5.897231636964997961e+02 9.806672067046525854e+01 1.423593619185695616e+02 4.765800877643901201e-02 3.223021129901593440e+01
1.958824015242820851e-81 -5.866259817869291737e+02 8.806419871039014424e+01 1.858875823543304762e+02 1.358479756191160320e-02 2.334199977634901657e+01
2.002858866153030080e-81 -5.866012504949117101e+02 5.485695315618545465e+01 1.438627657270526186e+02 2.303557381150752453e-02 4.935162167217193030e+01
3.152550406133279056e-81 -5.861451143098948933e+02 9.628588128866783791e+01 3.006863642339799298e+02 2.626793433093852284e-02 3.702503842534685674e+01
5.371771686372202564e-78 -5.787019130318166162e+02 6.319088694581409982e+01 2.163513232234390671e+02 1.953372340669188700e-03 1.150859188852317772e+01
9.851954018888802425e-77 -5.757903159028430764e+02 8.991284801692080464e+01 1.900536259238535877e+02 2.528815745144301352e-02 1.671666653189289420e+01
1.414310145771448778e-76 -5.754262587401869951e+02 5.318150311908730998e+01 1.775367114303865037e+02 3.715303024613201416e-02 2.252773867706132194e+01
1.575501965913813598e-76 -5.753158266928934381e+02 6.314058086879462905e+01 3.866646401852261761e+02 1.986614211445819622e-01 2.440447952735041781e+00
1.821462077957706638e-76 -5.751682611047895080e+02 9.051861874794431628e+01 2.104777118814575374e+02 3.242967991000253458e-02 3.638362860317430147e+01
2.887386584837524299e-76 -5.747050488258128098e+02 5.003493590360466925e+01 1.777859285745815043e+02 4.632971506138509193e-02 3.458337506025529251e+01
6.308564370983684332e-76 -5.739209924887279612e+02 8.712030881522804293e+01 1.867545463378442037e+02 1.600228587734166610e-02 1.269400521438778284e+01
3.382190996508064191e-73 -5.676341216206212721e+02 5.038632487552003880e+01 4.440754979730563718e+02 6.481896167705634981e-03 4.926652612647279739e+01
8.478969751999761693e-72 -5.644099713000210841e+02 9.386592586935699956e+01 1.364984467837616933e+02 7.501717450759261274e-02 3.146847620578065374e+01
3.877788261307897887e-71 -5.628872102025831055e+02 9.171805888196689693e+01 3.546610059091934772e+02 1.254160154307634722e-02 3.215964360902406582e+01
1.002600377774862540e-70 -5.619347930623042657e+02 9.178809135401158414e+01 2.797699827447619327e+02 2.411443855554924395e-02 2.490221086520958949e+01
1.386518754024533435e-69 -5.593055088598077873e+02 9.978430152381051244e+01 5.170190642724768395e+02 2.325655498817552277e-02 4.338366772259956150e+01
