weight logl H0 sigma epsilon tau
0.000000000000000000e+00 -3.519207453067246206e+03 5.078800460997123789e-02 3.024496838653845110e-02 8.918297694939759657e-01 1.797913126934702621e-02
0.000000000000000000e+00 -2.703999966378580666e+03 1.853162429786197052e-01 2.856988982597574722e-02 9.207690198875628784e-02 7.125144482272860458e-04
9.076519870665449092e-181 -8.153811445422966244e+02 2.783110775516961510e-03 7.188779064988271017e-02 9.870240696858896268e-01 1.562044258307867528e-01
1.285891102755383392e-154 -7.551630859332559567e+02 3.787052542580957581e-01 1.083478414455529837e-01 4.002017321265792793e-01 1.392900773850358487e-02
1.245614368348144774e-134 -7.091407071398117523e+02 8.538412977662369618e-01 5.991221418933445619e-02 1.138977409627739412e-02 4.251857349765300054e-01
8.344500751370638821e-108 -6.473690208694753210e+02 9.002358820577220921e-01 3.725060479593789164e-02 1.229040204948667059e-01 8.769849699508290852e-01
3.022367262502153199e-106 -6.437769130266490265e+02 9.561557125302098115e-01 6.755447500708555708e-03 1.297966190337038750e-01 5.624919547713601586e-01
1.746158000326150298e-96 -6.212971845367275137e+02 9.055451205640739909e-01 1.204831673901304301e-01 6.963838589621951236e-02 3.920285057092736114e-01
1.559377274424611455e-93 -6.145000606453041883e+02 7.033148909465428700e-01 5.377039485040790989e-02 2.398266507249369184e-02 4.064460373177715136e-01
9.244513924633105566e-92 -6.104152318244672415e+02 2.971771301751569005e-02 2.276924304604999172e-02 1.849615962618509357e-01 8.782163429904082941e-01
1.066935518711854787e-87 -6.010590461076744759e+02 9.172729511265017566e-01 1.878863802154510099e-01 6.703681940254335725e-02 6.355424144726563584e-01
2.095304884257893246e-87 -6.003816375735810880e+02 9.408745149794857099e-01 1.027734910145834402e-01 2.117084300713011347e-01 2.532849136400758816e-01
7.917804521693280484e-83 -5.898393823133287697e+02 9.629367947765342661e-01 3.344254107276593002e-01 2.102393533903894607e-01 7.360517695436563645e-02
8.871399628310686299e-83 -5.897231636964997961e+02 9.613344134093053661e-01 3.025668708469253509e-02 3.556283789535322759e-01 6.446042259803187457e-01
1.958824015242820851e-81 -5.866259817869291737e+02 7.612839742078028049e-01 6.134827311023605123e-02 1.158258530024207644e-01 4.668399955269803003e-01
2.002858866153030080e-81 -5.866012504949117101e+02 9.713906312370901297e-02 3.133054694789472183e-02 1.892093123515417030e-01 9.870324334434386060e-01
