H0 sigma
7.382998960884043527e+01 1.062134249878148239e+03
7.942403451812272408e+01 1.214597820392886888e+03
7.257430587016216350e+01 9.694313095518035652e+02
7.715233713453309861e+01 9.387224884393793900e+02
7.489851673617995687e+01 1.215746711404933876e+03
7.759841216333722969e+01 1.033270616513737423e+03
7.161861157431927438e+01 1.049672311215099171e+03
7.457469308884634529e+01 1.020232016024330619e+03
7.876109956575476190e+01 9.798786388109137988e+02
6.925809248624211989e+01 1.008690950327304790e+03
7.502994125119120383e+01 1.118399823561827134e+03
7.609595320532068286e+01 9.608830558898318941e+02
7.671366646694309566e+01 8.592410633543793210e+02
7.418366541095272737e+01 1.036517677403669495e+03
7.831061503204308849e+01 1.044010457752598541e+03
7.545072726634566607e+01 1.035475111572680362e+03
7.250217119906035634e+01 1.048706715977117256e+03
7.383819719480197818e+01 1.014401083515345704e+03
7.818451367515970674e+01 1.198725069798493450e+03
7.710761990946552658e+01 1.137152087659040262e+03
7.904622348497737505e+01 1.123994022806009525e+03
7.475092448331123762e+01 1.132675797010880615e+03
7.207447400619359712e+01 9.872128112615757800e+02
7.759841216333722969e+01 1.033270616513737423e+03
7.557480890673980412e+01 9.859667410560546159e+02
6.902388658848636283e+01 9.805613009693482809e+02
7.258918845165456446e+01 1.043234124352041363e+03
7.629015055432077475e+01 9.580083893621424522e+02
7.375123399303022609e+01 1.081102717904261226e+03
6.943274219897102739e+01 1.203579865045642919e+03
7.276750437902137492e+01 9.568287682377429064e+02
7.892164506592415307e+01 1.018864634733052526e+03
7.506971954265739555e+01 1.110884031536812472e+03
7.363756308915793625e+01 1.047892875243733670e+03
7.260953738589897455e+01 9.411070791949244949e+02
7.800977323746784009e+01 1.094949854012070091e+03
7.107641655390739288e+01 1.015216746497017539e+03
7.535457679504617090e+01 8.938567330953953842e+02
7.525165065386863716e+01 1.195568535641968083e+03
7.286392912083714180e+01 9.651991626510157403e+02
7.505723553339777254e+01 9.094609941860649087e+02
7.818870641921321862e+01 8.964565299546997039e+02
7.494424875549341891e+01 1.056983877413400933e+03
7.485231227385190778e+01 9.732045334951911855e+02
7.334934518699907358e+01 1.025547295309668243e+03
7.627736382183923070e+01 8.356887836628472996e+02
7.824415047746524010e+01 1.070723807081051291e+03
7.631149179566381235e+01 1.072172161058964321e+03
7.942403451812272408e+01 1.214597820392886888e+03
7.615547181727096415e+01 1.033674515173231612e+03
7.744068050250903923e+01 1.269675422232189476e+03
7.247925095364310266e+01 1.081360005832518709e+03
7.585053135905437216e+01 1.038132732540404504e+03
7.362127413119245034e+01 1.192028851024986125e+03
7.146677058810568894e+01 1.022645740455955320e+03
8.039019632816778937e+01 1.023184563881919530e+03
7.360767913852716049e+01 8.516763349919662005e+02
7.920019070296021368e+01 1.039481083882636085e+03
7.885683238604372036e+01 1.211316904989645764e+03
7.181967968179617401e+01 9.420703332586199394e+02
7.641604814934913747e+01 8.720046887869466445e+02
7.629015055432077475e+01 9.580083893621424522e+02
7.680203201077785025e+01 1.127787481359201365e+03
7.479080363559205580e+01 9.750983923740450336e+02
8.081364836501396098e+01 1.162404606941539669e+03
7.697528750299322553e+01 9.494970161259059296e+02
7.340627151742735634e+01 1.029858137299643658e+03
7.489046342933139044e+01 9.785817310266995719e+02
7.588677516968985515e+01 1.072596511936475736e+03
7.262614235269275298e+01 1.053001158554774975e+03
7.615887989371793765e+01 8.641009125398586548e+02
7.377770900998152115e+01 1.028049197598429146e+03
7.588398978728123723e+01 1.024850630382626150e+03
7.188298394607249975e+01 1.056916856550657940e+03
7.170885113180752057e+01 1.084566751734021636e+03
7.708173178982985974e+01 1.058785653689589253e+03
7.655847594571102377e+01 9.905633167627183866e+02
7.291123850602592427e+01 8.516928298730604183e+02
7.431126323279211476e+01 1.149288213101107658e+03
7.092335603158105073e+01 1.054219714359939871e+03
7.701647794278089521e+01 1.049688448448411236e+03
7.453183108077436714e+01 1.011881152693793069e+03
6.904025633474854828e+01 1.148890458661086996e+03
7.329544733936344869e+01 1.018600004008622818e+03
7.251392853930805416e+01 1.027294783850336671e+03
7.803633029897011397e+01 9.860360093313686320e+02
7.605127611681697886e+01 1.107410184372044569e+03
7.652283343368678459e+01 1.021323827746493976e+03
7.838562653319124252e+01 9.313819683427057043e+02
7.564363827614585034e+01 1.030487323380099269e+03
7.337664292348745221e+01 1.258795734073064750e+03
7.267647602731005918e+01 1.132802094036674816e+03
7.677126968361015713e+01 1.005386477384827003e+03
7.286392912083714180e+01 9.651991626510157403e+02
7.222371541915410376e+01 9.252749080200450180e+02
7.175211163762233468e+01 9.873667812371826358e+02
7.689540296119552920e+01 1.089882466444743386e+03
7.335575825968183494e+01 1.106812666349293067e+03
7.480099639018803259e+01 9.876392866462329039e+02
