logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.976212743769117878e+03 -6.982205458055808776e+03 6.450000000000000178e-01
-6.982205458055808776e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.190888500491966624e+03 -6.196883714778658032e+03 1.895000000000000018e+00
-6.196883714778658032e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.277275314279109807e+03 -5.283273028565800814e+03 7.900000000000000355e-01
-5.283273028565800814e+03 3.411089117252482765e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -5.140932716674436961e+03 -5.146932930961128477e+03 3.549999999999999822e-01
-5.146932930961128477e+03 3.717200317369521940e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.635579937147579585e+03 -4.641582651434270701e+03 3.300000000000000155e-01
-4.641582651434270701e+03 2.409042244702779385e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -3.285500314666732265e+03 -3.291505528953423436e+03 6.800000000000000488e-01
-3.291505528953423436e+03 7.292077476897487713e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.245492038073471576e+03 -3.251499752360162802e+03 6.600000000000000311e-01
-3.251499752360162802e+03 6.525870651959976385e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -3.019636643000366348e+03 -3.025646857287057628e+03 8.699999999999999956e-01
-3.025646857287057628e+03 1.041850173561249591e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -2.985293262858731396e+03 -2.991305977145422730e+03 1.159999999999999920e+00
-2.991305977145422730e+03 7.193412432680727875e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -2.706173134884996671e+03 -2.712188349171688060e+03 1.094999999999999973e+00
-2.712188349171688060e+03 1.199661073025694122e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -2.594468885360004151e+03 -2.600486599646695595e+03 1.169999999999999929e+00
-2.600486599646695595e+03 1.102456114359318917e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -2.526932565020120364e+03 -2.532952779306811863e+03 1.794999999999999929e+00
-2.532952779306811863e+03 3.382980832899345813e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -2.452153029835463713e+03 -2.458175744122154811e+03 1.679999999999999938e+00
-2.458175744122154811e+03 6.588880631081619299e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -2.425206042442154285e+03 -2.431231256728845437e+03 5.699999999999999512e-01
-2.431231256728843618e+03 1.148133883744486639e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -2.413334691019385446e+03 -2.419362405306076653e+03 7.349999999999999867e-01
-2.419362398300856512e+03 1.084006944117378168e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -2.330005758365855399e+03 -2.336035972652546661e+03 6.550000000000000266e-01
-2.336035972652546661e+03 4.541040153067675078e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -2.115261916035629838e+03 -2.121294630322321154e+03 3.750000000000000000e-01
-2.121294630322321154e+03 1.374039724873178727e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -2.071059905113941113e+03 -2.077095119400632484e+03 1.510000000000000009e+00
-2.077095119400632484e+03 1.259157149075248867e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -2.039295981656131744e+03 -2.045333695942823169e+03 1.534999999999999920e+00
-2.045333695942823169e+03 1.049915699676403875e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.989565968708704531e+03 -1.995606182995395784e+03 2.399999999999999911e-01
-1.995606182995395784e+03 1.189125452219180090e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.957009875966716663e+03 -1.963052590253407971e+03 1.489999999999999991e+00
-1.963052590253407971e+03 1.298049964250865287e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.946385238716117328e+03 -1.952430453002808690e+03 6.500000000000000222e-02
-1.952430428632607573e+03 1.321463804360961660e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -1.627505977992503404e+03 -1.633553692279194820e+03 2.149999999999999967e-01
-1.633553692279194820e+03 2.391925382402268383e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -1.624935496383352302e+03 -1.630985710670043545e+03 1.754999999999999893e+00
-1.630911818982639033e+03 8.888423106648190242e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.609875032212934229e+03 -1.615927746499625528e+03 6.350000000000000089e-01
-1.615927746188812080e+03 7.936842708608981667e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -1.593861158205937954e+03 -1.599916372492629307e+03 9.649999999999999689e-01
-1.599916372381366727e+03 1.296859555545315956e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.538384691430471776e+03 -1.544442405717163183e+03 1.310000000000000053e+00
-1.544442405717163183e+03 3.308000164319940950e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.538218774061905151e+03 -1.544278988348596386e+03 5.250000000000000222e-01
-1.543664215405601908e+03 2.781917650261501862e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -1.493780119516133482e+03 -1.499842833802824771e+03 1.219999999999999973e+00
-1.499842833802824771e+03 2.238970163864657081e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.442445903539403844e+03 -1.448511117826095187e+03 1.679999999999999938e+00
-1.448511117826095187e+03 3.582779062854766750e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.398295704105787308e+03 -1.404363418392478707e+03 9.699999999999999734e-01
-1.404363418392478707e+03 3.019505909487499551e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.395901607003377421e+03 -1.401971821290068647e+03 5.849999999999999645e-01
-1.401884283547836276e+03 1.282836362562902899e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -1.387635570354688525e+03 -1.393708284641379805e+03 5.600000000000000533e-01
-1.393708003355644223e+03 1.539182462390144224e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -1.365396619826512733e+03 -1.371471834113204068e+03 1.669999999999999929e+00
-1.371471834112983743e+03 2.183359086402372640e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -1.327772605564416153e+03 -1.333850319851107542e+03 1.405000000000000027e+00
-1.333850319851107542e+03 1.363253793452852847e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.293230707736183376e+03 -1.299310922022874593e+03 5.699999999999999512e-01
-1.299310922022874593e+03 2.232930993778555617e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.270372941846216008e+03 -1.276455656132907279e+03 1.034999999999999920e+00
-1.276455656132788590e+03 1.748659773473652734e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.264809884440676569e+03 -1.270895098727367895e+03 1.530000000000000027e+00
-1.270891259475071138e+03 1.688248479267078750e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.264324695522193906e+03 -1.270412409808885286e+03 1.189999999999999947e+00
-1.269930295060695016e+03 3.171171542015141398e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -1.261972690214807244e+03 -1.268062904501498451e+03 3.649999999999999911e-01
-1.267919214316458010e+03 3.559379424962872296e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.238795164889038915e+03 -1.244887879175730177e+03 1.199999999999999956e+00
-1.244887879175630815e+03 1.256862338512418553e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -1.221738735263970284e+03 -1.227833949550661600e+03 1.969999999999999973e+00
-1.227833949511435776e+03 1.265325627577254330e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -1.206775497048576199e+03 -1.212873211335267570e+03 1.104999999999999982e+00
-1.212873211017116091e+03 9.563643699373718832e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -1.199822045539703140e+03 -1.205922259826394566e+03 5.500000000000000028e-02
-1.205921302560976983e+03 3.537952681577437808e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -1.190796846740749288e+03 -1.196899561027440541e+03 9.949999999999999956e-01
-1.196899440279087912e+03 3.704537145659871467e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -1.166031884999968952e+03 -1.172137099286660259e+03 9.300000000000000488e-01
-1.172137099286642751e+03 1.187274727688514631e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.157681599187180836e+03 -1.163789313473872198e+03 3.449999999999999734e-01
-1.163789076581408835e+03 1.641120505526942353e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.126352419506857586e+03 -1.132462633793549003e+03 9.500000000000000111e-02
-1.132462633793549003e+03 2.433548616866805148e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.094744760257536200e+03 -1.100857474544227443e+03 1.725000000000000089e+00
