weight logl H0 sigma
0.000000000000000000e+00 -6.976212743769117878e+03 9.933476903742104014e+01 1.094454361348332867e+02
0.000000000000000000e+00 -6.190888500491966624e+03 9.531845613709576526e+01 1.034904601418115391e+02
0.000000000000000000e+00 -5.277275314279109807e+03 9.286037352776922660e+01 1.044098880405500296e+02
0.000000000000000000e+00 -5.140932716674436961e+03 5.744955559689526581e+01 1.042910998769747124e+02
0.000000000000000000e+00 -4.635579937147579585e+03 5.258756008741836752e+01 1.278147690537701351e+02
0.000000000000000000e+00 -3.285500314666732265e+03 6.406786637315153143e+01 1.084294434373531715e+02
0.000000000000000000e+00 -3.245492038073471576e+03 9.916210269750570205e+01 1.642259274595158729e+02
0.000000000000000000e+00 -3.019636643000366348e+03 5.079463443656059951e+01 1.703291964313619928e+02
0.000000000000000000e+00 -2.985293262858731396e+03 8.880669637966084906e+01 1.253659734901735590e+02
0.000000000000000000e+00 -2.706173134884996671e+03 8.497341989105940741e+01 1.181341320008788358e+02
0.000000000000000000e+00 -2.594468885360004151e+03 5.359398171266804667e+01 1.708669919276059659e+02
0.000000000000000000e+00 -2.526932565020120364e+03 6.638180253191131897e+01 1.178226272632267921e+02
0.000000000000000000e+00 -2.452153029835463713e+03 9.256582295612007272e+01 1.576475438233766795e+02
0.000000000000000000e+00 -2.425206042442154285e+03 6.955335139900907393e+01 1.122460307941437065e+02
0.000000000000000000e+00 -2.413334691019385446e+03 8.354844971448362401e+01 1.212922874487074125e+02
0.000000000000000000e+00 -2.330005758365855399e+03 5.766004979712857903e+01 1.603557781048772597e+02
0.000000000000000000e+00 -2.115261916035629838e+03 6.350907449375991121e+01 1.415452746119954668e+02
0.000000000000000000e+00 -2.071059905113941113e+03 5.079025388675969310e+01 2.118098957695128206e+02
0.000000000000000000e+00 -2.039295981656131744e+03 9.881565086492912542e+01 2.124131158393292935e+02
0.000000000000000000e+00 -1.989565968708704531e+03 7.776415058393435231e+01 1.213124976441158651e+02
0.000000000000000000e+00 -1.957009875966716663e+03 9.555609120395848777e+01 1.975141006227266587e+02
0.000000000000000000e+00 -1.946385238716117328e+03 5.745753578884698243e+01 1.794857497313194301e+02
0.000000000000000000e+00 -1.627505977992503404e+03 5.011929961002146428e+01 2.505031473910933073e+02
0.000000000000000000e+00 -1.624935496383352302e+03 5.310900092197312006e+01 2.295177973463789840e+02
0.000000000000000000e+00 -1.609875032212934229e+03 6.000522713322662582e+01 1.861481587070086903e+02
0.000000000000000000e+00 -1.593861158205937954e+03 7.580370464842020795e+01 1.368564649189195563e+02
0.000000000000000000e+00 -1.538384691430471776e+03 9.695970360102194263e+01 2.394379089407189269e+02
0.000000000000000000e+00 -1.538218774061905151e+03 7.312967265555909080e+01 1.405940424012267158e+02
0.000000000000000000e+00 -1.493780119516133482e+03 9.799564618962077134e+01 2.517460795111803975e+02
0.000000000000000000e+00 -1.442445903539403844e+03 6.247764353845268204e+01 1.848535079440401319e+02
0.000000000000000000e+00 -1.398295704105787308e+03 6.180212944948019782e+01 1.926262713063863430e+02
0.000000000000000000e+00 -1.395901607003377421e+03 5.456327494288002811e+01 2.422557606176573870e+02
0.000000000000000000e+00 -1.387635570354688525e+03 5.864288708712788889e+01 2.139104765545469036e+02
0.000000000000000000e+00 -1.365396619826512733e+03 7.019265871596822137e+01 1.573281761692197733e+02
0.000000000000000000e+00 -1.327772605564416153e+03 8.532561888388674731e+01 1.837313476781641270e+02
0.000000000000000000e+00 -1.293230707736183376e+03 6.668722500054782643e+01 1.760699535914733360e+02
0.000000000000000000e+00 -1.270372941846216008e+03 7.632119294494600581e+01 1.588322832519067163e+02
0.000000000000000000e+00 -1.264809884440676569e+03 5.218818893636192513e+01 2.784934756513415550e+02
0.000000000000000000e+00 -1.264324695522193906e+03 5.914910331898268225e+01 2.240983022772252866e+02
0.000000000000000000e+00 -1.261972690214807244e+03 8.812918103622902777e+01 2.069960850655243974e+02
0.000000000000000000e+00 -1.238795164889038915e+03 6.102878158467085257e+01 2.140892724305293200e+02
0.000000000000000000e+00 -1.221738735263970284e+03 9.801187503239970056e+01 2.885403890719700257e+02
0.000000000000000000e+00 -1.206775497048576199e+03 5.626312283288506677e+01 2.537117744491507665e+02
0.000000000000000000e+00 -1.199822045539703140e+03 8.597831721186335585e+01 2.006544779119231521e+02
0.000000000000000000e+00 -1.190796846740749288e+03 5.030602422186712630e+01 3.072684884967736139e+02
0.000000000000000000e+00 -1.166031884999968952e+03 6.407864996985946959e+01 2.032986682129971996e+02
4.940656458412465442e-324 -1.157681599187180836e+03 8.599427545378205195e+01 2.058375902277203693e+02
2.563662666832020099e-310 -1.126352419506857586e+03 6.946264863098660669e+01 1.817450617421105790e+02
1.363977293938104375e-296 -1.094744760257536200e+03 9.279485478145340949e+01 2.655448490513747402e+02
2.028864990504610443e-288 -1.075924507907482621e+03 6.335900394804544078e+01 2.200682058232654867e+02
6.545304702629825565e-287 -1.072448151379897581e+03 5.022682421088259019e+01 3.325606027760784968e+02
4.340339126312440004e-283 -1.063646106476460318e+03 9.004174366913984784e+01 2.483407739049749239e+02
3.777429370672430069e-279 -1.054572174871630523e+03 5.821800058941453671e+01 2.628239031983555947e+02
5.264195590692609300e-274 -1.042724864774657590e+03 9.348732699316369121e+01 2.815021702482801516e+02
1.025897895304769753e-273 -1.042055139806733223e+03 9.878926169919222389e+01 3.318450910459602596e+02
2.721832869886995766e-257 -1.004235541040781527e+03 9.843770330254804435e+01 3.378937114480140735e+02
1.244127102714290052e-243 -9.727797210797638172e+02 6.178842136154077025e+01 2.492958701750111459e+02
7.785391686896541567e-229 -9.387072148224999637e+02 6.324559168721437175e+01 2.449652438287527900e+02
1.254719866259090171e-227 -9.359248814200251445e+02 5.697028209639016438e+01 3.001383798852745031e+02
1.538626712167552609e-219 -9.172977227363660404e+02 9.213835168706917500e+01 2.980965303366431840e+02
1.339284357133251431e-217 -9.128288074141561310e+02 7.198012044097299622e+01 2.044544273671327232e+02
2.451628014499490850e-203 -8.799854992221085013e+02 9.118740552548126743e+01 2.991521715794824559e+02
3.418099541255429079e-201 -8.750454966287811658e+02 5.048078048318653543e+01 3.887677032385232110e+02
1.849137757774487125e-199 -8.710521916961595252e+02 7.033333176643373008e+01 2.173889029526744991e+02
5.679485660853005685e-199 -8.699275504737572646e+02 9.211591552130633431e+01 3.113289989980958694e+02
1.076061884918042452e-197 -8.669834329897853422e+02 6.986453093526439773e+01 2.200594458110504092e+02
1.393686163905974573e-192 -8.552093633452695940e+02 5.159273898705652783e+01 3.835032980058534804e+02
3.010542419191105964e-186 -8.406211846725639134e+02 5.445805725460671454e+01 3.560970434261325295e+02
1.994080953960323086e-185 -8.387280365783148000e+02 8.609294534339193206e+01 2.647784155125398229e+02
4.071947157938385989e-185 -8.380115985455734062e+02 6.756632543862019702e+01 2.380067543474746117e+02
8.030756935792591529e-185 -8.373299410608046855e+02 5.407704659777584766e+01 3.616776236316725885e+02
1.958079639346789266e-184 -8.364361705377078806e+02 5.494403255150984933e+01 3.521779245966403096e+02
4.733978387105695780e-183 -8.332482837161987845e+02 8.122613806232149614e+01 2.334409629007809883e+02
1.401134205560979242e-179 -8.252529272343838329e+02 5.891426397414247162e+01 3.133277675908902893e+02
5.906619673292658704e-175 -8.146012952173780377e+02 6.055816583565026434e+01 3.003942483127057699e+02
3.673841317983601693e-170 -8.035607056575684055e+02 8.383304259470173747e+01 2.572271408988588064e+02
2.184246994219882338e-165 -7.925652468438462392e+02 8.055011058440759086e+01 2.403160376998853280e+02
4.053177297254698532e-161 -7.827341765245638499e+02 9.287373661611840703e+01 3.505576549779195261e+02
1.778070567051334210e-159 -7.789504786046522895e+02 5.770317910598856059e+01 3.435879937581197510e+02
4.635124281871274233e-157 -7.733846742315349729e+02 8.899179224339360417e+01 3.120999298531108934e+02
1.583926906742433005e-156 -7.721533450033853114e+02 9.871173621338211035e+01 4.275678181329147378e+02
3.878961853465560746e-153 -7.643474293177034724e+02 6.717705165404608181e+01 2.606943045369957872e+02
4.318732270266663894e-148 -7.527246095037945679e+02 8.301552642953399186e+01 2.669682474952893472e+02
3.289054399895990918e-144 -7.437841309280306632e+02 8.681469499245392285e+01 3.019148675902190462e+02
7.418207208974836714e-141 -7.360605383441245522e+02 6.988182848222356824e+01 2.541114352337129674e+02
9.561653896683758500e-141 -7.358042150422234045e+02 9.371096677712918677e+01 3.824853419209748040e+02
6.735168066926068714e-131 -7.131262820623196603e+02 5.715081610667455436e+01 3.816074710303587949e+02
