weight logl H0 sigma
0.000000000000000000e+00 -6.976212743769117878e+03 9.866953807484210026e-01 6.746740096309489232e-03
0.000000000000000000e+00 -6.190888500491966624e+03 9.063691227419152785e-01 2.493185815579668230e-03
0.000000000000000000e+00 -5.277275314279109807e+03 8.572074705553845986e-01 3.149920028964303675e-03
0.000000000000000000e+00 -5.140932716674436961e+03 1.489911119379053739e-01 3.065071340696223778e-03
0.000000000000000000e+00 -4.635579937147579585e+03 5.175120174836733700e-02 1.986769218126438474e-02
0.000000000000000000e+00 -3.285500314666732265e+03 2.813573274630307708e-01 6.021031026680834231e-03
0.000000000000000000e+00 -3.245492038073471576e+03 9.832420539501141032e-01 4.587566247108276762e-02
0.000000000000000000e+00 -3.019636643000366348e+03 1.589268873121196801e-02 5.023514030811571107e-02
0.000000000000000000e+00 -2.985293262858731396e+03 7.761339275932169768e-01 1.811855249298111037e-02
0.000000000000000000e+00 -2.706173134884996671e+03 6.994683978211881925e-01 1.295295142919916653e-02
0.000000000000000000e+00 -2.594468885360004151e+03 7.187963425336096890e-02 5.061927994828996358e-02
0.000000000000000000e+00 -2.526932565020120364e+03 3.276360506382264282e-01 1.273044804516199058e-02
0.000000000000000000e+00 -2.452153029835463713e+03 8.513164591224013922e-01 4.117681701669761996e-02
0.000000000000000000e+00 -2.425206042442154285e+03 3.910670279801813365e-01 8.747164852959787851e-03
0.000000000000000000e+00 -2.413334691019385446e+03 6.709689942896724935e-01 1.520877674907672450e-02
0.000000000000000000e+00 -2.330005758365855399e+03 1.532009959425716383e-01 4.311127007491233343e-02
0.000000000000000000e+00 -2.115261916035629838e+03 2.701814898751982996e-01 2.967519615142533151e-02
0.000000000000000000e+00 -2.071059905113941113e+03 1.580507773519379544e-02 7.986421126393772330e-02
0.000000000000000000e+00 -2.039295981656131744e+03 9.763130172985826638e-01 8.029508274237806553e-02
0.000000000000000000e+00 -1.989565968708704531e+03 5.552830116786869885e-01 1.522321260293990619e-02
0.000000000000000000e+00 -1.957009875966716663e+03 9.111218240791696399e-01 6.965292901623332256e-02
0.000000000000000000e+00 -1.946385238716117328e+03 1.491507157769396130e-01 5.677553552237102341e-02
0.000000000000000000e+00 -1.627505977992503404e+03 2.385992200429343235e-03 1.075022481364952265e-01
0.000000000000000000e+00 -1.624935496383352302e+03 6.218001843946241447e-02 9.251271239027070159e-02
0.000000000000000000e+00 -1.609875032212934229e+03 2.001045426645325920e-01 6.153439907643476481e-02
0.000000000000000000e+00 -1.593861158205937954e+03 5.160740929684041189e-01 2.632604637065683040e-02
0.000000000000000000e+00 -1.538384691430471776e+03 9.391940720204390303e-01 9.959850638622780306e-02
0.000000000000000000e+00 -1.538218774061905151e+03 4.625934531111818293e-01 2.899574457230480462e-02
0.000000000000000000e+00 -1.493780119516133482e+03 9.599129237924152180e-01 1.083900567937002846e-01
0.000000000000000000e+00 -1.442445903539403844e+03 2.495528707690536363e-01 6.060964853145722753e-02
0.000000000000000000e+00 -1.398295704105787308e+03 2.360425889896039520e-01 6.616162236170453070e-02
0.000000000000000000e+00 -1.395901607003377421e+03 9.126549885760060210e-02 1.016112575840409926e-01
0.000000000000000000e+00 -1.387635570354688525e+03 1.728577417425578577e-01 8.136462611039063653e-02
0.000000000000000000e+00 -1.365396619826512733e+03 4.038531743193644052e-01 4.094869726372840635e-02
0.000000000000000000e+00 -1.327772605564416153e+03 7.065123776777348930e-01 5.980810548440296248e-02
0.000000000000000000e+00 -1.293230707736183376e+03 3.337445000109564575e-01 5.433568113676667810e-02
0.000000000000000000e+00 -1.270372941846216008e+03 5.264238588989202938e-01 4.202305946564766082e-02
0.000000000000000000e+00 -1.264809884440676569e+03 4.376377872723846707e-02 1.274953397509582809e-01
0.000000000000000000e+00 -1.264324695522193906e+03 1.829820663796536406e-01 8.864164448373235139e-02
0.000000000000000000e+00 -1.261972690214807244e+03 7.625836207245805243e-01 7.642577504680314604e-02
0.000000000000000000e+00 -1.238795164889038915e+03 2.205756316934170957e-01 8.149233745037809395e-02
0.000000000000000000e+00 -1.221738735263970284e+03 9.602375006479938468e-01 1.346717064799786145e-01
0.000000000000000000e+00 -1.206775497048576199e+03 1.252624566577013043e-01 1.097941246065362586e-01
0.000000000000000000e+00 -1.199822045539703140e+03 7.195663442372671748e-01 7.189605565137369148e-02
