A T phi m0
1.557460451657367795e+00 1.013567908438721048e+02 1.120771262582528349e+00 1.507101386783197405e+01
1.707285684805940340e+00 1.004369997216922030e+02 1.048106566210432078e+00 1.500771338871209792e+01
1.493869689108338505e+00 9.902957621455944093e+01 9.105271887574054590e-01 1.497117827860194694e+01
1.667355396225846720e+00 9.972207876673603266e+01 1.017461826910671219e+00 1.508004180461865751e+01
1.580939575636685301e+00 1.003532090362289608e+02 1.035097484549997393e+00 1.515880618386924361e+01
1.481000033759552803e+00 1.003223308527826561e+02 1.015381292539684122e+00 1.506756812575539328e+01
1.453300584317747779e+00 1.006948711264724636e+02 1.046880145746025281e+00 1.493091831226726462e+01
1.435180781978568021e+00 1.012393031415360412e+02 1.181195171126831367e+00 1.496621351601635652e+01
1.633644498472222262e+00 9.825847762454220913e+01 7.599386445103432086e-01 1.505328869866482755e+01
1.493879715400572961e+00 1.002020393219587078e+02 1.067705156108766262e+00 1.501035691375198766e+01
1.667198799677119814e+00 1.005361362656695832e+02 1.055425315807110298e+00 1.498694132537223567e+01
1.510553916886665959e+00 1.006045837186912593e+02 1.106587805003204084e+00 1.503463276950978056e+01
1.565682009109967021e+00 1.013591807806848237e+02 1.159504340929908173e+00 1.508918262033875735e+01
1.371979626172917133e+00 1.007932793794665116e+02 1.050341747147730320e+00 1.513155211838476077e+01
1.479020540308107812e+00 1.008558343350483710e+02 1.060451886859232973e+00 1.496155802872118201e+01
1.572740830862851436e+00 1.007562442139895609e+02 1.161263904378323275e+00 1.503890519702873796e+01
1.598461894146219642e+00 9.930750466745514871e+01 8.970738045610584521e-01 1.506412216226620160e+01
1.636571495872556570e+00 1.002688722404429171e+02 9.847120459129171666e-01 1.504248811169613376e+01
1.536219932558097856e+00 1.008646331116280663e+02 1.145380935321425486e+00 1.503705784700246184e+01
1.674682433897721534e+00 1.002441183928611679e+02 1.047390251228845326e+00 1.513194756361108873e+01
1.616566766315513881e+00 1.015181476184945950e+02 1.217295271926468470e+00 1.501788107393283056e+01
1.448621210733144204e+00 9.945299627540356369e+01 8.625940919302368393e-01 1.509974530151646377e+01
1.536895180227512370e+00 9.963055037201772279e+01 1.025234091527840841e+00 1.500450336586210298e+01
1.609173377646228253e+00 9.982355964992753172e+01 1.007753918214508326e+00 1.511132871962921520e+01
1.597809958087498039e+00 1.006712053202332271e+02 1.070628477551614388e+00 1.503513014193305608e+01
1.529339633840270274e+00 9.813027715090554182e+01 6.830849482514987914e-01 1.510395718373160534e+01
1.651257638573230047e+00 1.002668931082505992e+02 1.006660734798205947e+00 1.510535877569324903e+01
1.495230333042491422e+00 1.002174609406393699e+02 1.018368858620982031e+00 1.499989282983998962e+01
1.649427215088104415e+00 1.010789222200368869e+02 1.185919352159609863e+00 1.509335436855577051e+01
1.597221117959936265e+00 9.959396746824957347e+01 9.373105129557932624e-01 1.510245130669621538e+01
1.475437917418946920e+00 1.000310803099512498e+02 9.229167177157613366e-01 1.503324209545215773e+01
1.535263385990966789e+00 1.006094806143376985e+02 1.032048176167254416e+00 1.494450007658763369e+01
1.578696680991892087e+00 1.008037371527499459e+02 1.099757825905202546e+00 1.495201678785274169e+01
1.692003170582470073e+00 1.005680230422921113e+02 1.001892321178147194e+00 1.497532692209999183e+01
1.600707347856164420e+00 1.005977324592931978e+02 1.065747921853168245e+00 1.499409833759255584e+01
1.485919261750397569e+00 9.914452272815933043e+01 8.708132062517337513e-01 1.508345594962717939e+01
1.683676421270664081e+00 1.004571961962013518e+02 1.089483630482250165e+00 1.496310974120317816e+01
1.460318345389987726e+00 9.997683504201138760e+01 9.433138870087267591e-01 1.505994641500506326e+01
1.606024547305951566e+00 9.999927698351193328e+01 1.049919006549846934e+00 1.507014239495887864e+01
1.560479467710857104e+00 1.004697009337515823e+02 1.036030797688740179e+00 1.507575152358703541e+01
1.564290053662894975e+00 1.012099572786164998e+02 1.063646764628894070e+00 1.506724316536057984e+01
1.563627769395711020e+00 1.005152121063285193e+02 1.173689492100456144e+00 1.513992594949701775e+01
1.509875207092852945e+00 1.015134694870378382e+02 1.107272978335013480e+00 1.502745655749659903e+01
1.675389971039372705e+00 9.962546935849657359e+01 9.375729726300592315e-01 1.513135119393391825e+01
1.579652370348310519e+00 1.016370247262744329e+02 1.213434503160174538e+00 1.506612396077862748e+01
1.633335346566215485e+00 1.000874204148186664e+02 9.502856342909775655e-01 1.508229763548865243e+01
1.599760257855760814e+00 9.979322902882694279e+01 9.074040472946063307e-01 1.506583011544512374e+01
1.509755338970846017e+00 1.002482010448010215e+02 1.028413388667030803e+00 1.509642723835595390e+01
1.540705540237890858e+00 1.006033696971577598e+02 1.044947767836519770e+00 1.502107074164410783e+01
1.526938297260574506e+00 9.975071047323399398e+01 9.044827875301916231e-01 1.500518828923907577e+01
1.561721824100024358e+00 1.004547196425795192e+02 9.776806728189161300e-01 1.499708828347967327e+01
1.532694316233557785e+00 1.010987579110664853e+02 1.070978520546838508e+00 1.507583235273122213e+01
1.559182971475358448e+00 1.007738464676512820e+02 1.031400671013586789e+00 1.500511492844874795e+01
1.518398275666202890e+00 1.006745928271819679e+02 1.183265034452291475e+00 1.510667703276917884e+01
1.680973280086734523e+00 1.003083255740473021e+02 1.086573440281380698e+00 1.506396124710098228e+01
1.621242928030664165e+00 1.018947496260675223e+02 1.138002511108054504e+00 1.500830033739611657e+01
1.580448612197481673e+00 9.956370652280369882e+01 9.917899685408568811e-01 1.510042997471966508e+01
1.669430736294203133e+00 1.014571988406611212e+02 1.174441981619910091e+00 1.501890946717921871e+01
1.671495183513527660e+00 9.921291076221895366e+01 8.419047630519637115e-01 1.493734088745820188e+01
1.645792731051102464e+00 9.969405591499017305e+01 1.019621913988161932e+00 1.507842653375864828e+01
1.465051409326714627e+00 9.929468396411965614e+01 8.805522970432919649e-01 1.507945280041747793e+01
