logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.135647510321005029e+03 -6.141640224607695927e+03 4.249999999999999889e-01
-6.141640224607695927e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.052557580704582506e+03 -6.058552794991273913e+03 1.849999999999999978e-01
-6.058552794991273913e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.800542446377869055e+03 -5.806540160664560062e+03 1.700000000000000122e-01
-5.806540160664560062e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.673869239443154584e+03 -5.679869453729846100e+03 1.084999999999999964e+00
-5.679869453729846100e+03 1.644780486098042331e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -5.535902882534883247e+03 -5.541905596821574363e+03 1.979999999999999982e+00
-5.541905596821574363e+03 1.453573456356719760e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.529676664652234649e+03 -5.535681878938926275e+03 5.799999999999999600e-01
-5.535679899037058021e+03 5.297195673659246751e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -5.414072288204994038e+03 -5.420080002491685264e+03 1.495000000000000107e+00
-5.420080002491685264e+03 5.786445283117425475e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -5.317125019984658138e+03 -5.323135234271349873e+03 1.820000000000000062e+00
-5.323135234271349873e+03 9.237432494842848030e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -5.259335132451215031e+03 -5.265347846737906366e+03 1.449999999999999956e+00
-5.265347846737906366e+03 2.167849181939172709e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -5.117650979695968999e+03 -5.123666193982659934e+03 3.400000000000000244e-01
-5.123666193982659934e+03 6.636368511775734191e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.097905467907875391e+03 -5.103923182194566834e+03 1.895000000000000018e+00
-5.103923182191902015e+03 7.156168249238592693e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.074041484038378258e+03 -5.080061698325069301e+03 6.800000000000000488e-01
-5.080061698325025645e+03 6.463404486069215693e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.953471335580776213e+03 -4.959494049867467766e+03 1.264999999999999902e+00
-4.959494049867467766e+03 6.928355891379460729e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.877626066096674549e+03 -4.883651280383365702e+03 2.000000000000000042e-02
-4.883651280383365702e+03 5.825909867994236890e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.764785383296601140e+03 -4.770813097583292802e+03 2.949999999999999845e-01
-4.770813097583292802e+03 8.965185217776632953e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.764631046465849067e+03 -4.770661260752540329e+03 6.350000000000000089e-01
-4.770041152948475428e+03 9.134620079936939874e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -4.745946822896989943e+03 -4.751979537183680804e+03 2.000000000000000111e-01
-4.751979537169360810e+03 9.011717927620271951e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.738582681608021630e+03 -4.744617895894713001e+03 1.375000000000000000e+00
-4.744617260941198765e+03 3.506270131043844884e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -4.707890266178189449e+03 -4.713927980464880420e+03 1.574999999999999956e+00
-4.713927980464880420e+03 1.512414890001777401e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -4.704207873797937282e+03 -4.710248088084628762e+03 1.689999999999999947e+00
-4.710223175311425621e+03 1.107496877498693166e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.682584240390138802e+03 -4.688626954676829882e+03 6.099999999999999867e-01
-4.688626954676412424e+03 1.871245542216513158e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -4.665580052349338985e+03 -4.671625266636030574e+03 4.499999999999999833e-02
-4.671625266594701316e+03 2.365952094962948138e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -4.647128586332610212e+03 -4.653176300619301401e+03 6.700000000000000400e-01
-4.653176300609580721e+03 1.749968334506298362e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -4.607064262417025020e+03 -4.613114476703716718e+03 1.364999999999999991e+00
-4.613114476703716718e+03 2.074314863889932425e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -4.603505679613354914e+03 -4.609558393900046212e+03 1.524999999999999911e+00
-4.609530243425296248e+03 1.855120271411142552e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -4.603080126967068281e+03 -4.609135341253759179e+03 5.000000000000000000e-01
-4.608620277056915256e+03 8.972741303108776600e-01 -6.500000000000001610e-02 4.000000000000000000e+02 -4.598321416424945710e+03 -4.604379130711637117e+03 1.774999999999999911e+00
-4.604364842195192978e+03 2.031514182189001261e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -4.551348962093454247e+03 -4.557409176380145254e+03 1.030000000000000027e+00
-4.557409176380145254e+03 1.820382143035021372e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -4.543817859033435525e+03 -4.549880573320127041e+03 5.500000000000000028e-02
-4.549880035975950705e+03 1.599434002585705983e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -4.491831394528545388e+03 -4.497896608815236505e+03 1.600000000000000033e-01
-4.497896608815236505e+03 2.808456744146794648e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -4.491704829141902337e+03 -4.497772543428593963e+03 5.400000000000000355e-01
-4.497139506146530948e+03 1.509436106700959535e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -4.462291955739343393e+03 -4.468362170026034619e+03 2.000000000000000111e-01
-4.468362170026034619e+03 2.397516208716891128e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -4.458424272189824478e+03 -4.464496986476516213e+03 1.149999999999999911e+00
-4.464476244021334423e+03 1.324801863529392065e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -4.453945290737990945e+03 -4.460020505024682279e+03 1.209999999999999964e+00
-4.460008960187838966e+03 1.374056056891012112e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -4.440294633727668042e+03 -4.446372348014358977e+03 1.165000000000000036e+00
-4.446372346818460755e+03 4.351011947454367146e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -4.420955363161199784e+03 -4.427035577447891228e+03 1.195000000000000062e+00
-4.427035577443890361e+03 7.154761950089738143e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -4.359425288291149627e+03 -4.365508002577840671e+03 1.350000000000000089e-01
-4.365508002577840671e+03 2.342485403140977596e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -4.320232430871148608e+03 -4.326317645157840161e+03 7.199999999999999734e-01
-4.326317645157840161e+03 2.952420801561390107e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -4.314674635579089227e+03 -4.320762349865780379e+03 1.120000000000000107e+00
-4.320758490396693560e+03 2.911134061473818591e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -4.300666376613741704e+03 -4.306756590900433366e+03 5.699999999999999512e-01
-4.306756590070483071e+03 3.297476398888942128e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -4.296929562273610827e+03 -4.303022276560302089e+03 1.860000000000000098e+00
-4.302998667885804934e+03 3.444721271363347626e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -4.287210514651227641e+03 -4.293305728937918502e+03 1.024999999999999911e+00
-4.293305667222070952e+03 3.671060148472625428e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -4.254860747184077809e+03 -4.260958461470769180e+03 1.659999999999999920e+00
-4.260958461470769180e+03 4.665653663641717230e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -4.247937818172895277e+03 -4.254038032459586248e+03 1.764999999999999902e+00
-4.254037045540510007e+03 3.276919545502432918e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -4.228847912317199189e+03 -4.234950626603890669e+03 1.995000000000000107e+00
-4.234950626598752024e+03 1.109832488124492045e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -4.193161612931295167e+03 -4.199266827217986247e+03 3.449999999999999734e-01
-4.199266827217986247e+03 2.199332055354128812e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -4.177574849082998298e+03 -4.183682563369689888e+03 1.459999999999999964e+00
-4.183682563199144170e+03 2.593567650740202168e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -4.165201547729025151e+03 -4.171311762015716340e+03 1.739999999999999991e+00
-4.171311757775105434e+03 3.059330138113470809e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -4.147396329917903131e+03 -4.153509044204594829e+03 1.955000000000000071e+00
-4.153509044186042956e+03 7.588163117381220069e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -4.136791693848262184e+03 -4.142906908134953483e+03 4.450000000000000067e-01
-4.142906883272417872e+03 4.775085456439864373e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -4.121550052164168847e+03 -4.127667766450859745e+03 1.754999999999999893e+00
-4.127667766210015543e+03 1.029241746096994348e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -4.084090316089237604e+03 -4.090210530375929011e+03 1.100000000000000089e+00
-4.090210530375929011e+03 2.599857713833601025e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -4.067721066604533007e+03 -4.073843780891224469e+03 9.699999999999999734e-01
