weight logl A T phi m0
0.000000000000000000e+00 -6.135647510321005029e+03 2.788697356427202845e+00 1.012161854448285538e+02 3.210649662300756102e+00 1.035294424800821034e+01
0.000000000000000000e+00 -6.052557580704582506e+03 2.375248121396642098e+00 1.596565224079176915e+02 1.482518406132838917e+00 1.995540414024762299e+01
0.000000000000000000e+00 -5.800542446377869055e+03 2.515744224733365009e+00 1.985129615075085496e+02 6.055285430156205351e+00 1.025050710475146154e+01
0.000000000000000000e+00 -5.673869239443154584e+03 2.388887643501250047e+00 9.369868821255292346e+01 3.721731475207805229e+00 1.968681040322358911e+01
0.000000000000000000e+00 -5.535902882534883247e+03 1.362229210097799292e+00 2.593024345890086124e+02 3.176700295525713091e+00 1.009104790525224082e+01
0.000000000000000000e+00 -5.529676664652234649e+03 2.129874282439672584e+00 1.064309912706784367e+01 5.402381324066636736e+00 1.985181097269533979e+01
0.000000000000000000e+00 -5.414072288204994038e+03 1.750608211771214062e+00 1.533352976286795766e+01 5.453947843748144564e+00 1.006152951082175839e+01
0.000000000000000000e+00 -5.317125019984658138e+03 2.932199278745826643e+00 1.659736838298436510e+02 2.816350368220497113e-01 1.013702294015212502e+01
0.000000000000000000e+00 -5.259335132451215031e+03 2.929388395611880913e+00 1.088651060731329778e+02 1.649991756329898696e+00 1.997068697104609569e+01
0.000000000000000000e+00 -5.117650979695968999e+03 2.532678382963247987e+00 7.770012013714703869e+01 3.091422484021599804e-01 1.021885405393542001e+01
0.000000000000000000e+00 -5.097905467907875391e+03 1.650399346872785333e+00 1.074036368399935384e+02 5.795634090982666464e+00 1.033668880817118030e+01
0.000000000000000000e+00 -5.074041484038378258e+03 2.046423783090438153e+00 5.883601577424920492e+01 1.670915723493276550e+00 1.979722682255357569e+01
0.000000000000000000e+00 -4.953471335580776213e+03 1.498748204521652916e+00 1.971219322189156742e+02 1.237911078262318831e+00 1.046658555631636744e+01
0.000000000000000000e+00 -4.877626066096674549e+03 9.250412352516026449e-01 5.744634625290964891e+01 3.380800734734850543e+00 1.008426632270815659e+01
0.000000000000000000e+00 -4.764785383296601140e+03 2.866851510414608839e+00 2.632473029091019612e+01 4.173524290986647678e+00 1.007253361798286129e+01
0.000000000000000000e+00 -4.764631046465849067e+03 1.612873761852479548e+00 5.228941072834372505e+01 3.796842002354345880e+00 1.038192827792445705e+01
0.000000000000000000e+00 -4.745946822896989943e+03 1.970237655847470570e+00 2.543908752032991174e+02 4.696101977939996175e+00 1.951666482393099855e+01
0.000000000000000000e+00 -4.738582681608021630e+03 1.475613190045742984e+00 7.822225840348114900e+01 5.328064067271190751e+00 1.044706295461873502e+01
0.000000000000000000e+00 -4.707890266178189449e+03 2.337792689679535574e+00 6.937673415451708081e+01 2.690583945345266237e+00 1.047989582642729189e+01
0.000000000000000000e+00 -4.704207873797937282e+03 4.413171215098798950e-02 2.513630603260733380e+02 4.389117071764096600e+00 1.997228799348017958e+01
0.000000000000000000e+00 -4.682584240390138802e+03 1.465595478648740624e+00 2.346864110213654442e+02 1.909004213573919806e+00 1.066134511701755194e+01
0.000000000000000000e+00 -4.665580052349338985e+03 1.568592826020096309e+00 1.170465798248438034e+02 2.914929075421351268e+00 1.976403955340671104e+01
0.000000000000000000e+00 -4.647128586332610212e+03 1.519213022816254366e+00 2.844489589075220692e+02 2.048002916766069159e+00 1.037381203896783255e+01
0.000000000000000000e+00 -4.607064262417025020e+03 1.706860536431101805e+00 1.851806469484908177e+02 2.212440782995743316e+00 1.015755293124870207e+01
0.000000000000000000e+00 -4.603505679613354914e+03 1.766787058806834843e+00 1.989003180540395874e+02 1.659539584660506550e+00 1.066240456679188142e+01
0.000000000000000000e+00 -4.603080126967068281e+03 1.360055458383821581e+00 2.651076753619360034e+02 1.553503754596386344e+00 1.038080176832619372e+01
0.000000000000000000e+00 -4.598321416424945710e+03 1.926737356244225596e+00 1.471097449627119147e+02 2.677907165935616618e+00 1.081229850054712394e+01
0.000000000000000000e+00 -4.551348962093454247e+03 2.642461385174667221e+00 3.804154795025778668e+01 3.290158323830755904e+00 1.988962549643358813e+01
0.000000000000000000e+00 -4.543817859033435525e+03 2.767411320091767823e+00 2.847841510665218152e+02 5.691385883445917310e-02 1.034672972099337152e+01
0.000000000000000000e+00 -4.491831394528545388e+03 1.103071928836684368e+00 1.979069211397960544e+02 5.563393326140281481e+00 1.988214897362340139e+01
0.000000000000000000e+00 -4.491704829141902337e+03 2.520714076951013460e+00 1.807339104932163707e+02 5.668882775280391861e+00 1.989617906740631170e+01
0.000000000000000000e+00 -4.462291955739343393e+03 1.288820798418202074e+00 2.795486320035338395e+02 7.029111571840866990e-01 1.027312976201847938e+01
0.000000000000000000e+00 -4.458424272189824478e+03 1.038556724587099911e+00 1.585762735961319869e+01 4.253359794151053030e+00 1.989915872670876240e+01
0.000000000000000000e+00 -4.453945290737990945e+03 2.080288045569147926e+00 2.368490609261857003e+02 6.058610563943430449e+00 1.020673524450567626e+01
0.000000000000000000e+00 -4.440294633727668042e+03 2.848749001468625863e+00 7.472953870025632739e+01 1.187938658321286312e+00 1.042731272867186298e+01
0.000000000000000000e+00 -4.420955363161199784e+03 1.470221031166754067e-01 1.044415330616042894e+02 4.455090398501550197e+00 1.980618019939578289e+01
0.000000000000000000e+00 -4.359425288291149627e+03 8.311116346918280273e-01 1.316914571601421926e+02 1.060362231220290941e+00 1.987560746616801310e+01
0.000000000000000000e+00 -4.320232430871148608e+03 2.365048300995433284e+00 1.947472674216649011e+02 5.982970544050374428e+00 1.107622535394219021e+01
0.000000000000000000e+00 -4.314674635579089227e+03 1.361157986013564747e+00 2.308949621744742444e+02 4.345154452377822274e+00 1.020998268336916048e+01
0.000000000000000000e+00 -4.300666376613741704e+03 7.044214492050810961e-01 1.962062186817536258e+02 3.006847862624729029e+00 1.960917707113515718e+01
0.000000000000000000e+00 -4.296929562273610827e+03 2.939129919002131608e+00 2.143501680832940224e+02 3.831048085236877565e+00 1.874756372894316314e+01
0.000000000000000000e+00 -4.287210514651227641e+03 7.347717824797862507e-01 2.184050201182367914e+02 1.396340587776046416e+00 1.988141333922977338e+01
0.000000000000000000e+00 -4.254860747184077809e+03 6.181424225087440716e-01 2.221802979807381462e+02 5.831815946350072721e+00 1.035981907663494539e+01
0.000000000000000000e+00 -4.247937818172895277e+03 2.028014149494085316e+00 1.866236567739607324e+02 3.167591734464821229e+00 1.912607689191341009e+01
0.000000000000000000e+00 -4.228847912317199189e+03 2.948852776245249885e+00 6.785356934849208699e+01 5.434477129544844409e+00 1.908822468922861049e+01
0.000000000000000000e+00 -4.193161612931295167e+03 1.189424146202341159e+00 2.888757427423251443e+02 1.198880776088236511e+00 1.047516260545633315e+01
0.000000000000000000e+00 -4.177574849082998298e+03 2.832276584548447218e+00 1.894478775180097330e+02 1.947677147259019304e+00 1.081282263933523602e+01
0.000000000000000000e+00 -4.165201547729025151e+03 4.680918835097025443e-03 8.232241834289060023e+01 4.720558827844308247e+00 1.967447154273516219e+01
0.000000000000000000e+00 -4.147396329917903131e+03 2.986526699067065138e+00 1.248321364988714350e+02 3.258796678110575051e+00 1.912016224469978454e+01
0.000000000000000000e+00 -4.136791693848262184e+03 2.509068158204647014e-01 1.468841967966173172e+02 3.886119545417197951e+00 1.054520904238307821e+01
0.000000000000000000e+00 -4.121550052164168847e+03 1.311566162209262476e+00 6.758424165078685064e+01 3.278472500626672392e-01 1.070088513282238019e+01
0.000000000000000000e+00 -4.084090316089237604e+03 2.308970579128436285e+00 8.833409469923643087e+01 3.521511674320993990e+00 1.035102160439627639e+01
0.000000000000000000e+00 -4.067721066604533007e+03 2.798538483703445934e+00 2.320789525746880315e+02 5.417983874038666769e+00 1.031714462725459036e+01
0.000000000000000000e+00 -4.009259175562230666e+03 8.068250377539472051e-01 2.681232412559850218e+02 4.138951594076276663e+00 1.065515495323974271e+01
0.000000000000000000e+00 -4.001550256961748346e+03 2.358093985980018736e+00 2.216054026711693439e+02 3.670782490289865585e+00 1.896848252771971133e+01
0.000000000000000000e+00 -3.983304596456027866e+03 2.790537631907584526e+00 2.465477931082395457e+02 5.174283661758399155e+00 1.035843979750556088e+01
0.000000000000000000e+00 -3.976430049983573554e+03 1.339300033518176836e+00 1.077124434374060655e+02 4.816048563762807433e+00 1.934260257769405911e+01
0.000000000000000000e+00 -3.966307765411394939e+03 2.208853676295349899e+00 5.109676029067146885e+01 1.038584071934736341e+00 1.933346819951937334e+01
0.000000000000000000e+00 -3.963294421216437968e+03 1.353509852653881573e+00 2.513530166220450042e+02 4.957741703440191827e+00 1.043782067266405633e+01
0.000000000000000000e+00 -3.905330947293037752e+03 1.586077939849427132e+00 2.716907057456477048e+01 4.776099510620815947e-01 1.077920653160460063e+01
0.000000000000000000e+00 -3.893098650770725726e+03 2.334050887167149035e+00 1.590504386609691494e+02 2.794230866314608264e+00 1.096060582647302617e+01
0.000000000000000000e+00 -3.888766798223492970e+03 1.136928337369015551e+00 1.932126021450471853e+02 2.597707621980601900e+00 1.928527421115361662e+01
0.000000000000000000e+00 -3.875393092612543114e+03 3.345335161602093210e-01 9.398151204084729216e+01 3.311573333308189149e+00 1.943224531488301565e+01
0.000000000000000000e+00 -3.859667709516760169e+03 2.854880569805131607e-01 1.230375335106642183e+02 2.120997252443076464e-01 1.950674388219845312e+01
0.000000000000000000e+00 -3.847454692662737216e+03 1.726926721129738329e+00 1.937698290545089606e+02 2.186176165374690061e+00 1.921366135586854185e+01
0.000000000000000000e+00 -3.825634775850405276e+03 2.913951516904806027e+00 1.314941675602292719e+02 3.563422899851034220e+00 1.904479821929859895e+01
0.000000000000000000e+00 -3.800870857038893519e+03 1.068560093925576382e+00 1.239361745496254201e+02 5.829405860524754956e+00 1.930362014957150052e+01
0.000000000000000000e+00 -3.762865696744703200e+03 2.650989956624795418e+00 1.963861250397746261e+01 4.761812977219994636e+00 1.917883517483895162e+01
0.000000000000000000e+00 -3.759100625288346691e+03 1.350413652084200278e+00 2.937329462327919600e+02 6.172390134552704133e+00 1.913501311911973701e+01
0.000000000000000000e+00 -3.754021540345861013e+03 1.171367838670025474e+00 8.460750819188305627e+01 1.102596665774166595e+00 1.938661577769880040e+01
0.000000000000000000e+00 -3.749696943074984119e+03 1.593487218935710104e+00 8.199574927465421581e+01 3.898892315682876752e+00 1.927729654961775196e+01
0.000000000000000000e+00 -3.729527654968313982e+03 1.024690467893749402e+00 5.561938907158284451e+01 5.098517241006971901e+00 1.945179503314794900e+01
0.000000000000000000e+00 -3.690239527679342245e+03 1.459034137880932391e+00 9.336770448350002027e+01 2.635650157023316620e+00 1.917512521795501712e+01
0.000000000000000000e+00 -3.678450815371507815e+03 1.260655069592191424e+00 2.999332122886634693e+02 3.828985910824278527e+00 1.099287654487128307e+01
0.000000000000000000e+00 -3.675942447033837198e+03 1.961538794563340016e+00 4.660910092690193807e+01 2.594980625719215173e+00 1.893565131485006248e+01
0.000000000000000000e+00 -3.666898735067635243e+03 1.288056112691573274e+00 1.661085151650113900e+01 6.005019167156363302e+00 1.903279493666381939e+01
0.000000000000000000e+00 -3.660387753672704093e+03 4.384196745815679419e-01 2.790263286603837400e+02 5.335724395722472480e+00 1.928252375492524351e+01
0.000000000000000000e+00 -3.656206429809080419e+03 4.818788467244200513e-01 9.658067907884213810e+01 9.356838749391492849e-01 1.946553889209007338e+01
0.000000000000000000e+00 -3.639967607323563243e+03 9.177008763316640838e-02 1.641230563269228924e+02 3.226554347419891666e+00 1.936360049273055495e+01
0.000000000000000000e+00 -3.630514598369644773e+03 9.238030436939936862e-01 1.352182280801737591e+01 5.210134599687784807e+00 1.924339965441778588e+01
0.000000000000000000e+00 -3.614473125278510452e+03 2.241657772570409435e+00 7.673022486764098460e+01 2.117908256755284824e-01 1.880953029220561490e+01
0.000000000000000000e+00 -3.611114501856377501e+03 5.593755372829782857e-01 1.499863279353892835e+02 3.248524276521833620e+00 1.095927453114899741e+01
0.000000000000000000e+00 -3.577845325933249114e+03 2.469022491630599614e+00 1.730486233536580798e+01 5.845879991838425660e+00 1.918835790716016021e+01
0.000000000000000000e+00 -3.567439524734981205e+03 2.260167583723187157e+00 9.485626206842405850e+01 2.861202419335012070e+00 1.880444212446397501e+01
0.000000000000000000e+00 -3.560705185705131044e+03 1.730363542601105920e+00 3.270149327485432877e+01 2.299367182896148609e+00 1.089219327529861303e+01
0.000000000000000000e+00 -3.528831343286711672e+03 1.485538124524795389e+00 1.954782538224463053e+02 4.207794412651463034e+00 1.896083408145865334e+01
0.000000000000000000e+00 -3.517158525980595186e+03 9.053486561278566436e-01 2.665812418194826705e+02 5.987981865461344810e+00 1.906006171596998655e+01
0.000000000000000000e+00 -3.508956271687424305e+03 2.049539278327555891e+00 2.441179455482645437e+02 2.574390245536619215e+00 1.165634945980943549e+01
0.000000000000000000e+00 -3.502753355072265549e+03 1.391633092001655303e+00 1.910238522129000955e+02 1.166791366811410269e+00 1.123637027338798688e+01
0.000000000000000000e+00 -3.484302253571756410e+03 1.114815808416658172e-01 2.831509937327298871e+02 5.338154880063060048e+00 1.088826230700825803e+01
0.000000000000000000e+00 -3.478210965988358112e+03 7.425791922350241103e-01 2.197645106256171061e+02 5.267079532564220706e-02 1.093218949750496982e+01
0.000000000000000000e+00 -3.473478965292977591e+03 2.031961454233920383e-01 2.980937042922268461e+02 6.149308502068953075e+00 1.921890403658888147e+01
0.000000000000000000e+00 -3.463312335055084077e+03 1.926646592912517608e+00 1.023806668843561027e+02 3.901580507182196733e+00 1.166751902671793673e+01
0.000000000000000000e+00 -3.458410279066943076e+03 6.050882772876431392e-02 1.761835153978279891e+02 4.369969216271873957e-01 1.091998209935279007e+01
0.000000000000000000e+00 -3.456681565160189621e+03 2.171408966871807955e+00 2.503096753732333752e+02 2.369040515247547329e+00 1.941996509333716148e+01
0.000000000000000000e+00 -3.432186990242062166e+03 2.525221084658004322e+00 1.302489353687398648e+02 3.280979240294814137e+00 1.901528175004992960e+01
0.000000000000000000e+00 -3.427990909830529290e+03 2.785305739312193829e-02 1.695062185675935780e+02 1.457848479801038488e+00 1.921562555683228624e+01
0.000000000000000000e+00 -3.425045949239034599e+03 1.166299712129978294e+00 4.828266202920770667e+01 4.708522056212478546e+00 1.910500931443338857e+01
0.000000000000000000e+00 -3.417902121231673846e+03 1.158461786284404438e+00 1.410803209645425795e+02 9.202700475763602173e-01 1.098711846639405465e+01
0.000000000000000000e+00 -3.411111678475691861e+03 1.087833324554042136e+00 2.868094597991920978e+02 1.124502669130626797e+00 1.094383277751297356e+01
0.000000000000000000e+00 -3.380262823238118017e+03 2.351324886908070066e+00 1.065352053270977137e+02 1.401704980366990982e+00 1.071064628858355050e+01
0.000000000000000000e+00 -3.376754192467517441e+03 2.028891108402776311e+00 1.328369105280160909e+02 2.965748762434272212e+00 1.930921623493905770e+01
0.000000000000000000e+00 -3.363974361167993720e+03 6.367971080508173509e-01 1.304578174776328297e+02 2.874093515208648308e-01 1.913524653023535294e+01
0.000000000000000000e+00 -3.354449751234930773e+03 2.123722618533690820e+00 1.031775765288619766e+02 5.920881546972239784e-01 1.077991098967193473e+01
0.000000000000000000e+00 -3.350716943658260334e+03 1.699395705090867015e+00 2.446877475594577902e+02 6.460541108206003802e-01 1.909415548619833913e+01
0.000000000000000000e+00 -3.343673271452665176e+03 1.278085273128721999e+00 2.723629952168450927e+02 2.534376554942570525e+00 1.126776939903153796e+01
0.000000000000000000e+00 -3.338730765474119835e+03 4.137146541606376848e-01 6.068568887474644669e+01 1.080339535483957558e+00 1.915085643690856188e+01
0.000000000000000000e+00 -3.317748758679957064e+03 1.249248191412967834e+00 1.672276342430762668e+02 6.068031909505628541e+00 1.123924972578531722e+01
0.000000000000000000e+00 -3.314548497943685106e+03 2.701887831343325441e+00 3.754404212293474075e+01 2.926192983438723250e+00 1.890622867012054087e+01
0.000000000000000000e+00 -3.313674607364405347e+03 2.923867126311437747e+00 2.785041247390460057e+02 3.832677419901286409e-01 1.129290630753865976e+01
0.000000000000000000e+00 -3.311177089223969688e+03 2.601033370001112344e-01 7.674093726686412253e+01 4.768594000944409217e+00 1.104661613514938878e+01
