weight logl A T phi m0
0.000000000000000000e+00 -6.135647510321005029e+03 9.295657854757343186e-01 3.145385704994088094e-01 5.109907642914898185e-01 3.529442480082112255e-02
0.000000000000000000e+00 -6.052557580704582506e+03 7.917493737988807734e-01 5.160569738204058288e-01 2.359501325607593625e-01 9.955404140247623435e-01
0.000000000000000000e+00 -5.800542446377869055e+03 8.385814082444549289e-01 6.500446948534777114e-01 9.637286080416939127e-01 2.505071047514617621e-02
0.000000000000000000e+00 -5.673869239443154584e+03 7.962958811670833859e-01 2.886161662501824932e-01 5.923319611400139628e-01 9.686810403223586885e-01
0.000000000000000000e+00 -5.535902882534883247e+03 4.540764033659331345e-01 8.596635675483054184e-01 5.055875547544019799e-01 9.104790525224060183e-03
0.000000000000000000e+00 -5.529676664652234649e+03 7.099580941465575279e-01 2.217583196785666289e-03 8.598156921925437235e-01 9.851810972695340674e-01
0.000000000000000000e+00 -5.414072288204994038e+03 5.835360705904046874e-01 1.839148194092399269e-02 8.680227586979012422e-01 6.152951082175839304e-03
0.000000000000000000e+00 -5.317125019984658138e+03 9.773997595819422513e-01 5.378402890684264026e-01 4.482360825809716953e-02 1.370229401521250168e-02
0.000000000000000000e+00 -5.259335132451215031e+03 9.764627985372936747e-01 3.409141588728723526e-01 2.626043440807814822e-01 9.970686971046096581e-01
0.000000000000000000e+00 -5.117650979695968999e+03 8.442261276544159587e-01 2.334486901280932170e-01 4.920151695174634909e-02 2.188540539354200121e-02
0.000000000000000000e+00 -5.097905467907875391e+03 5.501331156242618148e-01 3.358746097930811469e-01 9.224038139317949359e-01 3.366888081711805203e-02
0.000000000000000000e+00 -5.074041484038378258e+03 6.821412610301460511e-01 1.684000543939627725e-01 2.659344968839255641e-01 9.797226822553576353e-01
0.000000000000000000e+00 -4.953471335580776213e+03 4.995827348405509349e-01 6.452480421341919570e-01 1.970196672136661498e-01 4.665855563163667785e-02
0.000000000000000000e+00 -4.877626066096674549e+03 3.083470784172008816e-01 1.636080905272746522e-01 5.380711485417630779e-01 8.426632270815748171e-03
0.000000000000000000e+00 -4.764785383296601140e+03 9.556171701382029093e-01 5.629217341693171228e-02 6.642370210246227868e-01 7.253361798286062090e-03
0.000000000000000000e+00 -4.764631046465849067e+03 5.376245872841598494e-01 1.458255542356680090e-01 6.042861728136238453e-01 3.819282779244570492e-02
0.000000000000000000e+00 -4.745946822896989943e+03 6.567458852824902271e-01 8.427271558734452661e-01 7.474078430527772987e-01 9.516664823930998107e-01
0.000000000000000000e+00 -4.738582681608021630e+03 4.918710633485809947e-01 2.352491669085556847e-01 8.479877334165187852e-01 4.470629546187343539e-02
0.000000000000000000e+00 -4.707890266178189449e+03 7.792642298931785616e-01 2.047473591535071691e-01 4.282197347053930958e-01 4.798958264272923380e-02
0.000000000000000000e+00 -4.704207873797937282e+03 1.471057071699599650e-02 8.322864149174942217e-01 6.985496777802810975e-01 9.972287993480180024e-01
0.000000000000000000e+00 -4.682584240390138802e+03 4.885318262162469116e-01 7.747807276598808190e-01 3.038274569735456287e-01 6.613451170175521643e-02
0.000000000000000000e+00 -4.665580052349338985e+03 5.228642753400321030e-01 3.691261373270475765e-01 4.639253711155962856e-01 9.764039553406711480e-01
0.000000000000000000e+00 -4.647128586332610212e+03 5.064043409387514183e-01 9.463757203707657828e-01 3.259497876699394281e-01 3.738120389678323274e-02
0.000000000000000000e+00 -4.607064262417025020e+03 5.689535121437006016e-01 6.040711963741062229e-01 3.521208869118759299e-01 1.575529312487022882e-02
0.000000000000000000e+00 -4.603505679613354914e+03 5.889290196022782808e-01 6.513804070828951298e-01 2.641239281553905416e-01 6.624045667918820879e-02
0.000000000000000000e+00 -4.603080126967068281e+03 4.533518194612738972e-01 8.796816391790895917e-01 2.472478016558335989e-01 3.808017683261932795e-02
0.000000000000000000e+00 -4.598321416424945710e+03 6.422457854147418654e-01 4.727922240093513917e-01 4.262021625998617669e-01 8.122985005471239361e-02
0.000000000000000000e+00 -4.551348962093454247e+03 8.808204617248890367e-01 9.669499293192340694e-02 5.236449607926096927e-01 9.889625496433587237e-01
0.000000000000000000e+00 -4.543817859033435525e+03 9.224704400305893115e-01 9.475315554017994524e-01 9.058121963938514654e-03 3.467297209933717372e-02
0.000000000000000000e+00 -4.491831394528545388e+03 3.676906429455614189e-01 6.479549004820553959e-01 8.854415482196867915e-01 9.882148973623402499e-01
0.000000000000000000e+00 -4.491704829141902337e+03 8.402380256503378941e-01 5.887376223904012829e-01 9.022307154943765006e-01 9.896179067406311036e-01
0.000000000000000000e+00 -4.462291955739343393e+03 4.296069328060673209e-01 9.294780413914960349e-01 1.118717852202916196e-01 2.731297620184791608e-02
0.000000000000000000e+00 -4.458424272189824478e+03 3.461855748623666740e-01 2.019871503314896177e-02 6.769432359874665295e-01 9.899158726708763290e-01
0.000000000000000000e+00 -4.453945290737990945e+03 6.934293485230492715e-01 7.822381411247782967e-01 9.642578195203725944e-01 2.067352445056758192e-02
0.000000000000000000e+00 -4.440294633727668042e+03 9.495830004895420284e-01 2.232053058629528408e-01 1.890663095617868272e-01 4.273127286718636508e-02
0.000000000000000000e+00 -4.420955363161199784e+03 4.900736770555846888e-02 3.256604588331182271e-01 7.090496588427634972e-01 9.806180199395780894e-01
0.000000000000000000e+00 -4.359425288291149627e+03 2.770372115639426758e-01 4.196257143453179239e-01 1.687618905666605773e-01 9.875607466168014881e-01
0.000000000000000000e+00 -4.320232430871148608e+03 7.883494336651444279e-01 6.370595428333272192e-01 9.522193364588235065e-01 1.076225353942189544e-01
0.000000000000000000e+00 -4.314674635579089227e+03 4.537193286711882489e-01 7.617067661188766658e-01 6.915528095936880337e-01 2.099826833691598171e-02
0.000000000000000000e+00 -4.300666376613741704e+03 2.348071497350270320e-01 6.420904092474263303e-01 4.785547004620258615e-01 9.609177071135156512e-01
0.000000000000000000e+00 -4.296929562273610827e+03 9.797099730007104990e-01 7.046557520113586603e-01 6.097302399881898705e-01 8.747563728943162920e-01
0.000000000000000000e+00 -4.287210514651227641e+03 2.449239274932620836e-01 7.186380004077130845e-01 2.222345067844003763e-01 9.881413339229775383e-01
0.000000000000000000e+00 -4.254860747184077809e+03 2.060474741695813572e-01 7.316561999335797761e-01 9.281623350637535630e-01 3.598190766349462777e-02
0.000000000000000000e+00 -4.247937818172895277e+03 6.760047164980285128e-01 6.090470923240025591e-01 5.041378822371066493e-01 9.126076891913410538e-01
0.000000000000000000e+00 -4.228847912317199189e+03 9.829509254150832209e-01 1.994950667189382409e-01 8.649238982869164039e-01 9.088224689228612263e-01
0.000000000000000000e+00 -4.193161612931295167e+03 3.964747154007803864e-01 9.616404922149143220e-01 1.908078016922906128e-01 4.751626054563329316e-02
0.000000000000000000e+00 -4.177574849082998298e+03 9.440921948494824800e-01 6.187857845448611060e-01 3.099824455333942685e-01 8.128226393352366852e-02
0.000000000000000000e+00 -4.165201547729025151e+03 1.560306278365675148e-03 2.493876494582434322e-01 7.513002716075050103e-01 9.674471542735161300e-01
0.000000000000000000e+00 -4.147396329917903131e+03 9.955088996890217867e-01 3.959728844788670266e-01 5.186535998527461722e-01 9.120162244699784315e-01
0.000000000000000000e+00 -4.136791693848262184e+03 8.363560527348823381e-02 4.720144717124734601e-01 6.184951350991763075e-01 5.452090423830791011e-02
0.000000000000000000e+00 -4.121550052164168847e+03 4.371887207364207883e-01 1.985663505199546375e-01 5.217851042655818894e-02 7.008851328223808519e-02
0.000000000000000000e+00 -4.084090316089237604e+03 7.696568597094788355e-01 2.701175679284014697e-01 5.604659901240028885e-01 3.510216043962754995e-02
