A w B x0 f sigma_v
5.272970626079701617e+01 5.343184087115606218e+00 4.744909906479489337e+01 -5.712406116314809879e-01 2.817445274109707753e+01 5.343184087115606218e+01
5.115612570326248942e+01 5.218012835014905093e+00 5.014702000905892731e+01 9.349857039092235311e-02 2.669333205092595307e+01 5.218012835014904738e+01
5.954909737119346858e+01 4.549755324166204318e+00 4.975568546285424532e+01 -6.230694476398568327e-01 2.709338228138792104e+01 4.549755324166204673e+01
5.571380762870386860e+01 4.569615524911950999e+00 5.021688737304332761e+01 -1.255312051919972305e-01 2.545906802920830714e+01 4.569615524911951354e+01
4.566574204022194294e+01 5.252309615379700425e+00 5.243404248769162024e+01 -1.110711514871036698e+00 2.398506160113067409e+01 5.252309615379700602e+01
4.861508039498411193e+01 5.251478723162711582e+00 4.814226864350013813e+01 -6.866218908096204387e-01 2.553010603191037120e+01 5.251478723162711759e+01
5.896199778845757322e+01 4.811038347671470206e+00 4.955257412893395497e+01 -9.933394928182703865e-01 2.836684324155897841e+01 4.811038347671470206e+01
4.589363603556067517e+01 5.833356978523267067e+00 5.087664624627984722e+01 -1.082880888866888824e+00 2.677139620378447304e+01 5.833356978523266889e+01
5.418566471688453134e+01 5.398837240472855292e+00 4.655023311309711431e+01 -7.549039459220985293e-02 2.925395845732922595e+01 5.398837240472855115e+01
5.126316275970679470e+01 5.287887376660622252e+00 5.026511290959796696e+01 -2.217536035424139129e-02 2.710738312447524478e+01 5.287887376660621896e+01
5.020495960821475023e+01 5.508126514716268574e+00 5.014109490643851075e+01 -1.180709848732346856e+00 2.765352691882669589e+01 5.508126514716268218e+01
4.943269156012059540e+01 5.636764343929730359e+00 5.136593042622769900e+01 -6.086022935812014367e-01 2.786404332105639270e+01 5.636764343929730359e+01
4.983819680213168368e+01 5.587167689480278199e+00 4.761288140629002896e+01 -5.194770819198719636e-01 2.784543628748294708e+01 5.587167689480278199e+01
5.869510675815898537e+01 4.650613383406543733e+00 4.932553123270950834e+01 -7.700692822995858222e-01 2.729682490299700248e+01 4.650613383406543733e+01
5.162098916044042340e+01 5.972494438091191071e+00 4.772877809838337981e+01 -1.080976637800805662e+00 3.083060706494960712e+01 5.972494438091190716e+01
5.120523461211957539e+01 5.213219021324027480e+00 4.999757054048406957e+01 -7.517108817908422225e-01 2.669441030712612317e+01 5.213219021324027835e+01
4.787379999204129177e+01 4.604404431920438689e+00 5.200935878745661967e+01 -6.431944206363375827e-01 2.204303368562275978e+01 4.604404431920438867e+01
5.454242896156043230e+01 5.180614147624837074e+00 4.912278099571463486e+01 -7.236389425874332204e-01 2.825632791240825981e+01 5.180614147624837074e+01
5.243530178172400014e+01 5.139732831942327884e+00 4.876310562073126675e+01 -1.370249363665456244e+00 2.695034421203308739e+01 5.139732831942328062e+01
5.017769727780976297e+01 5.881379538934623064e+00 4.944747384366007026e+01 -4.459461559400583752e-01 2.951140820805658649e+01 5.881379538934623241e+01
4.771364122890668114e+01 5.282443936695998765e+00 4.921782695979598543e+01 -1.348928160053478820e+00 2.520446348073263465e+01 5.282443936695998588e+01
5.235170500967009843e+01 4.965227318235618803e+00 5.050438514798504031e+01 -7.595181363379754913e-01 2.599381158702264472e+01 4.965227318235618981e+01
4.866012387675274908e+01 4.825096094176057449e+00 5.072075654395219146e+01 2.205272153105575228e-02 2.347897736598428153e+01 4.825096094176057449e+01
5.007959828044321426e+01 4.946757513222109992e+00 4.841316907760050015e+01 -6.331432621507051550e-01 2.477316290529275378e+01 4.946757513222109992e+01
4.890031476809350863e+01 4.849210915024602109e+00 5.362718842454405888e+01 -1.618684264242169490e-01 2.371279401215777938e+01 4.849210915024602286e+01
4.393090987535558156e+01 5.466556571278439414e+00 4.863709006804418067e+01 -9.526999747591187173e-01 2.401508040613659389e+01 5.466556571278439236e+01
5.602287615787459174e+01 5.045504150437339241e+00 4.902479082049147507e+01 -1.338079392142118351e+00 2.826636541739933506e+01 5.045504150437339064e+01
5.250574446349526170e+01 4.985932354181414894e+00 5.009980813516303755e+01 -1.051427593960527318e+00 2.617900901009227255e+01 4.985932354181414894e+01
5.526076966396276902e+01 5.195895623386434181e+00 4.961255893206664780e+01 -8.080751812537290135e-01 2.871291912419499681e+01 5.195895623386434181e+01
6.076302412295023458e+01 4.812245333725938323e+00 4.862486974041901533e+01 -1.046718844014051797e+00 2.924065792987439139e+01 4.812245333725938679e+01
