logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.235639994845263573e+03 -7.241632709131954471e+03 1.264999999999999902e+00
-7.241632709131954471e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.594655893423879206e+03 -4.600651107710570614e+03 1.699999999999999956e+00
-4.600651107710570614e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.494362538590403346e+03 -4.500360252877094354e+03 9.250000000000000444e-01
-4.500360252877094354e+03 7.536795920485366196e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -4.470880280682588818e+03 -4.476880494969280335e+03 1.885000000000000009e+00
-4.476880494969216670e+03 7.599098171998524549e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.358431722303534116e+03 -4.364434436590225232e+03 9.250000000000000444e-01
-4.364434436590225232e+03 7.909945455553254305e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.202296367928398467e+03 -4.208301582215090093e+03 1.425000000000000044e+00
-4.208301582215090093e+03 4.286625574032976260e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.071157768735341961e+03 -4.077165483022033186e+03 1.419999999999999929e+00
-4.077165483022033186e+03 6.470138128468657612e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.798199817635444560e+03 -3.804210031922135840e+03 1.189999999999999947e+00
-3.804210031922135840e+03 1.187824011860336384e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -3.391568010717835023e+03 -3.397580725004526357e+03 3.549999999999999822e-01
-3.397580725004526357e+03 2.340797339917856448e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -3.168819046296519446e+03 -3.174834260583210835e+03 8.549999999999999822e-01
-3.174834260583210835e+03 2.491877971147571031e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.152528948696788575e+03 -3.158546662983480019e+03 1.449999999999999956e+00
-3.158546662899071634e+03 1.036301245155715947e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -3.122624587947325381e+03 -3.128644802234016879e+03 1.824999999999999956e+00
-3.128644802234016879e+03 1.261945707250827198e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.091373559228294653e+03 -3.097396273514985751e+03 1.385000000000000009e+00
-3.097396273514985751e+03 1.383977791031212945e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.091164687282340310e+03 -3.097189901569031463e+03 1.449999999999999956e+00
-3.096594626109364981e+03 1.132860202904051405e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -2.859545754564183881e+03 -2.865573468850875088e+03 2.000000000000000111e-01
-2.865573468850875088e+03 1.089151219500140968e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -2.589752257039519463e+03 -2.595782471326210725e+03 7.800000000000000266e-01
-2.595782471326210725e+03 1.929587204395991193e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -2.387920986494887984e+03 -2.393953700781579300e+03 1.889999999999999902e+00
-2.393953700781579300e+03 2.672252769840378619e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -2.385442846661654585e+03 -2.391478060948345956e+03 1.235000000000000098e+00
-2.391397302351871531e+03 1.946674488591509657e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -2.296308232640300048e+03 -2.302345946926991473e+03 7.500000000000000000e-01
-2.302345946926991473e+03 4.229955906255010945e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -2.222930330507819235e+03 -2.228970544794510715e+03 3.449999999999999734e-01
-2.228970544794510715e+03 5.003386878706250940e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -2.209655802008136561e+03 -2.215698516294828096e+03 1.939999999999999947e+00
-2.215698514572837212e+03 6.664684726835382378e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.182612573941582923e+03 -2.188657788228274057e+03 1.820000000000000062e+00
-2.188657788228272238e+03 1.115072829879538752e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -2.161990038554432431e+03 -2.168037752841123620e+03 1.965000000000000080e+00
-2.168037752840014946e+03 9.572323374905467475e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -2.141698729343046580e+03 -2.147748943629737823e+03 1.469999999999999973e+00
-2.147748943628193501e+03 1.315212944694335384e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.125018338502175538e+03 -2.131071052788866837e+03 1.375000000000000000e+00
-2.131071052731734198e+03 1.439730414730390784e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -2.114795920318481876e+03 -2.120851134605173229e+03 1.270000000000000018e+00
-2.120851098168556746e+03 8.398682095775599876e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.082043967615543806e+03 -2.088101681902235214e+03 9.849999999999999867e-01
-2.088101681902235214e+03 2.166972847444888828e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.075821193486321135e+03 -2.081881407773012597e+03 1.570000000000000062e+00
-2.081879421047876804e+03 1.577581051865194262e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.014662831238043509e+03 -2.020725545524734798e+03 8.000000000000000167e-02
-2.020725545524734798e+03 3.308766823916855060e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.949302521875191815e+03 -1.955367736161883158e+03 1.150000000000000050e-01
-1.955367736161883158e+03 2.867289067639624989e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.895565616520188996e+03 -1.901633330806880394e+03 8.950000000000000178e-01
-1.901633330806880394e+03 3.761171580179443907e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.819166760698364669e+03 -1.825236974985055895e+03 5.949999999999999734e-01
-1.825236974985055895e+03 5.671131733405557185e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -1.817149058148417680e+03 -1.823221772435108960e+03 1.849999999999999978e-01
-1.823096644526252248e+03 1.364068391990146401e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.809556038193113636e+03 -1.815631252479804971e+03 1.129999999999999893e+00
-1.815630680083095285e+03 3.873602942064823473e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.802426570300116509e+03 -1.808504284586807898e+03 1.584999999999999964e+00
-1.808503481298738734e+03 4.260233757464529702e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -1.782979738619747877e+03 -1.789059952906439094e+03 1.574999999999999956e+00
-1.789059952902843406e+03 9.574232501052797772e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -1.751371144447175539e+03 -1.757453858733866809e+03 1.754999999999999893e+00
-1.757453858733866809e+03 1.965811961238872385e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.735401862288865232e+03 -1.741487076575556557e+03 1.800000000000000044e+00
-1.741487076459220361e+03 2.259513308108738272e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.708717852022975421e+03 -1.714805566309666801e+03 6.899999999999999467e-01
-1.714805566309664300e+03 2.799606232049330856e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.699261966233618296e+03 -1.705352180520309503e+03 1.100000000000000089e+00
-1.705352102099795047e+03 1.426189454298539694e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -1.696591137658018852e+03 -1.702683851944710113e+03 1.054999999999999938e+00
-1.702616778970467749e+03 3.580502620488117405e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.617160772212568190e+03 -1.623255986499259507e+03 3.599999999999999867e-01
-1.623255986499259507e+03 4.083354912076585208e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -1.603629837234100705e+03 -1.609727551520792076e+03 2.000000000000000000e+00
-1.609727550188267969e+03 3.483500166112722241e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.596943241893424783e+03 -1.603043456180116209e+03 6.149999999999999911e-01
-1.603042206314207078e+03 3.692802312870067283e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.579055886066125822e+03 -1.585158600352817075e+03 4.000000000000000083e-02
-1.585158600335707206e+03 3.153405226606808043e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.528366944989844342e+03 -1.534472159276535649e+03 1.074999999999999956e+00
-1.534472159276535649e+03 4.843084438517983870e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.510501652151393500e+03 -1.516609366438084862e+03 4.000000000000000222e-01
-1.516609366420615061e+03 3.174890299183302744e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.505925268059065274e+03 -1.512035482345756691e+03 1.435000000000000053e+00
-1.512025217404343266e+03 2.039743801223722031e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.475353670416488967e+03 -1.481466384703180211e+03 1.350000000000000089e+00
-1.481466384703180211e+03 1.878213963278416898e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.465476700496463309e+03 -1.471591914783154607e+03 1.050000000000000044e+00
-1.471591863312341957e+03 1.718574322563933876e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.454114577569600442e+03 -1.460232291856291795e+03 1.199999999999999956e+00
-1.460232280198983972e+03 1.391166239135104554e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -1.438447356370275884e+03 -1.444567570656967291e+03 1.919999999999999929e+00
-1.444567570499604244e+03 1.924812766802090280e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -1.399712012700589185e+03 -1.405834726987280419e+03 5.150000000000000133e-01
-1.405834726987280419e+03 1.692730357941739783e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -1.396432027295077205e+03 -1.402557241581768494e+03 1.435000000000000053e+00
-1.402520212696146473e+03 1.364361882705197759e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -1.384513363608490181e+03 -1.390641077895181525e+03 3.800000000000000044e-01
-1.390641070961629111e+03 5.985956962524358715e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -1.379494742973925895e+03 -1.385624957260617293e+03 4.000000000000000222e-01
-1.385618348900194405e+03 5.979394790422877470e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -1.372965080647822106e+03 -1.379097794934513331e+03 1.750000000000000000e+00
-1.379096323165131025e+03 7.164839229966721845e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -1.368345462981897072e+03 -1.374480677268588352e+03 1.129999999999999893e+00
-1.374470830121587142e+03 8.695130132865299899e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -1.365260263084303006e+03 -1.371397977370994340e+03 7.499999999999999722e-02
-1.371352727833554809e+03 2.946507800838378266e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -1.363379198635762805e+03 -1.369519412922454194e+03 6.500000000000000222e-01
-1.369371094050511147e+03 1.822647761339683203e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -1.352143159727345846e+03 -1.358285874014037063e+03 5.749999999999999556e-01
-1.358285858676812495e+03 4.212916638399690328e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -1.347867202883069695e+03 -1.354012417169760965e+03 2.999999999999999889e-02
-1.353998579604544148e+03 2.273519229457295676e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -1.342221195714182613e+03 -1.348368910000873939e+03 9.599999999999999645e-01
