weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -7.235639994845263573e+03 7.979944857938025393e+01 1.156890709711567267e+00 2.219635824699139892e+00 9.853599619298787360e+00 9.231924070159093887e+00 1.156890709711567311e+01
0.000000000000000000e+00 -4.594655893423879206e+03 5.187875675875963211e+00 1.190523795063363011e+01 3.535958184009313499e+00 2.063714010601280791e-02 6.176289437960760687e+00 1.190523795063363082e+02
0.000000000000000000e+00 -4.494362538590403346e+03 3.729345966776639187e+01 2.250113244091448195e+00 4.189530566524924282e+00 3.750513637806296430e-01 8.391450751643141359e+00 2.250113244091448195e+01
0.000000000000000000e+00 -4.470880280682588818e+03 5.927772628407945277e+00 6.157372946087084742e+00 5.261293399347499289e+00 -8.783595111474431505e+00 3.649950681271461495e+00 6.157372946087085097e+01
0.000000000000000000e+00 -4.358431722303534116e+03 9.436580893496460121e+00 1.624635892634184486e+01 4.697400225773917803e-01 -1.043685105060179197e+00 1.533100802332031165e+01 1.624635892634184415e+02
0.000000000000000000e+00 -4.202296367928398467e+03 8.902234171897545423e+01 2.772064270432007760e+00 3.571292127435410357e+00 -4.806247002655088529e+00 2.467756527493605745e+01 2.772064270432007760e+01
0.000000000000000000e+00 -4.071157768735341961e+03 7.571783198508608592e+00 1.497396457334439823e+01 3.220797307326794812e+00 -8.098862225580900187e+00 1.133796133715122423e+01 1.497396457334439788e+02
0.000000000000000000e+00 -3.798199817635444560e+03 2.252427420257738788e+01 5.399977226583055234e+00 4.430244928698856555e+00 5.747009028756050242e+00 1.216305677392301021e+01 5.399977226583055057e+01
0.000000000000000000e+00 -3.391568010717835023e+03 6.746404702007143328e+01 1.668433455108559782e+00 7.823350198723577620e+00 4.867127978164013768e+00 1.125592730653041151e+01 1.668433455108559826e+01
0.000000000000000000e+00 -3.168819046296519446e+03 3.858905111096873952e+01 5.308570466925967679e+00 3.994187411746519256e+00 -2.702860039650145652e+00 2.048526970743853681e+01 5.308570466925967679e+01
0.000000000000000000e+00 -3.152528948696788575e+03 1.132097297158559712e+01 7.498506823428252588e+00 6.749941205494169871e+00 1.048075340970033409e+00 8.489039307528141620e+00 7.498506823428252233e+01
0.000000000000000000e+00 -3.122624587947325381e+03 6.194174550814423696e+00 1.026581414064162878e+01 8.300966914093145022e+00 -8.413574349865236002e+00 6.358824469335321972e+00 1.026581414064162914e+02
0.000000000000000000e+00 -3.091373559228294653e+03 1.454499875285006993e+01 1.485058139316237558e+01 2.018061010232952146e+00 -4.743662614484458473e+00 2.160016878426451825e+01 1.485058139316237487e+02
0.000000000000000000e+00 -3.091164687282340310e+03 9.847619506258521227e+00 1.354715002344916641e+01 5.200896458415737555e+00 -4.271622092766442336e+00 1.334071788251285895e+01 1.354715002344916570e+02
0.000000000000000000e+00 -2.859545754564183881e+03 8.385860189597939041e+01 1.620979078802086359e+00 9.598440050191758388e+00 -4.996440191495423733e+00 1.359330392509755470e+01 1.620979078802086448e+01
0.000000000000000000e+00 -2.589752257039519463e+03 6.066558288649604336e+00 1.106239150486694278e+01 1.039132110323877001e+01 -1.362335977911540041e+00 6.711064287613751844e+00 1.106239150486694314e+02
