weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -7.235639994845263573e+03 7.979944857938024994e-01 8.257405774293014034e-03 2.219635824699139892e-02 9.926799809649393680e-01 4.466660612512638462e-01 1.152673600217735128e-02
0.000000000000000000e+00 -4.594655893423879206e+03 5.187875675875963655e-02 5.739598921386120933e-01 3.535958184009313499e-02 5.010318570053006182e-01 8.628655280341759326e-01 4.444532991979495140e-01
0.000000000000000000e+00 -4.494362538590403346e+03 3.729345966776639321e-01 6.579543389954989330e-02 4.189530566524923838e-02 5.187525681890314821e-01 8.272877156969974388e-01 2.362221282598154781e-01
0.000000000000000000e+00 -4.470880280682588818e+03 5.927772628407945721e-02 2.714406813730044776e-01 5.261293399347499733e-02 6.082024442627842475e-02 5.635446851630380172e-01 1.870315992881022016e-01
0.000000000000000000e+00 -4.358431722303534116e+03 9.436580893496460121e-02 8.024399434916760221e-01 4.697400225773917803e-03 4.478157447469910402e-01 3.404945548961084700e-01 2.880563137524649875e-01
0.000000000000000000e+00 -4.202296367928398467e+03 8.902234171897545068e-01 9.326654054905303415e-02 3.571292127435410357e-02 2.596876498672455735e-01 5.697578699648342404e-01 3.162812544044169005e-01
0.000000000000000000e+00 -4.071157768735341961e+03 7.571783198508608148e-02 7.354718196497052052e-01 3.220797307326794812e-02 9.505688872095496844e-02 2.408874179815798655e-01 7.447021814733371103e-01
0.000000000000000000e+00 -3.798199817635444560e+03 2.252427420257738788e-01 2.315777487675292345e-01 4.430244928698856555e-02 7.873504514378024677e-01 1.345241972587393198e-01 3.945081916369943542e-01
0.000000000000000000e+00 -3.391568010717835023e+03 6.746404702007142706e-01 3.518070816360840958e-02 7.823350198723577620e-02 7.433563989082007106e-01 4.262469384437919118e-01 8.221245552487392860e-01
0.000000000000000000e+00 -3.168819046296519446e+03 3.858905111096874174e-01 2.267668666803140942e-01 3.994187411746519256e-02 3.648569980174927174e-01 5.877053990280431961e-01 6.478048589637196431e-01
0.000000000000000000e+00 -3.152528948696788575e+03 1.132097297158559668e-01 3.420266749172764520e-01 6.749941205494169871e-02 5.524037670485016926e-01 8.503351161100337618e-01 2.627651513061903810e-01
0.000000000000000000e+00 -3.122624587947325381e+03 6.194174550814424141e-02 4.876744284548225616e-01 8.300966914093144133e-02 7.932128250673819991e-02 4.425774540865554663e-01 8.413813203169167032e-01
