A w B x0 f sigma_v
5.771012682148772655e+01 4.928107692440523380e+00 5.783673898361008980e+01 4.770762678291458059e-01 2.844017199206918534e+01 4.928107692440523380e+01
5.794183382103930313e+01 4.263424790521053609e+00 5.966740221465914829e+01 6.207538174705788947e-01 2.470306507208702129e+01 4.263424790521053609e+01
5.527560995214405892e+01 4.357410801769993292e+00 5.825879233731026119e+01 -3.205511539457912562e-01 2.408585398798974708e+01 4.357410801769993469e+01
5.365838216245819581e+01 5.212054381256094437e+00 5.738663735495133977e+01 6.792079240100576953e-01 2.796704058409541105e+01 5.212054381256094615e+01
5.239781011365993635e+01 5.232692124187400928e+00 5.821185172875561165e+01 3.399307928414412316e-01 2.741816083064152920e+01 5.232692124187401106e+01
5.791239649865102024e+01 4.287919973379265670e+00 6.009330264178596082e+01 1.037455407803271612e-01 2.483237216528251423e+01 4.287919973379266025e+01
5.804031452952516190e+01 5.167100622635258489e+00 5.841048550338500434e+01 3.011537189273880699e-01 2.999001453434556907e+01 5.167100622635258844e+01
5.771012682148772655e+01 4.928107692440523380e+00 5.783673898361008980e+01 4.770762678291458059e-01 2.844017199206918534e+01 4.928107692440523380e+01
4.997112380490840167e+01 5.059819391998904514e+00 6.156593199735730337e+01 7.080343820297763102e-02 2.528448612680536201e+01 5.059819391998904337e+01
4.840721815689647656e+01 5.043931928470989590e+00 6.053962900811743708e+01 6.208669015310732675e-01 2.441627132300307679e+01 5.043931928470989590e+01
5.511764816228875929e+01 4.462928968090207782e+00 6.149948195062907530e+01 7.378461244856993062e-02 2.459861486364825112e+01 4.462928968090207604e+01
5.817050263721264258e+01 4.438512161459707173e+00 5.810073060991405214e+01 3.674190495683333779e-01 2.581904833934923005e+01 4.438512161459706817e+01
5.410459853300827149e+01 4.782600942575919056e+00 6.162742147589983688e+01 3.824423263052736388e-01 2.587607039416570132e+01 4.782600942575918879e+01
6.382946587695820995e+01 4.999165032798153163e+00 5.800324140448412891e+01 2.976330678692917786e-01 3.190940338742723981e+01 4.999165032798153163e+01
5.327708639946777680e+01 4.304632718614669784e+00 6.125655116536855616e+01 4.554029135739057210e-01 2.293382892676096318e+01 4.304632718614669784e+01
6.250813448249661519e+01 4.694624089347824381e+00 5.785031721077073996e+01 5.766494283209055993e-02 2.934521939217220421e+01 4.694624089347824736e+01
5.113954354607975716e+01 5.419580923552795859e+00 5.944119131452748661e+01 7.764765432473907936e-02 2.771548946415313708e+01 5.419580923552796037e+01
5.461567211527569299e+01 5.525923389000515051e+00 5.958553954423236121e+01 5.781949334929148421e-01 3.018020199477852117e+01 5.525923389000514874e+01
5.578135463304678865e+01 4.873655377440881509e+00 5.954964771442440252e+01 9.021594944305544317e-01 2.718590989682853021e+01 4.873655377440881864e+01
5.880807392199124450e+01 5.003980950929968863e+00 5.953631496609593654e+01 -1.427954047124089243e-01 2.942744816665256735e+01 5.003980950929968685e+01
5.771927629725218623e+01 4.188456700036560676e+00 6.123784761097481777e+01 1.429941469608309035e-01 2.417546895284873898e+01 4.188456700036560676e+01
5.207767180435741494e+01 4.850538581643771607e+00 6.151419953924450823e+01 1.110987125558331456e-01 2.526047563292176434e+01 4.850538581643771607e+01
5.542193881085542273e+01 4.849762475188850175e+00 5.881931389395476373e+01 2.713532527502575675e-01 2.687832391470992022e+01 4.849762475188850175e+01
5.711529031400108636e+01 4.858001175996943033e+00 5.971928456712587518e+01 6.864249038323766428e-01 2.774661475128240795e+01 4.858001175996943033e+01
6.001254288337375442e+01 5.102003840961373271e+00 5.862056667240486973e+01 -9.242454076135508956e-02 3.061842242968320349e+01 5.102003840961373271e+01
5.579717555868968049e+01 4.226649783291216878e+00 5.993494622939604710e+01 -1.175884180488750985e-02 2.358351199833977319e+01 4.226649783291216522e+01
5.016169439901070604e+01 5.034442937253233552e+00 6.051694636702206509e+01 8.512393592134532838e-01 2.525361880877545318e+01 5.034442937253233197e+01
4.782220574151255477e+01 4.991534792224254780e+00 6.063264679096818099e+01 1.003093808998123393e+00 2.387062037996664543e+01 4.991534792224254602e+01
5.513114296709045448e+01 5.218515946079829604e+00 5.771625121167956252e+01 -8.892833068871297542e-02 2.877027486993683780e+01 5.218515946079829604e+01
6.394530829357365320e+01 4.993975500562593872e+00 5.705334264436419289e+01 3.293689238491452898e-01 3.193413029940288794e+01 4.993975500562594050e+01
5.056523290569268880e+01 5.555071250995911925e+00 5.902896655646243573e+01 5.781722420633634840e-01 2.808934716143259536e+01 5.555071250995911925e+01
4.853810301883193290e+01 6.744081805798916918e+00 5.599598325880534588e+01 5.081801273468240510e-01 3.273449374572979309e+01 6.744081805798916207e+01
