logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.177242709977982668e+04 -1.177841981406651757e+04 1.850000000000000089e+00
-1.177841981406651757e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.975771405283035165e+03 -7.981766619569726572e+03 1.379999999999999893e+00
-7.981766619569726572e+03 1.414627714606570862e+03 -5.000000000000000104e-03 4.000000000000000000e+02 -5.961625218680318540e+03 -5.967622932967009547e+03 1.100000000000000006e-01
-5.967622932967009547e+03 1.678815637882680221e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -5.233274652606664858e+03 -5.239274866893356375e+03 1.100000000000000006e-01
-5.239274866893356375e+03 1.766221141547184516e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -4.958848590130627599e+03 -4.964851304417318715e+03 1.080000000000000071e+00
-4.964851304417318715e+03 4.274525711475626508e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.832378446528994573e+03 -4.838383660815686198e+03 7.149999999999999689e-01
-4.838383660815686198e+03 3.092140383073041789e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -4.730053125167992221e+03 -4.736060839454683446e+03 1.900000000000000022e-01
-4.736060839454683446e+03 3.258295430376369382e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -4.319286738785841408e+03 -4.325296953072533142e+03 1.300000000000000044e-01
-4.325296953072533142e+03 2.197815911310437684e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -4.224351483613358141e+03 -4.230364197900049476e+03 1.135000000000000009e+00
-4.230364197900049476e+03 1.990132186632641833e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -4.161618447204364202e+03 -4.167633661491055136e+03 1.554999999999999938e+00
-4.167633661491055136e+03 4.692768207975738903e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.080199746589192728e+03 -4.086217460875884171e+03 1.475000000000000089e+00
-4.086217460875884171e+03 7.264767705955708266e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.906547934978891135e+03 -3.912568149265582633e+03 1.604999999999999982e+00
-3.912568149265582633e+03 1.324389345784396710e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -3.772066794116071833e+03 -3.778089508402762931e+03 2.550000000000000044e-01
-3.778089508402762931e+03 1.704337477007115638e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -3.562457414971824619e+03 -3.568482629258515772e+03 1.784999999999999920e+00
-3.568482629258515772e+03 1.558186037403405066e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -3.284992713802499566e+03 -3.291020428089190773e+03 8.500000000000000611e-02
-3.291020428089190773e+03 7.588478134595793279e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.269154222890378151e+03 -3.275184437177069412e+03 2.550000000000000044e-01
-3.275184437044477818e+03 7.953829291967093695e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.198512620735360542e+03 -3.204545335022051859e+03 8.950000000000000178e-01
-3.204545335022051859e+03 9.861778352681588444e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.040730592190056996e+03 -3.046765806476748367e+03 8.149999999999999467e-01
-3.046765806476748367e+03 8.469369702151580270e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -2.874875485986638523e+03 -2.880913200273329949e+03 1.449999999999999900e-01
-2.880913200273329949e+03 1.326773817021631032e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -2.840357560642865792e+03 -2.846397774929557272e+03 1.550000000000000044e+00
-2.846397774929557272e+03 5.503124453280336326e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -2.834703102095189024e+03 -2.840745816381880559e+03 8.649999999999999911e-01
-2.840742311895479816e+03 1.468718974380741393e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -2.787634327318879514e+03 -2.793679541605570648e+03 2.999999999999999889e-01
-2.793679541605570648e+03 3.029171202386914175e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -2.768359914437314728e+03 -2.774407628724005917e+03 1.719999999999999973e+00
-2.774407628719737204e+03 4.994349993829916734e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -2.681597785347012177e+03 -2.687647999633703421e+03 1.314999999999999947e+00
-2.687647999633703421e+03 4.099485811028736748e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.347156308976936998e+03 -2.353209023263628296e+03 6.400000000000000133e-01
-2.353209023263628296e+03 1.584996131471199590e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -2.329883664484763358e+03 -2.335938878771454711e+03 1.814999999999999947e+00
-2.335938878739855681e+03 1.277898306496731493e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -2.323671051281811742e+03 -2.329728765568503150e+03 7.499999999999999722e-02
-2.329726758573776351e+03 1.688229564826458695e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.234251779754767995e+03 -2.240311994041459457e+03 8.399999999999999689e-01
-2.240311994041459457e+03 4.417315525838991164e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.160849784044505213e+03 -2.166912498331196730e+03 3.549999999999999822e-01
-2.166912498331196730e+03 6.101639636919607312e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.122804608792657746e+03 -2.128869823079348862e+03 1.389999999999999902e+00
-2.128869823079348862e+03 5.884683395260557148e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.077641241339058979e+03 -2.083708955625750150e+03 1.985000000000000098e+00
-2.083708955625750150e+03 3.088163308911697413e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -2.065930054082622519e+03 -2.072000268369313744e+03 1.550000000000000044e+00
