weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.177242709977982668e+04 4.959211247894900865e+00 2.562036814539403906e+00 8.958567046118859345e-01 -8.190680222437764613e+00 1.270568178818463512e+00 2.562036814539403906e+01
0.000000000000000000e+00 -7.975771405283035165e+03 8.202115455185914072e+01 2.236338647908238997e+00 1.536199602167120926e+00 -4.041959774134498140e+00 1.834270778703773530e+01 2.236338647908238997e+01
0.000000000000000000e+00 -5.961625218680318540e+03 1.553833495265224407e+01 5.557267787538827442e+00 2.791986947327174118e+00 3.012677517655571791e+00 8.635068830436296139e+00 5.557267787538827264e+01
0.000000000000000000e+00 -5.233274652606664858e+03 5.769130377179705249e+01 1.743865778558684632e+00 5.206645050117931106e+00 6.727259820663977763e-01 1.006058903680704475e+01 1.743865778558684809e+01
0.000000000000000000e+00 -4.958848590130627599e+03 4.146247352596967062e+01 6.602095248183914578e+00 1.055759964980351739e+00 1.276581652607768902e+00 2.737391994437556875e+01 6.602095248183914578e+01
0.000000000000000000e+00 -4.832378446528994573e+03 3.185532347106007123e+01 1.179762892313501732e+00 7.922497122884086806e+00 7.625508016837379444e+00 3.758172855380000676e+00 1.179762892313501688e+01
0.000000000000000000e+00 -4.730053125167992221e+03 2.702416878187030580e+00 1.576348842723665022e+01 7.284925064716185616e+00 -6.011344356877826201e+00 4.259951718487025474e+00 1.576348842723664916e+02
0.000000000000000000e+00 -4.319286738785841408e+03 1.589558271061101102e+01 1.058545385522604576e+01 4.303333216605398803e+00 -9.299945146037224220e+00 1.682619572851017864e+01 1.058545385522604647e+02
0.000000000000000000e+00 -4.224351483613358141e+03 7.778760879985314602e+01 4.756802882375029462e+00 3.075939424062545946e+00 5.362300450250153006e+00 3.700203217522026478e+01 4.756802882375029640e+01
0.000000000000000000e+00 -4.161618447204364202e+03 7.750811379557315206e+01 1.327365072092507869e+00 9.394970456288653793e+00 -7.649237652362823603e+00 1.028815630560152705e+01 1.327365072092507958e+01
0.000000000000000000e+00 -4.080199746589192728e+03 7.920102014496335130e+01 4.210988032419291649e+00 3.787798097974848233e+00 2.863905708683658347e+00 3.335145479858398687e+01 4.210988032419291471e+01
0.000000000000000000e+00 -3.906547934978891135e+03 1.330327298793889668e+01 5.398528364934859880e+00 8.722226788293873767e+00 8.930731119920615413e+00 7.181809657185985074e+00 5.398528364934860235e+01
0.000000000000000000e+00 -3.772066794116071833e+03 1.705093546074064648e+01 3.356734602566828318e+00 9.847045916394314702e+00 -5.196260072280320941e+00 5.723546506720189164e+00 3.356734602566828585e+01
0.000000000000000000e+00 -3.562457414971824619e+03 1.430925433599135133e+01 1.330504306332165498e+01 4.315500788139658539e+00 -5.991115851018697924e-01 1.903852451443870564e+01 1.330504306332165356e+02
0.000000000000000000e+00 -3.284992713802499566e+03 3.004580644878384987e+01 6.333806446514299360e+00 7.587198201334910408e+00 -6.209141990182535764e+00 1.903043225760280421e+01 6.333806446514299182e+01
0.000000000000000000e+00 -3.269154222890378151e+03 6.896173034569308413e+00 7.419011190760098629e+00 1.187882466293123152e+01 -4.137629119728241101e+00 5.116278491688772689e+00 7.419011190760099339e+01
0.000000000000000000e+00 -3.198512620735360542e+03 1.003769447945109761e+01 1.019854717828699719e+01 1.004574219423831671e+01 9.625312214271172451e+00 1.023699007099129510e+01 1.019854717828699791e+02
0.000000000000000000e+00 -3.040730592190056996e+03 7.620730894971919156e+01 7.112957777803891268e+00 2.476587711729172359e+00 -3.055786728441209910e+00 5.420593709194091758e+01 7.112957777803890735e+01
0.000000000000000000e+00 -2.874875485986638523e+03 2.397535017477988717e+01 1.347170239687327253e+01 4.952634874229011608e+00 -8.550730327696454580e+00 3.229887824154582177e+01 1.347170239687327182e+02
0.000000000000000000e+00 -2.840357560642865792e+03 2.424192831850194807e+01 1.102301102969639324e+01 7.043662816763474055e+00 -8.421012658394648298e+00 2.672190432359563061e+01 1.102301102969639288e+02
0.000000000000000000e+00 -2.834703102095189024e+03 2.210164473083409220e+01 1.965233873626051508e+00 1.463321649209371422e+01 -2.003709586493229722e+00 4.343490088788389158e+00 1.965233873626051420e+01
0.000000000000000000e+00 -2.787634327318879514e+03 5.129052394162059159e+01 8.032933674947939195e+00 2.829569808764442751e+00 4.652973918459970548e+00 4.120133769763675957e+01 8.032933674947939551e+01
0.000000000000000000e+00 -2.768359914437314728e+03 5.929902078563067391e+01 6.746753471457550333e+00 5.017018769284331547e+00 7.429023688554124760e+00 4.000758743394872141e+01 6.746753471457550688e+01
