weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.177242709977982668e+04 4.959211247894901309e-02 8.221246392312653306e-02 8.958567046118859345e-03 9.046598887811174716e-02 8.768772661222112852e-02 6.086642310251830779e-01
0.000000000000000000e+00 -7.975771405283035165e+03 8.202115455185914339e-01 6.507045515306519867e-02 1.536199602167120926e-02 2.979020112932750930e-01 7.627201901674416362e-01 7.824880196915187103e-01
0.000000000000000000e+00 -5.961625218680318540e+03 1.553833495265224407e-01 2.398561993441488127e-01 2.791986947327174118e-02 6.506338758827785451e-01 6.956690295410470348e-01 1.403043522397215970e-01
0.000000000000000000e+00 -5.233274652606664858e+03 5.769130377179705338e-01 3.915083045045708587e-02 5.206645050117930662e-02 5.336362991033198888e-01 3.399104378112236535e-01 5.604912994851045660e-01
0.000000000000000000e+00 -4.958848590130627599e+03 4.146247352596966751e-01 2.948471183254691708e-01 1.055759964980351739e-02 5.638290826303884451e-01 8.047339630381951103e-01 7.811649095265014164e-01
0.000000000000000000e+00 -4.832378446528994573e+03 3.185532347106007078e-01 9.461204858605354318e-03 7.922497122884086806e-02 8.812754008418689500e-01 4.501088872775025340e-01 8.002801528864641467e-01
0.000000000000000000e+00 -4.730053125167992221e+03 2.702416878187030580e-02 7.770257066966658188e-01 7.284925064716185616e-02 1.994327821561087122e-01 5.137408540140406821e-01 1.473170118533352335e-01
0.000000000000000000e+00 -4.319286738785841408e+03 1.589558271061101147e-01 5.044975713276865781e-01 4.303333216605398359e-02 3.500274269813874461e-02 9.892161968952182249e-01 2.631767357691267017e-01
0.000000000000000000e+00 -4.224351483613358141e+03 7.778760879985314736e-01 1.977264674934225974e-01 3.075939424062545946e-02 7.681150225125076281e-01 8.581244205785200085e-01 7.969615759353605444e-01
0.000000000000000000e+00 -4.161618447204364202e+03 7.750811379557315250e-01 1.722974063644777676e-02 9.394970456288653793e-02 1.175381173818588199e-01 3.183084844101609079e-01 6.245382736308269234e-02
0.000000000000000000e+00 -4.080199746589192728e+03 7.920102014496335219e-01 1.689993701273311277e-01 3.787798097974848233e-02 6.431952854341829173e-01 1.393420869355153080e-01 3.678824538641509712e-01
0.000000000000000000e+00 -3.906547934978891135e+03 1.330327298793889668e-01 2.315014928913083914e-01 8.722226788293874211e-02 9.465365559960308151e-01 7.548622172989380985e-01 5.448250351246929357e-01
0.000000000000000000e+00 -3.772066794116071833e+03 1.705093546074064603e-01 1.240386632929909583e-01 9.847045916394314702e-02 2.401869963859839530e-01 2.902071635668346250e-01 7.188702856643326422e-01
0.000000000000000000e+00 -3.562457414971824619e+03 1.430925433599135044e-01 6.476338454379818588e-01 4.315500788139658983e-02 4.700444207449064882e-01 6.556383787479823644e-01 9.925499148041844188e-01
0.000000000000000000e+00 -3.284992713802499566e+03 3.004580644878385165e-01 2.807266550796999605e-01 7.587198201334910408e-02 1.895429004908731896e-01 4.617603271277005428e-01 1.030236415809073769e-01
0.000000000000000000e+00 -3.269154222890378151e+03 6.896173034569308413e-02 3.378426942505314834e-01 1.187882466293123107e-01 2.931185440135879450e-01 9.077048612518923143e-02 1.197971265445963995e-01
0.000000000000000000e+00 -3.198512620735360542e+03 1.003769447945109805e-01 4.841340620151051155e-01 1.004574219423831627e-01 9.812656107135585559e-01 9.253705017553770507e-02 3.375684035875599065e-01
0.000000000000000000e+00 -3.040730592190056996e+03 7.620730894971918801e-01 3.217346198844153182e-01 2.476587711729172359e-02 3.472106635779395045e-01 7.109922378613846572e-01 8.281233483432521858e-01
0.000000000000000000e+00 -2.874875485986638523e+03 2.397535017477988584e-01 6.564053893091196246e-01 4.952634874229011608e-02 7.246348361517729320e-02 2.009150645856584427e-01 9.017278077910956258e-01
0.000000000000000000e+00 -2.840357560642865792e+03 2.424192831850194851e-01 5.275268962998101996e-01 7.043662816763474055e-02 7.894936708026756289e-02 7.045112590231572547e-02 3.619811544624345068e-01
0.000000000000000000e+00 -2.834703102095189024e+03 2.210164473083409131e-01 5.080178282242375776e-02 1.463321649209371467e-01 3.998145206753385139e-01 3.223206738995599840e-01 5.010402336321272410e-01
0.000000000000000000e+00 -2.787634327318879514e+03 5.129052394162059159e-01 3.701544039446283962e-01 2.829569808764442751e-02 7.326486959229985274e-01 3.213205758364612308e-02 8.916183829905338643e-01
0.000000000000000000e+00 -2.768359914437314728e+03 5.929902078563067391e-01 3.024607090240816198e-01 5.017018769284331547e-02 8.714511844277061936e-01 1.591133943194312783e-01 1.146794251631213513e-01
0.000000000000000000e+00 -2.681597785347012177e+03 2.133378267301179187e-01 1.738686811076622929e-01 1.436929858665053628e-01 1.273955157505546332e-01 4.026807994739066698e-01 3.127083533449178665e-01
0.000000000000000000e+00 -2.347156308976936998e+03 7.093883277927670594e-02 7.383687282402962015e-02 1.906735407599362553e-01 5.138556636829829660e-01 7.437827046939515796e-02 2.095143522759770338e-01
0.000000000000000000e+00 -2.329883664484763358e+03 1.512792270309903930e-01 1.450986684447039821e-01 1.690158415573970174e-01 5.527438003398373878e-01 7.356670763835281290e-01 9.421197100930376322e-01
0.000000000000000000e+00 -2.323671051281811742e+03 1.588544520831225437e-02 2.695905247945764582e-01 1.988426032535230981e-01 7.558254926679612851e-01 2.152629663306873109e-01 1.684635078225467097e-01
0.000000000000000000e+00 -2.234251779754767995e+03 1.704411145822037899e-02 9.621652782774718915e-01 1.980665422080196691e-01 7.094167070561305799e-01 9.165590824971753259e-01 7.260060284475644554e-02
0.000000000000000000e+00 -2.160849784044505213e+03 8.310510800502601825e-02 1.690772137561343813e-01 1.944449523882324504e-01 5.762562417280302496e-01 4.665844831976138085e-01 6.943402087412429147e-01
0.000000000000000000e+00 -2.122804608792657746e+03 3.674195353491543914e-01 3.756858475890246796e-01 9.350888140456303788e-02 3.662580825384076366e-01 8.270091935984826836e-01 4.987883935774487520e-01
0.000000000000000000e+00 -2.077641241339058979e+03 8.754881369732542273e-01 4.147901292444901022e-01 6.600551752859007415e-02 3.485277924228991075e-02 8.689606003004607393e-01 9.147523357340064942e-01
0.000000000000000000e+00 -2.065930054082622519e+03 5.739448570602510014e-01 2.738338495743495304e-01 1.318376219132531002e-01 5.671355513319886743e-02 3.087019196395974774e-01 7.090962099921696016e-01
0.000000000000000000e+00 -1.946109393182909116e+03 4.260261139851750922e-01 2.319409118901167854e-01 1.438458715413143407e-01 2.833263712396152378e-01 6.303681374684401151e-01 8.489146489925508687e-01
