A w B x0 k b f sigma_v
5.820116481738178038e+01 5.402418331082548875e+00 4.975396769905842831e+01 -5.700900857744457539e-01 6.600028242577662407e-01 6.514920830302115107e+00 3.144270396997800532e+01 5.402418331082549230e+01
5.409872312980965603e+01 5.028977607627393986e+00 5.067969611994921308e+01 -3.930170600615774390e-01 5.599793913277852919e-01 9.318258546954995225e+00 2.720612672210469185e+01 5.028977607627393809e+01
6.275590937929087687e+01 4.661209147697924493e+00 5.481149320508442457e+01 -4.689661152844522007e-01 6.757100040858574630e-01 2.077307885037219748e+00 2.925184188708525923e+01 4.661209147697924493e+01
6.161561097984792212e+01 4.224502862659134550e+00 4.134744392407814217e+01 2.965074485694767503e-01 5.879553891833131374e-01 1.740677105517542600e+01 2.602953249688591697e+01 4.224502862659134905e+01
5.652218929226735611e+01 4.958975105640332615e+00 4.996892528627297025e+01 -1.296704320166721658e-01 5.962374423205571983e-01 9.147147859909027900e+00 2.802921296166443810e+01 4.958975105640332970e+01
5.273817029094016817e+01 5.478226140278976253e+00 5.154948542590083349e+01 -9.726005161001491928e-01 7.141066892344762884e-01 7.281760119659948849e+00 2.889116230783125161e+01 5.478226140278976430e+01
5.178571198193533576e+01 4.680783531563679212e+00 4.777256368030713674e+01 -1.159853790738051060e+00 6.406024216622026035e-01 1.338094699502170926e+01 2.423977078153428266e+01 4.680783531563679389e+01
6.123048022323970230e+01 4.878528876265613157e+00 5.567999550133498587e+01 -4.732197829134818789e-01 5.202983458589103272e-01 3.348651586209344444e+00 2.987146658766854301e+01 4.878528876265612979e+01
5.474354282565440144e+01 4.583296058156130393e+00 4.193636697418909165e+01 -7.360370447170083708e-02 5.891945150007558141e-01 1.684423945036398607e+01 2.509058640423231168e+01 4.583296058156130215e+01
6.030850732720692520e+01 5.376517167841642575e+00 5.385525351604047728e+01 -4.324135371175490405e-01 6.023360887888300486e-01 4.052179492799887761e+00 3.242497250116315399e+01 5.376517167841642220e+01
4.918437143554216107e+01 5.259806661201806399e+00 4.287616328897777862e+01 -1.565990276162096961e-01 6.211178597779891675e-01 1.734964872869537089e+01 2.587002845036885290e+01 5.259806661201806577e+01
5.818303041081667004e+01 4.716744226822063624e+00 5.750180245686645719e+01 4.778982379066576414e-02 6.264481153058873986e-01 2.537334440396721291e+00 2.744344727892320890e+01 4.716744226822063979e+01
4.519115053953070316e+01 5.444400970542949025e+00 5.209353782139034195e+01 -1.349632385568458659e+00 5.391653291382272339e-01 5.863749648647694102e+00 2.460387438573734897e+01 5.444400970542949381e+01
5.754528031426004731e+01 4.554131694461702295e+00 5.571902632784154719e+01 4.852107536262195708e-03 5.328165435819551821e-01 5.015937197773050471e+00 2.620687849458547447e+01 4.554131694461702295e+01
4.763600465944274021e+01 5.075267686930386546e+00 5.905081540633675274e+01 -1.113075749899422817e+00 5.233230159422617156e-01 1.483435977133631400e+00 2.417654751825350701e+01 5.075267686930386901e+01
5.194056920796430177e+01 5.079028403505503775e+00 3.990856330219087766e+01 -2.659903221864841072e-01 6.934712605699575594e-01 1.891445393711546430e+01 2.638076263014940537e+01 5.079028403505503775e+01
4.364077069845691881e+01 5.687446421837132782e+00 4.341809989568344008e+01 -2.500198770372250578e-01 4.535882770223509386e-01 1.571119490441000366e+01 2.482045451551535820e+01 5.687446421837132959e+01
5.333482203052788151e+01 4.714155599937846830e+00 4.706677705840053250e+01 -2.463585896670892339e-01 6.344222059891946319e-01 1.438323763822838686e+01 2.514286499469014657e+01 4.714155599937846830e+01
5.593406344952461495e+01 4.786394456519335705e+00 4.388640914483557509e+01 -7.903102802275085992e-02 7.007783613116569388e-01 1.622673166974939818e+01 2.677224912254053990e+01 4.786394456519335705e+01
5.593406344952461495e+01 4.786394456519335705e+00 4.388640914483557509e+01 -7.903102802275085992e-02 7.007783613116569388e-01 1.622673166974939818e+01 2.677224912254053990e+01 4.786394456519335705e+01
