logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.063347731449545972e+04 -3.063947002878215062e+04 1.774999999999999911e+00
-3.063947002878215062e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.638664791536543635e+04 -2.639264312965212594e+04 1.064999999999999947e+00
-2.639264312965212594e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.568590733967955384e+04 -2.569190505396624576e+04 6.949999999999999512e-01
-2.569190505396624576e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.547049955853606662e+04 -2.547649977282275722e+04 8.299999999999999600e-01
-2.547649977282275722e+04 3.349132113083213085e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -2.110373073055136774e+04 -2.110973344483806068e+04 1.445000000000000062e+00
-2.110973344483806068e+04 2.178014297359074590e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -1.689782823907881539e+04 -1.690383345336550701e+04 1.314999999999999947e+00
-1.690383345336550701e+04 3.264989587021518219e+03 -1.500000000000000118e-02 4.000000000000000000e+02 -1.617666261678016781e+04 -1.618267033106685994e+04 6.899999999999999467e-01
-1.618267033106685994e+04 3.318172549460350183e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -1.519725638859018909e+04 -1.520326660287687992e+04 1.790000000000000036e+00
-1.520326660287687992e+04 5.543914467577983487e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -1.401229729815453175e+04 -1.401831001244122308e+04 1.900000000000000022e-01
-1.401831001244122308e+04 5.127222539076458361e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.394352240884707135e+04 -1.394953762313376319e+04 1.544999999999999929e+00
-1.394953762313376319e+04 3.422881750269016266e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.187038347853308005e+04 -1.187640119281977059e+04 1.889999999999999902e+00
-1.187640119281977059e+04 1.167479718714539558e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -1.104191067611783546e+04 -1.104793089040452651e+04 1.860000000000000098e+00
-1.104793089040452651e+04 1.148102885669109128e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -1.004808230695696693e+04 -1.005410502124365848e+04 7.199999999999999734e-01
-1.005410502124365848e+04 6.794678167310412391e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -8.591573688981989108e+03 -8.597598903268681170e+03 4.699999999999999734e-01
-8.597598903268681170e+03 1.013581138745714838e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -8.484191252303247893e+03 -8.490218966589938645e+03 1.774999999999999911e+00
-8.490218966589938645e+03 5.760642623181349791e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -6.893471763094780727e+03 -6.899501977381471988e+03 1.689999999999999947e+00
-6.899501977381471988e+03 1.005734823424162869e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -6.429128975571909905e+03 -6.435161689858600766e+03 1.020000000000000018e+00
-6.435161689858600766e+03 2.324485995751001326e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -5.994651072187552927e+03 -6.000686286474244298e+03 1.280000000000000027e+00
