weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -3.063347731449545972e+04 6.047121212989625860e+01 4.346374964260727225e+00 8.559876492942430914e-01 5.722756662529208782e+00 6.701642490657424567e-01 1.342021771844588152e+00 2.628305624598807100e+01 4.346374964260726870e+01
0.000000000000000000e+00 -2.638664791536543635e+04 4.475677209786809385e+01 5.224165048710761816e+00 6.080597956350763944e+00 -4.207096502612344580e+00 -7.878605603520414391e-01 3.239042037133030849e+00 2.338167644867955275e+01 5.224165048710761994e+01
0.000000000000000000e+00 -2.568590733967955384e+04 8.607945596440109171e+01 7.568119120761924279e+00 8.858722432792964341e+00 -7.747704045863210709e+00 -9.339469537343823013e-01 5.225011832697856740e-01 6.514595765889679058e+01 7.568119120761923568e+01
0.000000000000000000e+00 -2.547049955853606662e+04 9.911908805682422496e+00 8.858523000158074368e+00 4.637372813753670719e+00 -6.171365803817636220e+00 -8.220032342532255232e-01 5.371529524917502130e+00 8.780487213060709450e+00 8.858523000158074012e+01
0.000000000000000000e+00 -2.110373073055136774e+04 1.091257745399812862e+01 1.731694293768422455e+01 3.316750426994752310e-01 7.224818725040822898e+00 -7.440116888434022968e-01 2.368013132617161620e+00 1.889724810739449623e+01 1.731694293768422312e+02
0.000000000000000000e+00 -1.689782823907881539e+04 4.045665874913018101e+00 2.384448924712599727e+00 1.976103546631380325e+00 7.885763793198211857e+00 9.331360059315119138e-01 1.125302372469922219e+01 9.646683645182804190e-01 2.384448924712599904e+01
0.000000000000000000e+00 -1.617666261678016781e+04 1.762614699568554499e+01 6.285838637487770164e+00 5.984730206326071666e+00 1.644585963463052636e+00 6.782657752495173664e-01 3.460734827041609396e+00 1.107951158155191784e+01 6.285838637487770342e+01
0.000000000000000000e+00 -1.519725638859018909e+04 5.789420002233398321e+01 1.104949032520069352e+01 1.822533272832738138e+00 -8.755898138683736676e+00 -6.656061406556257332e-01 7.611503215530741606e+00 6.397014030320131184e+01 1.104949032520069352e+02
0.000000000000000000e+00 -1.401229729815453175e+04 6.761077942218889802e+01 3.363496747023086986e+00 3.107672790687965314e+00 5.723770285389973012e+00 -2.723735499774944113e-01 2.381814376226085717e+00 2.274086366502278267e+01 3.363496747023086897e+01
0.000000000000000000e+00 -1.394352240884707135e+04 4.249294544254069450e+01 7.235501250164595000e+00 9.307999814203515854e+00 4.788366200406191098e+00 7.982177898060918153e-01 2.523881085818535652e+00 3.074577598726791194e+01 7.235501250164594467e+01
0.000000000000000000e+00 -1.187038347853308005e+04 9.514625387977318383e+01 3.259594247827072522e+00 1.812404597384190552e+01 4.385247796864533143e-02 -9.022623703201058110e-01 7.959288935391994890e-01 3.101381818488029651e+01 3.259594247827072877e+01
0.000000000000000000e+00 -1.104191067611783546e+04 2.171682309873028771e+01 2.770587238961541132e+00 1.343496489295068486e+01 7.189175322137071333e-01 -9.347690180531613713e-01 6.203195029092041679e+00 6.016835294812737267e+00 2.770587238961541132e+01
0.000000000000000000e+00 -1.004808230695696693e+04 3.075931667050732088e+01 9.533518254856161889e+00 9.973218764783631229e-01 6.091174443714017173e+00 -7.455469553509426195e-01 6.201090719750704139e+00 2.932445069851830155e+01 9.533518254856161889e+01
