weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -3.063347731449545972e+04 6.047121212989625683e-01 1.761249981189856317e-01 8.559876492942430914e-03 7.861378331264604613e-01 8.350821245328712283e-01 6.710108859222940758e-02 1.594896204327719280e-01 7.473760492967829183e-02
0.000000000000000000e+00 -2.638664791536543635e+04 4.475677209786809163e-01 2.223244762479348324e-01 6.080597956350763944e-02 2.896451748693827932e-01 1.060697198239792804e-01 1.619521018566515425e-01 1.280366474689184075e-01 5.076028804150077844e-01
0.000000000000000000e+00 -2.568590733967955384e+04 8.607945596440108593e-01 3.456904800401012778e-01 8.858722432792964785e-02 1.126147977068394646e-01 3.302652313280884933e-02 2.612505916348928370e-02 8.307671433930141625e-02 4.827357304920909531e-02
0.000000000000000000e+00 -2.547049955853606662e+04 9.911908805682423385e-02 4.136064736925302299e-01 4.637372813753670719e-02 1.914317098091181668e-01 8.899838287338723841e-02 2.685764762458751065e-01 9.058985314585095150e-01 4.180348779491926958e-02
0.000000000000000000e+00 -2.110373073055136774e+04 1.091257745399812906e-01 8.587864704044329001e-01 3.316750426994752310e-03 8.612409362520411227e-01 1.279941555782988516e-01 1.184006566308580810e-01 3.405998060121817606e-02 8.978974105384984750e-02
0.000000000000000000e+00 -1.689782823907881539e+04 4.045665874913018101e-02 7.286573287961051193e-02 1.976103546631380325e-02 8.942881896599106373e-01 9.665680029657559569e-01 5.626511862349611315e-01 9.468559026093238407e-01 8.576793132547035903e-01
0.000000000000000000e+00 -1.617666261678016781e+04 1.762614699568554322e-01 2.782020335519879151e-01 5.984730206326072111e-02 5.822292981731526096e-01 8.391328876247586832e-01 1.730367413520804698e-01 6.926244322386487795e-02 5.459456731020487785e-01
0.000000000000000000e+00 -1.519725638859018909e+04 5.789420002233398588e-01 5.289205434316154308e-01 1.822533272832738138e-02 6.220509306581312181e-02 1.671969296721871334e-01 3.805751607765370803e-01 1.913043656330442044e-01 9.424712839269490106e-01
0.000000000000000000e+00 -1.401229729815453175e+04 6.761077942218890469e-01 1.243945656327940519e-01 3.107672790687965314e-02 7.861885142694986506e-01 3.638132250112527943e-01 1.190907188113042858e-01 8.800804196249878419e-02 6.165594701979482117e-01
0.000000000000000000e+00 -1.394352240884707135e+04 4.249294544254069717e-01 3.281842763244523509e-01 9.307999814203515854e-02 7.394183100203095549e-01 8.991088949030459077e-01 1.261940542909267826e-01 1.878457626909952882e-01 9.470996046492683451e-01
0.000000000000000000e+00 -1.187038347853308005e+04 9.514625387977317938e-01 1.189260130435301210e-01 1.812404597384190685e-01 5.021926238984322222e-01 4.886881483994709452e-02 3.979644467695997445e-02 1.333025581490663303e-01 7.811875429031120976e-01
0.000000000000000000e+00 -1.104191067611783546e+04 2.171682309873028682e-01 9.318880205060742217e-02 1.343496489295068486e-01 5.359458766106853789e-01 3.261549097341931436e-02 3.101597514546020617e-01 9.602609214956799866e-01 2.398689929674351351e-01
0.000000000000000000e+00 -1.004808230695696693e+04 3.075931667050731955e-01 4.491325397292716959e-01 9.973218764783631229e-03 8.045587221857007920e-01 1.272265223245286903e-01 3.100545359875351847e-01 7.179751857321050590e-01 2.135225231589095163e-01
