A w B x0 k f sigma_v
5.372506341587064327e+01 5.187252082396585529e+00 5.646059022656660886e+01 -8.636585844336579498e-01 6.340176885425672371e-01 2.786854470808635753e+01 5.187252082396585706e+01
5.815332139083417928e+01 5.285940516601027817e+00 5.843838911340563413e+01 -1.053872675157075278e+00 5.454726905825446615e-01 3.073949977147316304e+01 5.285940516601027639e+01
4.761799174661357625e+01 5.484166491156064360e+00 5.893859193907353955e+01 -2.707559918001418708e-01 7.239887647049534358e-01 2.611449947129241878e+01 5.484166491156064183e+01
5.271732042415936093e+01 5.091279888765883221e+00 5.805459268648145610e+01 -6.074202404266451083e-01 6.334299263608091923e-01 2.683986332651495132e+01 5.091279888765883044e+01
5.834391284425832680e+01 5.164020829855628492e+00 5.748328989823185964e+01 1.854131815049946397e-01 5.626352173719888494e-01 3.012891812230313349e+01 5.164020829855628847e+01
5.244635896544336617e+01 5.402323197858436288e+00 5.820164194281023384e+01 -5.682496284375133655e-01 6.388872003617602768e-01 2.833321816822255101e+01 5.402323197858436288e+01
5.291564009528038071e+01 5.158252811476018884e+00 5.959737008245397050e+01 -3.174539472970590026e-01 6.123604424907800325e-01 2.729522492925331534e+01 5.158252811476018707e+01
5.383615165253339541e+01 4.590798634996623662e+00 6.256273235130367283e+01 2.453560540661232636e-01 6.220263665160454813e-01 2.471509315199215351e+01 4.590798634996623662e+01
5.120652485406675680e+01 5.132308796312426757e+00 5.860528267898694565e+01 -5.608145307180087968e-01 5.738203269017423391e-01 2.628076979371177302e+01 5.132308796312426580e+01
5.036573517618574414e+01 4.721345237035333042e+00 5.936701843952462099e+01 -5.726404253444776771e-01 6.297281666466876260e-01 2.377940238838674958e+01 4.721345237035333042e+01
6.038285922973343389e+01 4.953481760129285760e+00 6.107858600504212632e+01 5.368597370554457626e-01 4.856266334772516569e-01 2.991053918189388838e+01 4.953481760129285760e+01
5.008862252513894475e+01 5.291157312535385238e+00 5.844974520372409188e+01 -2.471478019539379289e-01 6.304625758139446035e-01 2.650267813487135271e+01 5.291157312535385415e+01
5.734387433628405972e+01 4.541701443838100261e+00 5.900587628941183738e+01 -4.895347503807201406e-01 5.075030474751200948e-01 2.604387568683718968e+01 4.541701443838100261e+01
5.569077034277136562e+01 4.998587193190017430e+00 5.791131938982753979e+01 -2.543648441278989480e-02 5.775164770212009024e-01 2.783751714142633915e+01 4.998587193190017786e+01
5.578385970343842359e+01 4.554406231142561268e+00 5.999193370594968400e+01 -6.725578045078446365e-01 6.280601474872482548e-01 2.540623582305223849e+01 4.554406231142561268e+01
5.034354897090265979e+01 5.196523884346917477e+00 6.025850068382603553e+01 1.224283474642646752e-01 4.955396818865784869e-01 2.616114546500843474e+01 5.196523884346917299e+01
5.691395314006747697e+01 4.887392441209883032e+00 5.916727580015626842e+01 -3.268976208360623303e-01 6.795525576509913179e-01 2.781608243761392529e+01 4.887392441209883032e+01
5.101248301093745852e+01 4.688210871371151001e+00 5.937791002434688892e+01 -6.187955295327078886e-01 7.045873521878767143e-01 2.391572774275131508e+01 4.688210871371151001e+01
