logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.492340404504931939e+04 -3.492939675933601393e+04 4.699999999999999734e-01
-3.492939675933601393e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.181768887908203033e+04 -3.182368409336871991e+04 1.919999999999999929e+00
-3.182368409336871991e+04 1.344754827747422041e+03 -5.000000000000000104e-03 4.000000000000000000e+02 -2.590943979717550974e+04 -2.591543751146220166e+04 1.889999999999999902e+00
-2.591543751146220166e+04 3.317311408261645283e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -2.584207420044794708e+04 -2.584807441473463768e+04 4.849999999999999867e-01
-2.584807441473463768e+04 1.850670828281466385e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -2.560859445308528666e+04 -2.561459716737197959e+04 9.050000000000000266e-01
-2.561459716737197959e+04 1.171378836015209117e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -2.420786288535769563e+04 -2.421386809964438726e+04 1.100000000000000006e-01
-2.421386809964438726e+04 6.760027836308390761e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -2.144372576511913212e+04 -2.144973347940582244e+04 1.100000000000000006e-01
-2.144973347940582244e+04 1.197119666757380855e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -2.040310025765241517e+04 -2.040911047193910781e+04 1.104999999999999982e+00
-2.040911047193910781e+04 1.064497348167533573e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -1.942904510394173849e+04 -1.943505781822842982e+04 2.700000000000000178e-01
-1.943505781822842982e+04 6.198450053493797895e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.903721409230564677e+04 -1.904322930659233680e+04 5.749999999999999556e-01
-1.904322930659233680e+04 5.091613845947805999e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.699756968591690384e+04 -1.700358740020359619e+04 1.074999999999999956e+00
-1.700358740020359619e+04 1.127943410805623898e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -1.634314957867972225e+04 -1.634916979296641330e+04 1.540000000000000036e+00
-1.634916979296641330e+04 1.248770107804745066e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -1.632628933080414208e+04 -1.633231204509083364e+04 1.889999999999999902e+00
-1.633231204504310517e+04 1.839603881589333980e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.563582315122611544e+04 -1.564184836551280750e+04 2.000000000000000111e-01
-1.564184836551280750e+04 3.294482226093858230e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -1.423709825992028709e+04 -1.424312597420697784e+04 6.049999999999999822e-01
-1.424312597420697784e+04 8.787438779221457708e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -1.404930781488773755e+04 -1.405533802917442881e+04 4.849999999999999867e-01
-1.405533802917442881e+04 7.918791613959989490e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.348966781877465110e+04 -1.349570053306134287e+04 1.020000000000000018e+00
-1.349570053306134287e+04 9.117757526715465701e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.311095165181270204e+04 -1.311698686609939250e+04 2.000000000000000000e+00
-1.311698686609939250e+04 2.705864028814261246e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.302793437815853940e+04 -1.303397209244523037e+04 4.349999999999999978e-01
-1.303397209244523037e+04 2.991234132920455977e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.197994184658355516e+04 -1.198598206087024664e+04 6.250000000000000000e-01
-1.198598206087024664e+04 5.312346699675944137e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.189423136173512830e+04 -1.190027407602182029e+04 6.250000000000000000e-01
-1.190027407602182029e+04 4.116084939771656650e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.067414121710312793e+04 -1.068018643138981861e+04 1.000000000000000021e-02
-1.068018643138981861e+04 7.770249505219642288e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -9.427333346992427323e+03 -9.433381061279118512e+03 1.495000000000000107e+00
-9.433381061279118512e+03 1.271620657238303465e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -8.696362407177181012e+03 -8.702412621463872711e+03 1.274999999999999911e+00
-8.702412621463872711e+03 1.260979183824382744e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -8.248537040915769467e+03 -8.254589755202461674e+03 7.550000000000000044e-01
-8.254589755202461674e+03 1.303526817058075721e+03 -6.250000000000001388e-02 4.000000000000000000e+02 -5.844505856150974068e+03 -5.850561070437664966e+03 5.849999999999999645e-01
-5.850561070437664966e+03 2.074961213933085673e+03 -6.500000000000001610e-02 4.000000000000000000e+02 -5.730815552815271985e+03 -5.736873267101963393e+03 1.909999999999999920e+00
-5.736873267101963393e+03 2.097857003387019176e+03 -6.750000000000001832e-02 4.000000000000000000e+02 -5.573377783934025501e+03 -5.579437998220716509e+03 1.155000000000000027e+00
-5.579437998220716509e+03 2.115305823079498168e+03 -7.000000000000002054e-02 4.000000000000000000e+02 -5.059192139698290703e+03 -5.065254853984982219e+03 1.360000000000000098e+00
-5.065254853984982219e+03 2.162427791469832300e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -4.824131154050272016e+03 -4.830196368336963133e+03 1.860000000000000098e+00
-4.830196368336963133e+03 2.540743463896131118e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -4.231242553349506125e+03 -4.237310267636197750e+03 9.050000000000000266e-01
-4.237310267636197750e+03 2.924085580754234002e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -3.983152191030163522e+03 -3.989222405316854747e+03 1.000000000000000000e+00
-3.989222405316854747e+03 3.038181608718231246e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -3.947632263532361321e+03 -3.953704977819052601e+03 1.669999999999999929e+00
-3.953704977819052601e+03 2.424091712679188220e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -3.640267355245368890e+03 -3.646342569532060224e+03 6.650000000000000355e-01
-3.646342569532060224e+03 1.585316639951445836e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -3.513657474345201990e+03 -3.519735188631893379e+03 1.475000000000000089e+00
-3.519735188631893379e+03 5.501542873265945133e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -3.504727102150754945e+03 -3.510807316437446389e+03 1.549999999999999989e-01
-3.510807183806285593e+03 3.738115162076640985e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.149353633341977911e+03 -3.155436347628669409e+03 1.260000000000000009e+00
-3.155436347628669409e+03 1.751887261326445753e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -3.035289285155331527e+03 -3.041374499442022625e+03 2.650000000000000133e-01
-3.041374499442022625e+03 1.925639656816162244e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -3.023480077903815982e+03 -3.029567792190507134e+03 1.925000000000000044e+00
-3.029567784736143494e+03 1.791999494648011648e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -2.833326983252653008e+03 -2.839417197539344215e+03 1.034999999999999920e+00
-2.839417197539344215e+03 9.365522138075131409e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -2.809683878723908492e+03 -2.815776593010599754e+03 7.249999999999999778e-01
-2.815776593010545639e+03 5.926937035954482269e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -2.775006687974449960e+03 -2.781101902261141277e+03 1.979999999999999982e+00
-2.781101902261141277e+03 1.546828475370370271e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -2.578834592330702435e+03 -2.584932306617393806e+03 2.600000000000000089e-01
-2.584932306617393806e+03 9.538118820762544203e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -2.441248418007815417e+03 -2.447348632294506842e+03 7.299999999999999822e-01
-2.447348632294506842e+03 6.831413987813910182e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -2.387954399991996979e+03 -2.394057114278688459e+03 1.834999999999999964e+00
-2.394057114278688459e+03 5.395985166299912805e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -2.360162522836697462e+03 -2.366267737123388997e+03 1.379999999999999893e+00
-2.366267737123388088e+03 6.148345671474572072e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -2.322765295692785003e+03 -2.328873009979476137e+03 1.165000000000000036e+00
-2.328873009979476137e+03 3.406475725331254267e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -2.168107193687354084e+03 -2.174217407974045273e+03 3.250000000000000111e-01
-2.174217407974045273e+03 8.015156974318645666e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -2.050812589183540695e+03 -2.056925303470231938e+03 1.689999999999999947e+00
-2.056925303470231938e+03 1.006725873316307229e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -1.996993554564844089e+03 -2.003108768851535388e+03 6.999999999999999556e-01
-2.003108768851535388e+03 2.614224466441874739e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.953334742972656386e+03 -1.959452457259347739e+03 4.799999999999999822e-01
-1.959452457259347739e+03 4.344545295053222844e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -1.898738583868258502e+03 -1.904858798154949909e+03 5.600000000000000533e-01
-1.904858798154949909e+03 4.384845999661067140e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -1.839719416536378048e+03 -1.845842130823069283e+03 9.949999999999999956e-01
