weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -3.492340404504931939e+04 4.811256128637297991e+01 5.202479486716979018e+00 7.318640191644520954e-01 -3.656617542074764415e+00 -6.971661790805405712e-01 2.503046131457688972e+01 5.202479486716978840e+01
0.000000000000000000e+00 -3.181768887908203033e+04 4.543583675938926092e+01 3.541801800986887461e+00 3.054719518997062178e+00 1.597566520298620674e+00 -6.286282180379909601e-01 1.609247284637510944e+01 3.541801800986887372e+01
0.000000000000000000e+00 -2.590943979717550974e+04 7.014337131547581805e+01 1.192288744961841340e+00 1.016816971417763327e+01 -4.750053196686733870e+00 -7.477234232928526847e-01 8.363115215312108219e+00 1.192288744961841296e+01
0.000000000000000000e+00 -2.584207420044794708e+04 7.901608664404839999e+01 1.605776661712264186e+00 7.549582325273140881e+00 3.328187040306465505e+00 -5.658820703225695414e-01 1.268821878328470731e+01 1.605776661712264186e+01
0.000000000000000000e+00 -2.560859445308528666e+04 2.251834151174748655e+01 2.166197581295509877e+00 8.819783039287433013e+00 9.295253536181174780e+00 -8.304689480987983430e-01 4.877917691753368423e+00 2.166197581295509877e+01
0.000000000000000000e+00 -2.420786288535769563e+04 1.917703461348704153e+01 9.592564013009406310e+00 1.237702031267584601e+00 -3.064210509976401653e+00 -3.651433876778098497e-01 1.839569321095715537e+01 9.592564013009406665e+01
0.000000000000000000e+00 -2.144372576511913212e+04 8.391195611172402380e+01 3.473141746401265717e+00 4.656259594367250898e+00 8.755867472512157690e-02 5.454900353256686429e-01 2.914381177938195222e+01 3.473141746401265806e+01
0.000000000000000000e+00 -2.040310025765241517e+04 9.724865631877599981e+01 6.665345971814659265e+00 1.749604052058462145e+00 -4.671340495576465912e-01 -5.513890113442301288e-01 6.481959396587419064e+01 6.665345971814659265e+01
0.000000000000000000e+00 -1.942904510394173849e+04 3.529237426077859396e+01 6.203686163604634096e+00 4.511228926957500107e+00 8.150833857944590477e-01 8.573703148147979736e-01 2.189428138823485170e+01 6.203686163604633919e+01
0.000000000000000000e+00 -1.903721409230564677e+04 4.322798524491413730e+01 1.709823571067584203e+00 9.888783066923434006e+00 -5.059318646985531132e-01 -5.561308514746909903e-01 7.391222810151591993e+00 1.709823571067584069e+01
0.000000000000000000e+00 -1.699756968591690384e+04 4.548746248245751644e+01 6.489902091500850290e+00 1.415787542218692785e+01 1.792921738375788721e+00 -9.991397806486947974e-01 2.952091779019675144e+01 6.489902091500850645e+01
