weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -3.492340404504931939e+04 4.811256128637297902e-01 2.211831308798409834e-01 7.318640191644520954e-03 3.171691228962617570e-01 1.514169104597297144e-01 3.073430526015829001e-01 4.406095505890645914e-01
0.000000000000000000e+00 -3.181768887908203033e+04 4.543583675938925870e-01 1.337790421572045974e-01 3.054719518997062178e-02 5.798783260149310559e-01 1.856858909810045200e-01 8.066798909075693080e-01 4.574273353316133939e-01
0.000000000000000000e+00 -2.590943979717550974e+04 7.014337131547582205e-01 1.012046026114954422e-02 1.016816971417763282e-01 2.624973401656632843e-01 1.261382883535736577e-01 2.468584001118550031e-01 7.459153111779079914e-01
0.000000000000000000e+00 -2.584207420044794708e+04 7.901608664404839999e-01 3.188298219538232559e-02 7.549582325273140881e-02 6.664093520153232530e-01 2.170589648387152293e-01 2.160377202634424787e-01 4.308981415425119366e-01
0.000000000000000000e+00 -2.560859445308528666e+04 2.251834151174748611e-01 6.137882006818473624e-02 8.819783039287432125e-02 9.647626768090586946e-01 8.476552595060082851e-02 6.730395532494840571e-01 5.491856327257923498e-01
0.000000000000000000e+00 -2.420786288535769563e+04 1.917703461348704286e-01 4.522402112110214256e-01 1.237702031267584601e-02 3.467894745011799174e-01 3.174283061610950751e-01 8.842463024042495068e-01 6.632464975832652598e-02
0.000000000000000000e+00 -2.144372576511913212e+04 8.391195611172401758e-01 1.301653550737508214e-01 4.656259594367251342e-02 5.043779337362560566e-01 7.727450176628343215e-01 7.727452112100545722e-01 8.153345703427491431e-01
0.000000000000000000e+00 -2.040310025765241517e+04 9.724865631877600558e-01 2.981761037797189262e-01 1.749604052058462145e-02 4.766432975221176482e-01 2.243054943278849356e-01 4.720235170782919321e-01 1.072553692174573747e-01
0.000000000000000000e+00 -1.942904510394173849e+04 3.529237426077859174e-01 2.738782191370859875e-01 4.511228926957500107e-02 5.407541692897229746e-01 9.286851574073989868e-01 8.262643500647293138e-02 5.853093766454988689e-01
0.000000000000000000e+00 -1.903721409230564677e+04 4.322798524491413552e-01 3.735913531934653697e-02 9.888783066923434451e-02 4.747034067650723888e-01 2.219345742626545048e-01 5.329809470380612035e-01 7.510471867448655914e-01
0.000000000000000000e+00 -1.699756968591690384e+04 4.548746248245751911e-01 2.889422153421500328e-01 1.415787542218692741e-01 5.896460869187893916e-01 4.301096756526012754e-04 6.187379708179003845e-01 5.389418223866857538e-01
0.000000000000000000e+00 -1.634314957867972225e+04 1.360674605642308022e-01 4.944286626826488451e-01 1.094151157509061223e-01 2.899828418656966722e-01 1.695963931773472044e-01 2.841833643992167646e-01 1.096724725477470352e-01
0.000000000000000000e+00 -1.632628933080414208e+04 8.422944440783002307e-01 2.960090695468065025e-02 1.472535651440906035e-01 5.647236520249001579e-01 1.042389803746359700e-01 8.423938152955693370e-01 9.235150825129998520e-01
0.000000000000000000e+00 -1.563582315122611544e+04 1.899260691947124435e-01 3.883739696414938436e-01 2.287198099237797155e-02 2.844393203859888475e-01 8.552199786432241879e-01 8.701590817314380777e-01 5.938635791976355494e-01
0.000000000000000000e+00 -1.423709825992028709e+04 2.791417130440372318e-01 2.629821549649569157e-01 1.997242538899579589e-02 8.239226965517497669e-01 3.977322627407404720e-01 7.291720474605837277e-01 6.685213266884399985e-01
0.000000000000000000e+00 -1.404930781488773755e+04 3.044506454063227174e-01 5.489726639681500320e-01 5.833115068152427973e-03 6.643506214739468563e-01 1.870156104124116592e-01 3.543745353098509687e-01 4.197574391974879804e-01
