logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.545143867474492436e+04 -1.545743138903161525e+04 1.610000000000000098e+00
-1.545743138903161525e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.309853853087745301e+04 -1.310453374516414442e+04 1.870000000000000107e+00
-1.310453374516414442e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.079136092496570200e+04 -1.079735863925239391e+04 1.375000000000000000e+00
-1.079735863925239391e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.044854451254410742e+04 -1.045454472683079803e+04 1.985000000000000098e+00
-1.045454472683079803e+04 1.371118161800360895e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -9.730647806217573816e+03 -9.736650520504264932e+03 1.260000000000000009e+00
-9.736650520504264932e+03 3.977901804108946635e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -9.629700150925520575e+03 -9.635705365212212200e+03 1.120000000000000107e+00
-9.635705365212212200e+03 3.025449377670919944e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -9.577697879419807578e+03 -9.583705593706499712e+03 3.300000000000000155e-01
-9.583705593706499712e+03 3.181297720727713454e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -9.381497447269095574e+03 -9.387507661555786399e+03 1.955000000000000071e+00
-9.387507661555786399e+03 9.318093423268179265e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -9.135319709588518890e+03 -9.141332423875210225e+03 3.099999999999999978e-01
-9.141332423875210225e+03 1.070216873012425083e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -8.231908932175869268e+03 -8.237924146462561112e+03 1.350000000000000089e-01
-8.237924146462561112e+03 4.749864125344289145e-01 -2.499999999999999792e-02 4.000000000000000000e+02 -8.094803009385455880e+03 -8.100820723672147324e+03 1.120000000000000107e+00
-8.100820723672147324e+03 6.451098712587597106e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -7.229433902378543280e+03 -7.235454116665234324e+03 1.169999999999999929e+00
-7.235454116665234324e+03 4.691829302591016244e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -7.065077867765166957e+03 -7.071100582051858510e+03 6.199999999999999956e-01
-7.071100582051858510e+03 3.840435799704651458e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -6.496407094756996230e+03 -6.502432309043687383e+03 1.504999999999999893e+00
-6.502432309043687383e+03 5.703663029213719255e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -6.022378680385966618e+03 -6.028406394672658280e+03 9.449999999999999512e-01
-6.028406394672658280e+03 5.768719966305590106e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -5.955978907399856325e+03 -5.962009121686547587e+03 1.745000000000000107e+00
-5.962009121686547587e+03 5.885764098789032914e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -5.504880850128853126e+03 -5.510913564415543988e+03 1.719999999999999973e+00
-5.510913564415543988e+03 2.050692829459726738e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -5.482088046062998728e+03 -5.488123260349690099e+03 4.650000000000000244e-01
-5.488123260349563679e+03 1.082043178579632858e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -5.346218702851392663e+03 -5.352256417138083634e+03 9.350000000000000533e-01
-5.352256417138083634e+03 6.974212024963293288e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -5.247671779117763435e+03 -5.253711993404454915e+03 2.600000000000000089e-01
-5.253711993404454915e+03 7.117827420596188404e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -5.239317474605184543e+03 -5.245360188891875623e+03 1.540000000000000036e+00
-5.245359952949389481e+03 2.999362720464514354e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -5.139059380918308307e+03 -5.145104595204999896e+03 2.849999999999999756e-01
-5.145104595204999896e+03 4.961144908376220286e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -5.102227546315718428e+03 -5.108275260602409617e+03 8.699999999999999956e-01
-5.108275260602409617e+03 5.713431744945928870e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -4.815088141497316428e+03 -4.821138355784008127e+03 1.044999999999999929e+00
-4.821138355784008127e+03 1.668933696329067402e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -4.652773128435578656e+03 -4.658825842722269954e+03 1.929999999999999938e+00
