weight logl B
0.000000000000000000e+00 -1.545143867474492436e+04 2.015236082086757641e-01
0.000000000000000000e+00 -1.309853853087745301e+04 4.221655712210337086e-01
0.000000000000000000e+00 -1.079136092496570200e+04 8.750595347747691655e-01
0.000000000000000000e+00 -1.044854451254410742e+04 9.756731228343418216e-01
0.000000000000000000e+00 -9.730647806217573816e+03 1.226202674034626572e+00
0.000000000000000000e+00 -9.629700150925520575e+03 1.266349461369520313e+00
0.000000000000000000e+00 -9.577697879419807578e+03 1.287551700430678014e+00
0.000000000000000000e+00 -9.381497447269095574e+03 1.370864722839737482e+00
0.000000000000000000e+00 -9.135319709588518890e+03 1.483252511745514202e+00
0.000000000000000000e+00 -8.231908932175869268e+03 1.983367523386525555e+00
0.000000000000000000e+00 -8.094803009385455880e+03 2.073246564174302531e+00
0.000000000000000000e+00 -7.229433902378543280e+03 2.747103402153261431e+00
0.000000000000000000e+00 -7.065077867765166957e+03 2.899041883142450260e+00
0.000000000000000000e+00 -6.496407094756996230e+03 3.496593054323493543e+00
0.000000000000000000e+00 -6.022378680385966618e+03 4.094304807839832527e+00
0.000000000000000000e+00 -5.955978907399856325e+03 4.186374454800445122e+00
0.000000000000000000e+00 -5.504880850128853126e+03 4.873946407647588686e+00
0.000000000000000000e+00 -5.482088046062998728e+03 4.911782834301825496e+00
0.000000000000000000e+00 -5.346218702851392663e+03 5.144052890750483442e+00
0.000000000000000000e+00 -5.247671779117763435e+03 5.319997476433425021e+00
0.000000000000000000e+00 -5.239317474605184543e+03 5.335212504245124165e+00
0.000000000000000000e+00 -5.139059380918308307e+03 5.521566305859870738e+00
0.000000000000000000e+00 -5.102227546315718428e+03 5.591809093028777156e+00
0.000000000000000000e+00 -4.815088141497316428e+03 6.174401195422751343e+00
0.000000000000000000e+00 -4.652773128435578656e+03 6.533271457275013461e+00
0.000000000000000000e+00 -4.589523291506110581e+03 6.679361680169170867e+00
0.000000000000000000e+00 -4.489951860739570293e+03 6.916816997053931715e+00
0.000000000000000000e+00 -4.483428106755929548e+03 6.932702366791820836e+00
0.000000000000000000e+00 -4.461051423906436867e+03 6.987502222702534738e+00
0.000000000000000000e+00 -4.434486258511693450e+03 7.053193539894452968e+00
0.000000000000000000e+00 -4.270208897898669420e+03 7.475255266074132265e+00
0.000000000000000000e+00 -4.249631014560878612e+03 7.530112641364084425e+00
0.000000000000000000e+00 -4.009501028600497193e+03 8.205409963288779807e+00
0.000000000000000000e+00 -3.951205627157469280e+03 8.379664557023836835e+00
0.000000000000000000e+00 -3.936680754767992767e+03 8.423743581447562079e+00
0.000000000000000000e+00 -3.927694416097270732e+03 8.451148771446092667e+00
0.000000000000000000e+00 -3.791792217728961077e+03 8.878462230532967681e+00
0.000000000000000000e+00 -3.788477898295358500e+03 8.889192786274302094e+00
0.000000000000000000e+00 -3.777402939468289333e+03 8.925159252807501886e+00
0.000000000000000000e+00 -3.661044531629935591e+03 9.313503530389111162e+00
0.000000000000000000e+00 -3.655539177326239042e+03 9.332362783053438804e+00
0.000000000000000000e+00 -3.481169760916549421e+03 9.953668251446035953e+00
0.000000000000000000e+00 -3.459902412713043304e+03 1.003275287564289187e+01
0.000000000000000000e+00 -3.424312083549379167e+03 1.016677954242614135e+01
0.000000000000000000e+00 -3.406232147907149738e+03 1.023568311962121946e+01
0.000000000000000000e+00 -3.359145700128498902e+03 1.041777017551055451e+01
0.000000000000000000e+00 -3.344055094823433137e+03 1.047694642300428569e+01
0.000000000000000000e+00 -3.323674369537522580e+03 1.055750936022818998e+01
0.000000000000000000e+00 -3.312413087173332315e+03 1.060234350622132382e+01
0.000000000000000000e+00 -3.271156192996906611e+03 1.076856940889818759e+01
