m0 c1 c2 c3 m_100 m_200 m_300 m_400
1.143485359456753692e+01 9.564034870095738938e-01 2.087267246480340788e+00 2.138490263140603531e+00 1.481514972971017485e+01 1.539926878906697105e+01 1.547457025972940059e+01 1.496877057451535720e+01
1.266609063087345888e+01 -4.151087709671390513e-01 2.586991501292361662e+00 7.087146887860207300e-01 1.481285638552992800e+01 1.543116312319603978e+01 1.543977504872993478e+01 1.488771611851647236e+01
1.053969595597067332e+01 8.655349263423257611e-01 3.034608293197651463e+00 2.234149390455399953e+00 1.470688237890951378e+01 1.545435782273655256e+01 1.547035634168514306e+01 1.473156573087639210e+01
1.089066527392604478e+01 1.599419732451377030e+00 1.706629738043460520e+00 2.928193476404853612e+00 1.475888892844664113e+01 1.534343123846070789e+01 1.550013796718583237e+01 1.507043993373713064e+01
1.134424085143098893e+01 -1.015401978049865761e-01 3.375005360489469197e+00 1.375600136260622719e+00 1.467965569655411784e+01 1.549200262690539276e+01 1.550367021196085560e+01 1.475314324409312405e+01
1.227452355906450521e+01 -1.091896308565825535e+00 3.804733642761908285e+00 2.490601933485887542e-01 1.474945210999976553e+01 1.556805125683406921e+01 1.549749723247317412e+01 1.468349926260355787e+01
1.153478099234905585e+01 -1.241805884447728658e-01 3.226946736798549153e+00 1.318920070415002144e+00 1.470115316282427820e+01 1.548637385533173827e+01 1.550617883484053294e+01 1.479413718078235007e+01
1.054787141429511976e+01 1.213727270129918878e+00 2.629753323361194717e+00 2.591259175458269226e+00 1.478098981807251988e+01 1.548546567669654550e+01 1.554943832580654828e+01 1.489841673172817771e+01
1.028243364437964047e+01 1.845191917770289791e+00 2.231529816381010889e+00 3.055755921310222334e+00 1.487218664696571579e+01 1.548653858681536022e+01 1.554749303982567099e+01 1.494140038820519933e+01
1.094715529874923199e+01 6.800179819906837508e-01 2.933549651705627426e+00 2.042087188524417840e+00 1.479908618708149959e+01 1.553174519533455467e+01 1.555890891433937284e+01 1.486056071902113018e+01
1.030637614007479819e+01 1.279582048870009814e+00 2.873287251454287983e+00 2.650708973421295411e+00 1.483182964291978934e+01 1.556350539814207146e+01 1.559670516776959914e+01 1.487299452467286898e+01
1.300549567061919376e+01 -1.452024320107913269e+00 3.328448286383178356e+00 -8.465519249838848737e-03 1.465868565708068694e+01 1.544811209123311713e+01 1.546396690106123550e+01 1.481932596370047328e+01
1.053969595597067332e+01 8.655349263423257611e-01 3.034608293197651463e+00 2.234149390455399953e+00 1.470688237890951378e+01 1.545435782273655256e+01 1.547035634168514306e+01 1.473156573087639210e+01
1.187628791994435495e+01 -5.754800337303258573e-01 3.564708462038135295e+00 9.049858749009569436e-01 1.480807864625486658e+01 1.564085177720687980e+01 1.563394831492699488e+01 1.486549601664659903e+01
1.007796216246264898e+01 9.233967685361115230e-01 3.194902847384863520e+00 2.814409249660311474e+00 1.462605372448662067e+01 1.553995895994204091e+01 1.568094451402513201e+01 1.495514610707468073e+01
1.292712622700435254e+01 -1.049761933992757079e+00 2.905415095577962958e+00 3.665626858909920571e-01 1.468373987479062315e+01 1.541816003191597773e+01 1.547382868246669929e+01 1.491384241888736639e+01
1.031952483591036618e+01 1.452844392948177799e+00 2.292820208562298845e+00 3.197831665700519466e+00 1.466324618533045943e+01 1.543312266243460940e+01 1.563667762497597735e+01 1.510464336273100017e+01
1.004867964418916770e+01 1.609160442862219043e+00 2.619668138392018619e+00 3.106110394801653740e+00 1.478901417226701653e+01 1.552830411447319747e+01 1.562407937276862668e+01 1.496147526750581136e+01
1.750556996892856176e+01 -5.554240764235147232e+00 3.489942054958616424e+00 -3.566875827674590660e+00 1.452583771376723298e+01 1.546327516008031822e+01 1.563447818439130010e+01 1.530376625121478007e+01
