weight logl m0 c1 c2 c3 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -8.267244657475380518e+04 1.387274509744979234e+01 -9.372432079049790588e+00 -9.465584574729351885e+00 -9.169036545494206436e+00 -5.728496588140901125e+00 -6.838808674165322898e+00 -5.615033521597043276e+00 -2.305879454754853342e+00
0.000000000000000000e+00 -7.227361250469880179e+04 1.957698379528492438e+01 5.932875955243343213e+00 6.561694941201857034e+00 9.429496059089927940e+00 3.366471307205083008e+01 3.545642836909124185e+01 3.561528313908186050e+01 3.378927646370561177e+01
0.000000000000000000e+00 -7.073926968578001834e+04 1.900988284883061397e+01 9.654255534377085723e+00 8.800889037785012192e+00 3.991935479158009059e+00 3.659248247335855808e+01 3.608760512461967807e+01 3.343378874008462276e+01 2.964638876931761047e+01
0.000000000000000000e+00 -6.900128348603549239e+04 1.252787602117333776e+01 -4.254026721828689794e+00 -9.549930481665491300e+00 -8.306504487647853097e+00 -2.350800631358669790e+00 -4.640401741317081274e+00 -4.611452801898980880e+00 -2.146674013023677219e+00
0.000000000000000000e+00 -6.562417853206048312e+04 1.154138232738494807e+01 -1.726147325553093026e+00 -9.173267411052748344e+00 -8.526097444472613418e+00 -8.453359899403558586e-01 -3.850185867566887410e+00 -4.638650323595658875e+00 -2.782191688845738753e+00
0.000000000000000000e+00 -6.444001108907410526e+04 1.393462002940403011e+01 -7.044977345391034262e+00 -8.123224120413913951e+00 -9.176423054321489303e+00 -2.430419168057472490e+00 -4.027380776910295168e+00 -3.619434295771185361e+00 -1.122221514099702944e+00
0.000000000000000000e+00 -6.092023269168761180e+04 1.250013048154936968e+01 -7.273211894997939631e+00 -9.435208493646383587e+00 -4.393783234190211218e+00 -3.671451326528149650e+00 -4.011468264667584549e+00 -2.065178071465597398e+00 1.399281823332128027e+00
0.000000000000000000e+00 -5.494482926499334280e+04 1.403999272320865366e+01 -5.455819059454245945e+00 -7.627026758371595605e+00 -9.084501689244852685e+00 -4.548840761489181261e-01 -2.406184371304698644e+00 -2.479124488379747859e+00 -4.088993551361799206e-01
0.000000000000000000e+00 -5.068212059481823235e+04 1.763492240768002262e+01 3.979652373884414729e+00 7.527512626629917492e+00 7.799983269710160982e+00 3.032224369202903702e+01 3.230714521239380588e+01 3.245339402298832709e+01 3.053916025801811074e+01
0.000000000000000000e+00 -4.896454972432147770e+04 1.239273188778967061e+01 -1.553486537456798544e+00 -8.406567981213902030e+00 -7.171196699111863637e+00 1.274867923210353027e+00 -1.305623972683976675e+00 -1.858940429182856846e+00 -8.754757543794333685e-02
