m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
1.092567549360471091e+01 -3.517379477453648207e+00 8.377537539108747211e+00 -5.535959563812800965e+00 9.579304494463119823e+00 -3.603853331617083100e+00 1.506846802419463316e+01 1.531733711556035260e+01 1.605610510219462839e+01 1.247463946720561445e+01
1.171443090053127278e+01 -3.142013174518653251e+00 7.959711297819445974e+00 -6.439778389174398043e+00 9.928421758142487619e+00 -4.632059185638920162e+00 1.515470008126759360e+01 1.507224737005298465e+01 1.596976887968433623e+01 1.232010505874030137e+01
1.162242010584927598e+01 -4.030970326073813226e+00 8.587675473743303201e+00 -6.260565987815137845e+00 9.110700582520038893e+00 -3.453809134779700862e+00 1.516259415977029334e+01 1.508350707498362553e+01 1.595848979375092291e+01 1.294130295185804336e+01
1.159606062161018691e+01 -3.102425964863336105e+00 7.592785286703495728e+00 -5.635173533301361282e+00 9.162559442227756534e+00 -3.882777489167406948e+00 1.508610773598734056e+01 1.517817289254347735e+01 1.597879785909440997e+01 1.259132602687515678e+01
1.354126966032161938e+01 -5.316991873640083632e+00 7.972174725834900499e+00 -7.309876962929937605e+00 9.280085884987204992e+00 -5.623967556047645644e+00 1.504830771620032692e+01 1.521471986391081721e+01 1.599643237680722407e+01 1.264345365844734204e+01
1.450588724156006748e+01 -6.213063924429678586e+00 8.697338665243957934e+00 -9.029847981367613130e+00 9.859330534437372506e+00 -6.391666163101202613e+00 1.522124278576121448e+01 1.502536335542723123e+01 1.611963251422222854e+01 1.296668475206683446e+01
1.469776683173927267e+01 -7.548265208456183650e+00 9.601206667793917404e+00 -9.372046807138506352e+00 9.612421590117570247e+00 -6.478676332068948440e+00 1.526521369571389108e+01 1.508103454101473950e+01 1.591176723103971113e+01 1.288507790976195011e+01
1.043262346832983134e+01 -2.371767258321676231e+00 8.028223876079117360e+00 -5.079424014687020872e+00 9.480397903544069749e+00 -2.873042648346674000e+00 1.519258710058318584e+01 1.526290753805549016e+01 1.614976051829524195e+01 1.271069739902183571e+01
1.052574718536883402e+01 -3.264777389621050574e+00 9.064823705179215096e+00 -6.115221607766186729e+00 9.997446285064111038e+00 -3.341604088234576331e+00 1.521719926694252578e+01 1.507830026193056305e+01 1.597786082516117645e+01 1.251990142387209204e+01
1.208183392238239051e+01 -3.680730622605468128e+00 7.618708903374475483e+00 -6.109245359490181215e+00 9.344417331259990078e+00 -4.404556401005830679e+00 1.497832139916147298e+01 1.516702009938398632e+01 1.603949903935164656e+01 1.260155814211348435e+01
1.525017516157815045e+01 -6.123331594859344307e+00 7.748155221482420529e+00 -9.048066430392580628e+00 9.892717412763587959e+00 -7.694889918057993938e+00 1.504976353761584562e+01 1.503174592566441881e+01 1.596835092674694856e+01 1.241501910975832601e+01
1.397906792001721143e+01 -6.012488521586544010e+00 8.410994603310321338e+00 -8.198911643150783135e+00 9.921496245501899125e+00 -6.592053455146960061e+00 1.503991001147202766e+01 1.519353478708331728e+01 1.600090196943014220e+01 1.238652484326482650e+01
1.000568061624950289e+01 -2.344702333389343529e+00 8.415931396306110202e+00 -5.249214716786553048e+00 9.871243409942600522e+00 -3.108458951295977712e+00 1.511706415736232501e+01 1.511019297197941214e+01 1.592066387174125808e+01 1.226673547484513449e+01
1.109637985797560056e+01 -3.716729649122573420e+00 8.263282687993015685e+00 -5.629604123984656816e+00 9.310191875595851485e+00 -3.408098409013621044e+00 1.491296145771467607e+01 1.516138623122765594e+01 1.600195262018351627e+01 1.266386415556899792e+01
1.603089275595022656e+01 -7.287535946193074210e+00 7.824340930214692236e+00 -9.056758373752725078e+00 9.140479761921774582e+00 -7.620636112826783659e+00 1.509428986705235864e+01 1.524621658035795768e+01 1.603397362197094722e+01 1.281301478384278170e+01
1.450044371446599456e+01 -6.851345039138703186e+00 8.942448661661440923e+00 -8.576653071940702588e+00 9.119011234186874759e+00 -6.050923185842392193e+00 1.525224278726102156e+01 1.513248770390487685e+01 1.588149872515555927e+01 1.291679991672293326e+01
1.481796414680933793e+01 -6.773433313652560628e+00 8.585374742344235699e+00 -8.617817994503576884e+00 9.019488400872003098e+00 -6.003357964938935254e+00 1.522203681394571895e+01 1.514888474216806813e+01 1.605591912244041453e+01 1.321201025730691825e+01
1.023307096251705595e+01 -1.280709616844539767e-01 5.776981214122677954e+00 -3.430785474290814818e+00 8.294533730476615574e+00 -2.049746368803148755e+00 1.495126908111948438e+01 1.504235520547108784e+01 1.598390074762167501e+01 1.281404078666919055e+01
1.177688120548025630e+01 -4.087903832782378011e+00 8.428093734732829745e+00 -6.449475782990216288e+00 9.408559503984193384e+00 -3.794755594464796822e+00 1.504488526877391941e+01 1.507908053219030364e+01 1.606720623705554374e+01 1.290812010725467474e+01
1.221302057459274337e+01 -4.683681869307926959e+00 8.594953697264827497e+00 -7.055265947791521164e+00 9.953988304110797714e+00 -4.817558126081341818e+00 1.498155009794541037e+01 1.512240364999191655e+01 1.607694654787793453e+01 1.257194523666269781e+01
1.025566530645743413e+01 -3.247499651332660164e+00 8.877611634365567994e+00 -5.844866100537837283e+00 9.957520209153749136e+00 -3.244050688841861430e+00 1.493004401296032668e+01 1.495634834481154840e+01 1.586585644189239908e+01 1.235767125212598927e+01
1.235794018942970318e+01 -4.981943639920105582e+00 9.149245768423671876e+00 -7.532533508711185988e+00 9.971075491900734278e+00 -4.787136084626084198e+00 1.521302992461318837e+01 1.510036657717806108e+01 1.603962972826332134e+01 1.269911722872337378e+01
1.052802896513977693e+01 -2.734973818851696770e+00 8.147138715553040811e+00 -5.122085083845472120e+00 9.258993980031132054e+00 -3.095620903303632154e+00 1.512829989191397928e+01 1.517421184003181978e+01 1.587494482241244143e+01 1.244466200751861429e+01
