logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -8.423752427974858438e+04 -8.424351699403527891e+04 1.655000000000000027e+00
-8.424351699403527891e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.387502228888121317e+04 -6.388101750316790276e+04 1.495000000000000107e+00
-6.388101750316790276e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.161590148030897399e+04 -6.162189919459566590e+04 1.340000000000000080e+00
-6.162189919459566590e+04 6.114713336517701464e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -5.825348034993516922e+04 -5.825948056422186346e+04 1.054999999999999938e+00
-5.825948056422186346e+04 7.071424710797195985e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -5.416901296372915385e+04 -5.417501567801584315e+04 1.000000000000000000e+00
-5.417501567801584315e+04 8.086492755930487874e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -5.172038552354005515e+04 -5.172639073782674677e+04 1.110000000000000098e+00
-5.172639073782674677e+04 8.906877623464661156e+03 -1.500000000000000118e-02 4.000000000000000000e+02 -5.130333923202771985e+04 -5.130934694631441380e+04 1.955000000000000071e+00
-5.130934694631441380e+04 9.065192315692327611e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -4.947824517666599422e+04 -4.948425539095268323e+04 1.084999999999999964e+00
-4.948425539095268323e+04 9.461163147007482621e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -4.922702245117204438e+04 -4.923303516545873572e+04 7.249999999999999778e-01
-4.923303516545873572e+04 5.683289362804251823e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -4.761777796683345514e+04 -4.762379318112014880e+04 6.350000000000000089e-01
-4.762379318112014880e+04 6.001758640080925034e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -4.681147212936521100e+04 -4.681748984365189972e+04 9.849999999999999867e-01
-4.681748984365189972e+04 6.681049650300014946e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -4.602746014176984318e+04 -4.603348035605653422e+04 8.599999999999999867e-01
