weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -8.423752427974858438e+04 1.956878235690825818e+01 -3.058975821638658665e+00 8.367114428853096086e+00 8.660617517889505734e+00 7.097009966983137019e+00 8.351898961981714109e+00 3.238672128993330546e+01 3.832518469883049761e+01 3.808278881708857000e+01 3.348924665409631984e+01
0.000000000000000000e+00 -6.387502228888121317e+04 1.261301197834466592e+01 -4.235352225455056185e+00 -6.710463418179402062e+00 -7.142354527734926961e+00 -7.341096124433210690e+00 -5.995700166319939406e+00 -2.058494958523295892e+00 -4.436666602011932525e+00 -3.651930107573356565e+00 1.122132046400885486e+00
0.000000000000000000e+00 -6.161590148030897399e+04 1.961299789426194451e+01 8.996549080565859668e+00 6.642198342644935138e+00 9.430121665728862013e+00 -1.706089111338833675e+00 9.743677539148208666e+00 3.730888542790670215e+01 3.457323502596582898e+01 3.053527229046251179e+01 2.967491443015978447e+01
0.000000000000000000e+00 -5.825348034993516922e+04 1.427794855288479958e+01 -7.502950574289341645e+00 -2.556245992367609077e+00 -8.461942535475310834e+00 -8.299359393279013730e+00 -7.298333097299982697e+00 8.342320991252574203e-01 -2.771387396686764149e+00 -4.009801744550264502e+00 7.696858504197816586e-01
0.000000000000000000e+00 -5.416901296372915385e+04 1.291550052477626664e+01 -2.911251407744170905e+00 -3.007480535738229932e+00 -4.914167521345027545e+00 -9.427298368820464347e+00 -7.517952417576491797e+00 3.802300481167932844e+00 -9.521809025636187584e-01 -4.491619064168165920e+00 -1.019844352030201406e+00
0.000000000000000000e+00 -5.172038552354005515e+04 1.204332073115190127e+01 6.165668828260166379e+00 -5.044940756792688497e+00 -8.187763715736808834e+00 -8.853037255989677945e+00 -9.892303649395977061e-01 4.562799767013175689e+00 -3.873437991759082877e+00 -2.990108891332749153e+00 4.522382639397718229e+00
0.000000000000000000e+00 -5.130333923202771985e+04 1.033266416689515310e+01 -2.784823765328323653e+00 5.572755681595538135e-01 -9.306488427090028992e+00 -7.677091579113208830e+00 8.012081699181159422e-01 2.526107429689126604e+00 -3.560664140788569298e+00 -2.458658208352302310e+00 5.223241237499913758e+00
0.000000000000000000e+00 -4.947824517666599422e+04 1.866593484045849394e+01 -2.683893402452506294e+00 5.163380238424098323e+00 7.626556493225297828e+00 6.531464573315282962e+00 3.923175912147691236e+00 2.775471193967278793e+01 3.355349192204472786e+01 3.287163839361762996e+01 2.763924607953995505e+01
0.000000000000000000e+00 -4.922702245117204438e+04 1.381901522626548129e+01 4.113088240865184986e+00 -5.062558847721514432e+00 -6.705589653813359696e+00 -8.390654950049484029e+00 -6.969062820178500317e+00 5.971053827292786664e+00 -1.432875196172956223e+00 -3.505186262704434341e+00 7.983998874211533092e-01
0.000000000000000000e+00 -4.761777796683345514e+04 1.774801532837970086e+01 2.327667330117522582e+00 -8.551998660721004342e+00 -9.770312807589057513e+00 -8.178149586673255200e+00 -7.116507175050665879e+00 3.495974551964811994e+00 -2.817744329580353480e+00 -1.804037435487860108e+00 4.254718360052576642e+00
0.000000000000000000e+00 -4.681147212936521100e+04 1.111164310246047471e+01 3.713390251117198559e+00 -9.805422701967838606e+00 2.784024950436197798e+00 -9.806361783605989757e+00 -7.838679529126803658e+00 3.832875315859238796e+00 1.442222277847196921e+00 -3.046289276558935555e+00 -2.405801406652642527e+00
0.000000000000000000e+00 -4.602746014176984318e+04 1.819666886465277145e+01 4.165615796907324864e-01 7.824925069066328120e+00 6.665149011306837679e+00 2.976690280625726714e+00 7.203922439993025506e+00 3.079974810205460045e+01 3.244464912317442185e+01 3.064899223391116578e+01 2.819514185991981137e+01
0.000000000000000000e+00 -4.543983229653081798e+04 1.569925881509498922e+01 -3.047335859754809917e+00 4.015174467985218598e-01 6.954116070507613045e+00 9.387241620318945934e+00 9.621964397329485053e+00 1.984767361315107692e+01 2.948033659565756892e+01 3.516088809089090716e+01 3.195944852197175479e+01
