m0 p a1 b1 m_100 m_200 m_300 m_400
1.504209156788493473e+01 9.860304373087036822e+01 1.241633739974952633e+00 1.056612216294114504e+00 1.637274135245332474e+01 1.645122028286586513e+01 1.651854064222724006e+01 1.657416933586331353e+01
1.506935047320098775e+01 1.001241910318115202e+02 1.358442045175422663e+00 7.442508771787714750e-01 1.642195102285313268e+01 1.641602737317572647e+01 1.641002192913439828e+01 1.640393505548736997e+01
1.501618097172868715e+01 1.014831958741111180e+02 1.331310761520985153e+00 4.264908231845154774e-01 1.630277278049434031e+01 1.624721196129653222e+01 1.618127747619745094e+01 1.610552494266375234e+01
1.503966894242186925e+01 9.957215735268266599e+01 1.237008387186824265e+00 9.640752850019413955e-01 1.630225115489184873e+01 1.632690477359052394e+01 1.635062021743141969e+01 1.637338020191032228e+01
1.509789379167751378e+01 1.011528597198547743e+02 1.324904343539738960e+00 4.892989590228307151e-01 1.638439334539753744e+01 1.633939407828867374e+01 1.628803099595666737e+01 1.623056738079361949e+01
1.512005578254180094e+01 1.014741613326772267e+02 1.296170685711953041e+00 5.316368786720140349e-01 1.636237073783094331e+01 1.629817147258481569e+01 1.622416319665748574e+01 1.614096210417589461e+01
1.508184411828502824e+01 1.003076727808101225e+02 1.230001807635137112e+00 5.939208236142423658e-01 1.630017196259660395e+01 1.628804549747544073e+01 1.627547103447349386e+01 1.626245324389945068e+01
1.505234114305956794e+01 9.939129012192145751e+01 1.223118852877981055e+00 8.454780371813441775e-01 1.630708101438785462e+01 1.633684429730707777e+01 1.636470577794523606e+01 1.639062420531181630e+01
1.511146706370569426e+01 1.008667955175167918e+02 1.377394805854230242e+00 7.137457936393829527e-01 1.644833502021356253e+01 1.640391162670726999e+01 1.635572116907959028e+01 1.630390410716076843e+01
1.507092526682647815e+01 9.973852309582073872e+01 1.175264039464041232e+00 8.761770531144144059e-01 1.626046173326593447e+01 1.627441140858483237e+01 1.628803454734363854e+01 1.630132745323650667e+01
1.508989718646678568e+01 9.929065059346440592e+01 1.320679498354850878e+00 8.050261089812700277e-01 1.644537035897817390e+01 1.647743328625987402e+01 1.650670087244218465e+01 1.653311415481664781e+01
1.503910321852622367e+01 1.004794305475579677e+02 1.345722007488262761e+00 7.093355013483737537e-01 1.636295797745080094e+01 1.633990095447783375e+01 1.631567487889735091e+01 1.629030152316179070e+01
1.509324510672215247e+01 9.962282351270195591e+01 1.284125838436636968e+00 9.300913872431415541e-01 1.639913094562857054e+01 1.642015199448923468e+01 1.644042219672099847e+01 1.645993008217991616e+01
1.512837275687199856e+01 9.924415635264298885e+01 1.256832239087582792e+00 7.920888782696025032e-01 1.642165543559390173e+01 1.645514497094325179e+01 1.648559692943607757e+01 1.651294159287706975e+01
1.511566089781670996e+01 1.006334445570874294e+02 1.223939988219001407e+00 6.131108729712142491e-01 1.631440157290239057e+01 1.628732743402438032e+01 1.625842081324938349e+01 1.622772692041965215e+01
1.501340552008063867e+01 1.014350619121106831e+02 1.482445363590214171e+00 4.317191679728331621e-01 1.645167192624256103e+01 1.639613558877142552e+01 1.632968041816930338e+01 1.625283118274414562e+01
1.511080346650539852e+01 9.868515812612552907e+01 1.121479419670878386e+00 1.014644988229180811e+00 1.631319692444770197e+01 1.638568933452408061e+01 1.644925237568160270e+01 1.650344084897476193e+01
1.499341698701845083e+01 1.000504670653329242e+02 1.378092149737561556e+00 6.355183646080764248e-01 1.636948804524073608e+01 1.636745313149608450e+01 1.636540441596217121e+01 1.636334191921774561e+01
1.511349965461888800e+01 1.026069438251745680e+02 1.255724384762185508e+00 1.576955272076485670e-01 1.632819015222472103e+01 1.625626663441349606e+01 1.615528250404292621e+01 1.602780579181326104e+01
1.508763431438130098e+01 1.009878576628683078e+02 1.436234097277196753e+00 5.312164663558860411e-01 1.648852758906766880e+01 1.644789648845491570e+01 1.640212854750351212e+01 1.635139660245766535e+01
1.498413112436531591e+01 1.006557236219848477e+02 1.359526098632734659e+00 8.225629517327259776e-01 1.630885880319021908e+01 1.627184121417144524e+01 1.623266646739896757e+01 1.619140018797692804e+01
