weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.593362411674800387e+04 1.015075944114484940e+01 1.784302776409325872e+02 -7.841372339434444783e+00 9.272925169489969477e+00 1.399584376090201232e+01 1.084990126855481307e+01 5.007021651995012590e+00 1.900609234781288137e+01
0.000000000000000000e+00 -2.456496213867466577e+04 1.154560468822548280e+01 5.510703557880493975e+01 -9.632412353093640078e+00 9.837875755254465560e+00 -1.297774133462700874e+00 1.102839417140181055e+01 2.398025215012146205e+01 2.188943357478040852e+01
0.000000000000000000e+00 -2.359761136317872297e+04 1.933342191712811342e+01 8.044752969705824341e+01 9.929361050295057112e+00 -9.233531293066143064e+00 1.054239520232032845e+01 8.636115297297919824e+00 2.718997880364833009e+01 3.071704291735271752e+01
0.000000000000000000e+00 -2.264611323686880132e+04 1.145997003043445694e+01 9.443483629703513316e+01 7.641436216703944240e+00 -8.963198571422125838e+00 1.533998965167448958e+01 1.105265578891969369e+01 6.820531335842495935e+00 3.217259609866584213e+00
0.000000000000000000e+00 -2.233416359889673186e+04 1.468790275788429867e+01 1.027249099791086735e+02 -9.473865419915570740e+00 -9.975523707192294864e+00 7.000248178280265243e+00 8.999518467485831508e+00 1.115643944318624037e+01 1.341123313413781126e+01
0.000000000000000000e+00 -2.151617336261901801e+04 1.405310077624778131e+01 5.118670564115345201e+01 9.940419117273982863e+00 -9.037304864268495663e+00 2.617045125008630180e+01 2.732614907575090868e+01 2.736321275693219945e+01 2.627851861786600551e+01
0.000000000000000000e+00 -2.131312275565744130e+04 1.372669684130554657e+01 1.024775687761994902e+02 -9.661789111776663219e+00 -8.454097301273538534e+00 5.455469636185689808e+00 7.036528570328965060e+00 8.771670706081875935e+00 1.062093348275891458e+01
0.000000000000000000e+00 -2.056007304405366449e+04 1.882134784187471865e+01 1.651812169229731353e+02 -8.704567235900611877e+00 9.558290765485722318e+00 1.980891562947059015e+01 2.596826649389521435e+01 6.561249846983695733e+00 3.101175926464620858e+01
0.000000000000000000e+00 -2.001446125412241599e+04 1.556789267857506154e+01 5.730557067215097788e+01 8.261435360132502126e+00 9.110533932260448609e+00 6.203911449312512261e+00 7.891065264553674297e+00 2.541115021107667360e+01 2.263019017970685454e+01
0.000000000000000000e+00 -1.968250411260615874e+04 1.919215473382822523e+01 1.554630833777654288e+02 9.144319799614578415e+00 7.156936449763019681e+00 7.901734791729580820e+00 2.408430156098631514e+01 2.440056390707743361e+01 7.824813723122336029e+00
0.000000000000000000e+00 -1.945831399138471534e+04 1.799143387024395579e+01 6.114138955522528818e+01 9.515025946924108524e+00 -7.105310375198701678e+00 1.706995846694922392e+01 9.690360054055727090e+00 2.984874783257873787e+01 1.067167668224679744e+01
0.000000000000000000e+00 -1.919865762496680691e+04 1.927255357137443781e+01 1.875258992214677676e+02 8.371076853350530200e+00 9.983544182789312771e+00 9.012424410842619693e+00 3.097529055080550719e+01 6.636424820964769822e+00 3.229224377916944633e+01
