m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
1.502121361558133472e+01 1.991581539252044877e+02 -2.178230644329772758e-01 1.270634072535267833e+00 -2.495148894234056058e-02 7.899756982897621072e-01 1.653051339347062054e+01 1.611358913352515287e+01 1.656933722641523943e+01 1.614961011347315534e+01
1.509878061499796331e+01 1.979479469184315121e+02 -1.601857424140078479e-01 1.098510170445187839e+00 2.493208140599456613e-02 8.731869338005857628e-01 1.641108550625452622e+01 1.614318897291443022e+01 1.650291709500951143e+01 1.622956352226837851e+01
1.498317286650598490e+01 1.979214197627905207e+02 -7.118242194478341389e-02 1.046812430595746690e+00 2.377600272445157259e-02 9.259171019417617998e-01 1.615912001854082547e+01 1.607326402938713272e+01 1.626012437811371925e+01 1.616786117354883601e+01
1.509204747303658678e+01 1.995826749555332071e+02 -1.214501580116102986e-01 1.262787423807791853e+00 6.374369081572694995e-02 8.111305181327939096e-01 1.648641110111483243e+01 1.625510767572761850e+01 1.650598640457080535e+01 1.627596519454857926e+01
1.515966909999258405e+01 1.980339471298499063e+02 -4.238465947783964793e-02 1.191944269459980887e+00 -9.944799874391740957e-02 9.060036988959048188e-01 1.645123896913266748e+01 1.640658530377552893e+01 1.655085202041931680e+01 1.648399436899337545e+01
1.512806673785841838e+01 1.981387152317042535e+02 -1.113312920129079231e-01 1.203940623431442702e+00 -1.358836170216743966e-01 7.605945937282587721e-01 1.649006996527237234e+01 1.629405277839292765e+01 1.657006828024129774e+01 1.634995685095984896e+01
1.497654172629957259e+01 1.011492408737758524e+02 1.400484947280872916e+00 6.802823008021086082e-02 6.641657538063689969e-01 9.780377870285228425e-02 1.637950527399258505e+01 1.630599373840223976e+01 1.622513424328717946e+01 1.613758987900625641e+01
1.501696921338474411e+01 1.003254297183180057e+02 1.245752452130428622e+00 1.168045701226567701e-01 7.867591838145280292e-01 4.758493946542330377e-02 1.636119751353716012e+01 1.634216744191619597e+01 1.632244669981421836e+01 1.630204648610589757e+01
1.511566247413874997e+01 9.995790825268205992e+01 1.277824589689302570e+00 4.558741693446322074e-02 7.098459259603391303e-01 1.105894874478536849e-01 1.644153268570567761e+01 1.644398063945167721e+01 1.644641831261486686e+01 1.644884567590908730e+01
1.511064792369389487e+01 1.971991330243837979e+02 -7.883097605270705799e-02 1.206531237196253770e+00 1.028331096750889628e-02 1.009045713495257957e+00 1.648060109411785490e+01 1.639955457066577793e+01 1.661788101905288784e+01 1.651796219802824695e+01
