weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -3.560006285420878703e+04 1.840696392853718066e+01 1.482290515028590789e+02 -8.899917561697916923e+00 6.345211236474728622e+00 -8.665696451262775213e+00 -8.156793976453755590e+00 1.985092523772043194e+01 2.228794347847458823e+01 1.195971950183928101e+01 1.947260533448352504e+01
0.000000000000000000e+00 -3.550886178637561534e+04 1.033400732333820571e+01 1.574474947125190170e+02 -7.513777528185581644e+00 -8.706816037140800546e+00 8.655311733625119075e+00 -2.027314124716297350e+00 7.895782615527925152e+00 2.881010497072693255e+01 -2.102489070074947008e+00 6.834874535676698670e+00
0.000000000000000000e+00 -3.478994679966440162e+04 1.685838475921663360e+01 1.837116756655252630e+02 4.541380303949404507e+00 9.745075191533057790e+00 9.076246636012736957e+00 -8.234336453452987925e+00 1.391453410945381286e+01 2.241803227309243240e+01 -2.089662546200301563e+00 1.453376514865014890e+01
0.000000000000000000e+00 -3.460730478669611330e+04 1.051277531920676367e+01 6.351048097587258923e+01 -9.708182607473327508e+00 9.422072594513686283e+00 4.884059300055458408e+00 -5.275809107056725900e+00 1.830208642057292678e+01 8.517051200575558312e-01 -3.329137070470119752e+00 1.332312383494991082e+01
0.000000000000000000e+00 -3.337003628714100341e+04 1.298114711328396709e+01 1.830885920031165028e+02 9.190289120472328932e+00 6.520165032710885100e+00 6.220705911862321358e+00 -9.956347428965120372e+00 2.388441790393846631e+00 1.754619704473235942e+01 -8.615309416318773117e+00 1.062202479567746494e+01
0.000000000000000000e+00 -3.323026766698301071e+04 1.188266798838680849e+01 1.330529079009569955e+02 -6.240202625148862481e+00 9.713145729427019148e+00 6.527738064185246714e+00 -9.382606260580601543e+00 -4.231591204675099860e+00 2.732481152653944179e+01 9.456302887196285312e+00 1.484443901102733321e+01
0.000000000000000000e+00 -3.283509207657111983e+04 1.243558842378989837e+01 1.017613452473163562e+02 -9.497232690835295088e+00 8.690015147132537976e+00 -9.136388294842245017e+00 7.403541011390977644e+00 1.087373427713953333e+01 9.894369890542405344e+00 8.776946327216069932e+00 7.617684069134250890e+00
0.000000000000000000e+00 -3.273446084325111588e+04 1.813168561369069565e+01 1.672178482253837615e+02 9.379725654874061291e+00 4.609467160145999998e+00 -4.225944450707437738e+00 -9.006613478017797547e+00 5.955592212891616555e+00 8.026183136039914956e+00 2.557656816032899627e+01 1.795789765155451079e+01
0.000000000000000000e+00 -3.182201518354781001e+04 1.066670843120099477e+01 6.068850454567211727e+01 -9.141128565337901080e+00 8.768029127355376318e+00 -9.014908476206686672e+00 3.886529044911755548e+00 2.461633783785813989e+01 -4.879432636684363445e+00 9.336981873669010668e+00 3.040029724366116781e+01
0.000000000000000000e+00 -3.043359154569069869e+04 1.836252327206389268e+01 7.613180136645338791e+01 9.612347527721421869e+00 6.478525152213780558e+00 9.154213494562025488e+00 -7.728247537088918762e+00 2.407393128029956841e+01 -2.792684726522775662e+00 3.397512500480259234e+01 2.119205825270385901e+01
0.000000000000000000e+00 -3.016839896642612075e+04 1.423499726985319924e+01 1.339250033173600798e+02 -5.571070241769769282e+00 8.735889212892800515e+00 5.304615244597176371e+00 -9.658143345572543836e+00 -8.283924090082273040e-02 2.953102447156020105e+01 9.310421373518654065e+00 1.845815528434133768e+01
0.000000000000000000e+00 -2.991313668161788519e+04 1.242265443869772845e+01 1.897179554003559474e+02 4.902855807044922187e+00 2.052463944185152656e+00 7.183613819934681288e+00 -9.541176360676786317e+00 5.121503245968813012e+00 1.503053707206575140e+01 -2.432785587327032317e+00 1.184568328024765549e+01
