A T phi m0 m_100 m_200 m_300 m_400
1.443063407629760819e+00 9.993538050860489363e+01 1.054851068521464708e+00 1.510445883340429241e+01 1.636255612049768615e+01 1.636541747150153014e+01 1.636825800884275495e+01 1.637107768563481969e+01
1.524889301087826166e+00 1.012809626755761627e+02 1.179569700918435604e+00 1.508072831453514340e+01 1.643979169657244910e+01 1.638060529758475425e+01 1.631321442467767469e+01 1.623804443091646021e+01
1.495245039270702625e+00 1.010688878862836901e+02 1.219757711628673968e+00 1.504378617110943495e+01 1.641060480989092696e+01 1.636733123725160866e+01 1.631821557794866706e+01 1.626347462697120960e+01
1.577629738895742095e+00 1.007076179585081093e+02 1.091144497602223318e+00 1.496689556037109448e+01 1.633300394062807115e+01 1.629684694790663713e+01 1.625809817594134543e+01 1.621683313746435928e+01
1.552433488171337528e+00 9.885423989892814234e+01 8.670737097509091384e-01 1.512124235477292622e+01 1.637482950238827328e+01 1.643813588309494733e+01 1.649446130232558261e+01 1.654350717437579021e+01
1.475965273275964496e+00 1.005060574965237379e+02 1.122828449825823194e+00 1.506627047284409038e+01 1.637571376527025180e+01 1.635351607328493984e+01 1.633003013121224356e+01 1.630527944332121848e+01
1.449697805889564650e+00 1.007331391211917548e+02 1.087978577116600398e+00 1.500283367734768092e+01 1.625470674896133971e+01 1.621997923059432267e+01 1.618270690655735677e+01 1.614296770575654349e+01
1.391562526534748212e+00 9.906609445195957164e+01 8.588498191575760776e-01 1.509709306444531407e+01 1.620260349205564765e+01 1.625069606668673572e+01 1.629474246352051381e+01 1.633458819305533893e+01
1.436910681781031984e+00 9.937444306021296825e+01 9.310299429964936646e-01 1.505132105684992183e+01 1.623708091537991294e+01 1.626824562842043775e+01 1.629750684945755879e+01 1.632481880860417434e+01
1.563242007793144372e+00 9.872787105934790475e+01 9.284561233716254192e-01 1.504869295920066286e+01 1.637201050900145205e+01 1.643497742396115413e+01 1.648886283897353877e+01 1.653331375261210212e+01
1.443401137028860859e+00 1.015530774223073109e+02 1.219494351437167445e+00 1.505509416428296987e+01 1.635643327523321133e+01 1.629051980192358329e+01 1.621320797333794062e+01 1.612521108832844874e+01
1.374862036306878199e+00 1.001452275661888791e+02 1.137136476994157652e+00 1.509310552435398201e+01 1.633538643038550475e+01 1.632996766857752036e+01 1.632444621973018073e+01 1.631882254224642281e+01
1.487678989797290408e+00 9.958312413910233829e+01 9.137479288860762550e-01 1.507418058441677644e+01 1.627561225303492520e+01 1.629827083856833525e+01 1.632008260598455252e+01 1.634103246603689641e+01
1.498287914834706136e+00 1.007463177905563043e+02 1.136481987553153772e+00 1.508225299997143054e+01 1.641063161720294872e+01 1.637694785873649295e+01 1.634045971306441203e+01 1.630124621571247445e+01
1.414747997373613675e+00 1.004790889773919389e+02 1.093078657356160610e+00 1.500335738475666858e+01 1.623967252836571618e+01 1.621851607586712163e+01 1.619626908429128775e+01 1.617295151910761319e+01
