logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.297433745758817167e+03 -7.303426460045508065e+03 9.500000000000000111e-02
-7.303426460045508065e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.749937875151817934e+03 -6.755933089438509342e+03 1.300000000000000044e+00
-6.755933089438509342e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.381019028661243283e+03 -6.387016742947934290e+03 9.599999999999999645e-01
-6.387016742947934290e+03 1.593073540296035162e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -5.903447813259572285e+03 -5.909448027546263802e+03 6.949999999999999512e-01
-5.909448027546263802e+03 3.300190771449508134e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -5.800849920011190079e+03 -5.806852634297881195e+03 1.554999999999999938e+00
-5.806852634297881195e+03 2.567340513584836685e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.779351076250019105e+03 -5.785356290536710731e+03 5.600000000000000533e-01
-5.785356290536248707e+03 2.641964583410136242e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -5.728667854931893089e+03 -5.734675569218584315e+03 1.804999999999999938e+00
-5.734675569218584315e+03 2.567835884162984783e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -5.716759995647368669e+03 -5.722770209934060404e+03 6.400000000000000133e-01
-5.722770203179972668e+03 2.654286542886236333e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -5.705771316217586900e+03 -5.711784030504278235e+03 4.149999999999999800e-01
-5.711784013570177194e+03 2.576294875501015369e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -5.692607287319690840e+03 -5.698622501606381775e+03 1.544999999999999929e+00
-5.698622499683167916e+03 6.583129854550094251e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -5.676033931719153770e+03 -5.682051646005845214e+03 1.790000000000000036e+00
-5.682051645942257892e+03 1.164938918252298272e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.598761338480982886e+03 -5.604781552767673929e+03 1.260000000000000009e+00
-5.604781552767673929e+03 3.997327082443452895e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -5.467314146831602557e+03 -5.473336861118294109e+03 4.000000000000000083e-02
-5.473336861118294109e+03 9.096027582258028588e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -5.305451193855479687e+03 -5.311476408142170840e+03 7.000000000000000666e-02
-5.311476408142170840e+03 1.077193060480117452e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -5.266857747542816469e+03 -5.272885461829508131e+03 1.564999999999999947e+00
-5.272885461829508131e+03 1.121960449345401116e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -5.224834350110586456e+03 -5.230864564397277718e+03 1.560000000000000053e+00
