weight logl A T phi m0 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -7.297433745758817167e+03 2.463434520152454787e+00 1.524952478320041962e+02 3.266261645970799599e+00 1.000026591687080924e+01 1.219940150203356843e+01 7.851746169340556136e+00 1.019946788804629279e+01 1.192642160686054353e+01
0.000000000000000000e+00 -6.749937875151817934e+03 2.984613160900771334e+00 2.685861228127282061e+02 3.239239543295740376e+00 1.051483446327653581e+01 8.581636613595378549e+00 1.349334300368664863e+01 8.307307249310287744e+00 1.060523210176063280e+01
0.000000000000000000e+00 -6.381019028661243283e+03 2.842267984983291029e+00 2.528980001016485346e+02 5.848951082678605751e+00 1.996948149336590816e+01 2.249128871976414956e+01 1.717195855023068063e+01 2.187758324519174735e+01 1.974550389706131170e+01
0.000000000000000000e+00 -5.903447813259572285e+03 1.602232903654596363e+00 1.345898341565122962e+02 1.290840732535496027e+00 1.033322770950878144e+01 9.823216116263438380e+00 8.838233643331868450e+00 1.097473786782030025e+01 1.177179501975276743e+01
0.000000000000000000e+00 -5.800849920011190079e+03 1.242727307070274012e+00 5.747289874548627608e+01 6.426816085681357205e-01 1.003279564766947196e+01 8.992986723086715983e+00 9.419199798775913735e+00 1.115004135181147582e+01 1.050539329805635980e+01
0.000000000000000000e+00 -5.779351076250019105e+03 2.067920614600008200e+00 2.262615538530673689e+02 9.401477774004578514e-01 1.016254697118731443e+01 9.037051788822026310e+00 1.059539664002279302e+01 1.047925940137086442e+01 9.137917824679695045e+00
0.000000000000000000e+00 -5.728667854931893089e+03 2.038351411279166303e+00 9.600167021272307011e+01 4.317517709570132922e+00 1.010069005779408968e+01 8.080390529925910670e+00 8.079144326019871869e+00 8.215543993520805444e+00 8.480302158515925726e+00
0.000000000000000000e+00 -5.716759995647368669e+03 2.808365260662195162e+00 1.342783931911366153e+02 4.946536472844584864e+00 1.949055019115733245e+01 1.892991322388632724e+01 2.225946360998693052e+01 1.986755274951799777e+01 1.669663395299381747e+01
0.000000000000000000e+00 -5.705771316217586900e+03 2.439014670350623692e+00 1.181969529818890230e+01 1.241408484754804364e+00 1.012206257875722670e+01 8.079057512756039117e+00 1.177469739295663942e+01 8.961302367737445707e+00 1.071965463080847947e+01
0.000000000000000000e+00 -5.692607287319690840e+03 8.918627797900092746e-01 1.722778033450679800e+02 5.138164441856811315e+00 1.009025308530438991e+01 1.062250414403325749e+01 9.971137974148666316e+00 9.766433752023887749e+00 1.077599842258614338e+01
0.000000000000000000e+00 -5.676033931719153770e+03 8.073844796092290999e-01 2.441182510500445062e+02 2.279660812338977660e+00 1.007928509669616624e+01 9.279924531429804446e+00 1.081428877503617336e+01 9.639274454467715358e+00 1.008623215552917074e+01
0.000000000000000000e+00 -5.598761338480982886e+03 2.831634627483174071e+00 2.259895690943558009e+02 2.365961005384511928e+00 1.108755524234565826e+01 8.518284858613906607e+00 1.391173543758239362e+01 8.373121949030874589e+00 1.334175538458687171e+01
0.000000000000000000e+00 -5.467314146831602557e+03 2.875109243945801918e+00 1.541537502886562265e+02 4.740585504352909041e+00 1.089208585377580185e+01 1.253506613097949973e+01 1.181301338590036920e+01 8.154383205165640192e+00 1.322551247129662855e+01
0.000000000000000000e+00 -5.305451193855479687e+03 1.891229088310238060e+00 1.974915541497666425e+02 4.168411793470219173e-01 1.066373893145224727e+01 9.829653161628524316e+00 1.156487282214599333e+01 9.696991562903429340e+00 1.169456067542770228e+01
0.000000000000000000e+00 -5.266857747542816469e+03 1.538099589664263744e+00 2.455633357436142035e+02 2.579006614451557766e+00 1.059486371247579406e+01 9.193785612018075426e+00 1.211389875735194011e+01 9.459566164593034898e+00 1.097146699653976221e+01
0.000000000000000000e+00 -5.224834350110586456e+03 2.985816132131005496e+00 1.367207961324858161e+02 1.226943538635581143e+00 1.112054544381124188e+01 9.793368137228922521e+00 8.618720100021540986e+00 1.303060509286615343e+01 1.317735968989695827e+01
0.000000000000000000e+00 -5.113491189907364969e+03 3.523216736051431042e-01 1.963753768250799965e+02 2.923750614446616769e+00 1.010366431026756828e+01 1.004758324491346499e+01 1.013949304966283904e+01 1.008820833419557061e+01 1.009869556815953651e+01
0.000000000000000000e+00 -5.098725546613489314e+03 1.772498960385374911e+00 7.071299190309169092e+01 2.523591104920895667e+00 1.040203206558390292e+01 8.778913446213321592e+00 1.216052162603679676e+01 9.007347273929791953e+00 1.103700824767090793e+01
0.000000000000000000e+00 -5.061517381844681040e+03 2.678523927808887262e+00 1.112820552441395847e+02 4.843323690022448780e+00 1.126117765033266771e+01 8.918390412027841663e+00 1.015013148265022735e+01 1.181766783289731393e+01 1.326692720980761386e+01
0.000000000000000000e+00 -5.036120883522488839e+03 1.675549200348566803e+00 3.385295947712050690e+01 3.016226998536895909e+00 1.003902570605085742e+01 1.071412563291222497e+01 1.112359779428310524e+01 1.144290918883198316e+01 1.164551537520736346e+01
0.000000000000000000e+00 -5.019793683367790436e+03 1.612964953065451734e+00 2.732448311842700832e+02 1.731783193796981202e+00 1.012277202622573213e+01 8.869726342426279331e+00 1.019942291035888537e+01 1.127373692071863687e+01 8.513309013143562254e+00
