C sigma mu1 a1 W lam0
1.723515531565412857e+02 1.372974751662780601e+00 1.216542179618374348e+03 1.117030622991263478e+01 6.481117242829259606e-02 1.216542179618374348e+03
1.727161858893393003e+02 1.971208395607967567e+00 1.216244428558572508e+03 1.338845379080049725e+01 7.751707647932076783e-02 1.216244428558572508e+03
1.732560782911514536e+02 1.317423386684689168e+00 1.212065023191690898e+03 2.237327515287315975e+02 1.291341427876230963e+00 1.212065023191690898e+03
1.738787734030417482e+02 2.458441187385326909e+00 1.212372585942551723e+03 3.570112217102640670e+02 2.053219117682242967e+00 1.212372585942551723e+03
1.724692274502582734e+02 1.816687329696083930e+00 1.210673807507015454e+03 3.682583491234547637e+02 2.135211913265303352e+00 1.210673807507015454e+03
1.692001142528234254e+02 1.751879681305347436e+00 1.218120945702809422e+03 2.411810365008128656e+02 1.425418874956748461e+00 1.218120945702809422e+03
1.794641522600126109e+02 2.310171363102214048e+00 1.214300993558381833e+03 1.137660320583032387e+02 6.339206500330822891e-01 1.214300993558381833e+03
1.676233634321665988e+02 2.540126593429222090e+00 1.215114125885957492e+03 3.482806876987612554e+02 2.077757423354069655e+00 1.215114125885957492e+03
1.802029978548492863e+02 1.511887928019568506e+00 1.218339712530639190e+03 3.485167394774003355e+02 1.934022983114438210e+00 1.218339712530639190e+03
1.774701190884497066e+02 2.312571509043592322e+00 1.210853063125341805e+03 2.312365439169258821e+02 1.302960436971811742e+00 1.210853063125341805e+03
1.752776257622419678e+02 1.606243988545074997e+00 1.211712881115968457e+03 1.599101687291223861e+01 9.123250502379293136e-02 1.211712881115968457e+03
1.724450718516333723e+02 2.241862528497275520e+00 1.215773087810653124e+03 2.895016997524695057e+02 1.678805295181460266e+00 1.215773087810653124e+03
1.658500215150908161e+02 9.023611592002600545e-01 1.212225104561356602e+03 8.372913098353981809e+01 5.048484782736144538e-01 1.212225104561356602e+03
1.804904384708115401e+02 1.077571974479196282e+00 1.218269075015527051e+03 1.565792627821654435e+02 8.675210947946533357e-01 1.218269075015527051e+03
1.672726654939533262e+02 5.098129727887898976e-01 1.215398568917025386e+03 2.351020499927443552e+02 1.405501904919683076e+00 1.215398568917025386e+03
1.711983364075890108e+02 2.482275774763662013e-01 1.215962224863890469e+03 6.439614238197614782e+01 3.761493466190103940e-01 1.215962224863890469e+03
1.733895802758722766e+02 8.667941824981654220e-01 1.210940890555719761e+03 3.266287173808074726e+02 1.883785155146712853e+00 1.210940890555719761e+03
1.708616787237480708e+02 2.681765375870911239e+00 1.211894542991906519e+03 2.090027220698596366e+01 1.223227605107278793e-01 1.211894542991906519e+03
1.840005115229890009e+02 2.334798068372841318e+00 1.215729219154636894e+03 3.744496965282040151e+02 2.035047041059015349e+00 1.215729219154636894e+03
1.709308829262471363e+02 2.889890434716246848e+00 1.216628707330093675e+03 1.194635690552426439e+02 6.988998536138639750e-01 1.216628707330093675e+03
1.656401826090340421e+02 1.247113341651989449e-01 1.215430480080560073e+03 1.997069109321630549e+02 1.205667053649281728e+00 1.215430480080560073e+03
1.736139691449735949e+02 2.690614512103151057e-01 1.210730767186596722e+03 2.248668498698685312e+02 1.295211733118646791e+00 1.210730767186596722e+03
1.744052562146625576e+02 1.014504430947471114e+00 1.214464104497486005e+03 3.703376165210384841e+01 2.123431509800468575e-01 1.214464104497486005e+03
1.684591508150846551e+02 3.517667939342575822e-01 1.211789639789775492e+03 1.335539220773388820e+02 7.927970753214779176e-01 1.211789639789775492e+03
1.690872650595111395e+02 8.061504249642312825e-01 1.217308866136072766e+03 3.477012153559833063e+00 2.056341825823536015e-02 1.217308866136072993e+03
1.705277736071933532e+02 5.921363257417978643e-01 1.218899978334048683e+03 2.483012016918539899e+01 1.456074845988488964e-01 1.218899978334048683e+03
1.766340464806523300e+02 9.841985013939617000e-01 1.213481833847887629e+03 8.313783271192853874e+01 4.706784131848277264e-01 1.213481833847887629e+03
1.752728793246340047e+02 1.293447156817145505e+00 1.213988280529261147e+03 3.893361581625312340e+01 2.221314328050816578e-01 1.213988280529261147e+03
1.704824203140890972e+02 2.027020264054158361e+00 1.218239224382733937e+03 2.281055570249435505e+02 1.338000461306756428e+00 1.218239224382733937e+03
1.758383374535799533e+02 6.963921965475547982e-01 1.216458872065828245e+03 2.485583028311746716e+02 1.413561493077652997e+00 1.216458872065828245e+03
1.725342473697504033e+02 2.190084625552850106e+00 1.210187132607907870e+03 1.192375794419505439e+02 6.910951376883328612e-01 1.210187132607907870e+03
1.707938456908648845e+02 1.125322284917008586e+00 1.219784881555082848e+03 1.164780718206079655e+02 6.819804973033518625e-01 1.219784881555082848e+03
1.707949063151212101e+02 1.693062921217330707e+00 1.218441204358737878e+03 3.380071614503306705e+02 1.979023664948756256e+00 1.218441204358737878e+03
1.817821744172109675e+02 1.241272144867139549e+00 1.218987303548489763e+03 3.670994784116917913e+02 2.019447063985252644e+00 1.218987303548489763e+03
1.746532456410773761e+02 2.033287411861723459e+00 1.217115455861541250e+03 6.434080843406081840e+01 3.683917135229478612e-01 1.217115455861541250e+03
1.742206179872105167e+02 2.897906429512372428e-01 1.215931321338086263e+03 5.124416151156548693e+01 2.941337374622750023e-01 1.215931321338086263e+03
1.723926935022394957e+02 2.314951045710038624e+00 1.214484230748837263e+03 2.897561679893071869e+02 1.680791465709903010e+00 1.214484230748837263e+03
1.732429684313546545e+02 2.409320402608995160e+00 1.213954191703631068e+03 1.663998053395759769e+02 9.604996199629874942e-01 1.213954191703631068e+03
1.809832175831401742e+02 1.047697982390990212e+00 1.216855715685848054e+03 3.549572002529324664e+02 1.961271354289366720e+00 1.216855715685848054e+03
1.712863566429995785e+02 1.024765907633569340e+00 1.218725678911384421e+03 8.197274122443771205e+01 4.785713400121405225e-01 1.218725678911384421e+03
1.731348490382362684e+02 1.987442143746622092e+00 1.217947068522293648e+03 1.971503592562621066e+02 1.138709857382450341e+00 1.217947068522293648e+03
1.742737031272708919e+02 2.223950596092749254e+00 1.210530996124206695e+03 6.091311345503859087e+01 3.495255587158445643e-01 1.210530996124206695e+03
1.760081425948967535e+02 9.706262148963442637e-01 1.217903048718542550e+03 2.879248258802731470e+02 1.635860828001382217e+00 1.217903048718542550e+03
1.742587033394403306e+02 2.593410972179432505e+00 1.211233336767679702e+03 3.385756841418063914e+02 1.942948487814071035e+00 1.211233336767679702e+03
1.848407784830011451e+02 1.932999762812855626e-01 1.211912977356310421e+03 9.779656636326807018e+01 5.290854494656973550e-01 1.211912977356310421e+03
1.766707496289891708e+02 1.312927320380409490e+00 1.219417120382598114e+03 1.233192096110808080e+02 6.980171300005956203e-01 1.219417120382598114e+03
1.727555357433564325e+02 1.674581975143458079e+00 1.217621407651871095e+03 2.197426677354928586e+02 1.271986259600618174e+00 1.217621407651871323e+03
1.718650634562004598e+02 2.182952010573716795e+00 1.218424609519330261e+03 3.922456681319393397e+02 2.282288559663567362e+00 1.218424609519330261e+03
1.780380292919654153e+02 1.463490190740250219e+00 1.212059401418092875e+03 1.453383771966362872e+02 8.163333293152509329e-01 1.212059401418092875e+03
1.725455172086169569e+02 1.711465552653085087e+00 1.212013530198021726e+03 5.776178581716937543e+01 3.347625991774229592e-01 1.212013530198021726e+03
1.711064832952245638e+02 2.832026545458471989e-01 1.217144178275961622e+03 2.657647449350652664e+02 1.553212594969407112e+00 1.217144178275961622e+03
1.703653889173143625e+02 1.147667829298629205e-01 1.216005840026899705e+03 2.915861172708705240e+01 1.711533775281021408e-01 1.216005840026899705e+03
1.817660599287254684e+02 1.182412544623884676e+00 1.213773459953703878e+03 1.660447838688854745e+02 9.135081870289499806e-01 1.213773459953703878e+03
1.805838254492534247e+02 2.326270601457429255e+00 1.219500192448011603e+03 7.104447631887378378e+00 3.934155018708376805e-02 1.219500192448011603e+03
1.711401161941325313e+02 8.907689954075187488e-01 1.219739541460216969e+03 1.493730689234108695e+02 8.728115432267777862e-01 1.219739541460216969e+03
1.725564972502868955e+02 2.048437051819935295e+00 1.213612130195271220e+03 2.940949261859078092e+02 1.704339916910424302e+00 1.213612130195271220e+03
1.778017881130227238e+02 2.677360554840429785e+00 1.213763266459236547e+03 1.337041611718978729e+01 7.519843449881760677e-02 1.213763266459236547e+03
1.739498404998677756e+02 2.782647408574771664e+00 1.211154030394058509e+03 3.360097259829126983e+02 1.931647220930726272e+00 1.211154030394058509e+03
1.758635703986568615e+02 1.904530533894419175e+00 1.219854365083876928e+03 1.055617660501278863e+02 6.002480548463497989e-01 1.219854365083876928e+03
1.630903616608183881e+02 2.903755060267362520e+00 1.213696284551962435e+03 3.687898993635175202e+02 2.261261153681759062e+00 1.213696284551962435e+03
1.709021716435485985e+02 2.088176378673242795e+00 1.212561606118543978e+03 2.771002846851638992e+02 1.621397095310837644e+00 1.212561606118543978e+03
1.692933110885368535e+02 2.647177261207174670e+00 1.217925269992733320e+03 2.194325872561453252e+02 1.296168087476218700e+00 1.217925269992733320e+03
1.672804798832540314e+02 9.275663661982654906e-01 1.213746144934372978e+03 2.631320245046108539e+02 1.572998981640010507e+00 1.213746144934372978e+03
1.735280570263808499e+02 2.242128499277483145e-01 1.212868132250549934e+03 2.410519013684353524e+02 1.389123496794464119e+00 1.212868132250549934e+03
1.778272174700769028e+02 6.814289929628696285e-01 1.215574692403665722e+03 3.649336262248812659e+02 2.052180939547619598e+00 1.215574692403665722e+03
1.739588667530846919e+02 2.851827259705633777e-01 1.219068059582437627e+03 3.458146419352486873e+02 1.987910408878980517e+00 1.219068059582437627e+03
1.729495853670371446e+02 1.489222659876655142e+00 1.210163686022831143e+03 3.405434959963591268e+02 1.969033318430054358e+00 1.210163686022831143e+03
1.715801522188887702e+02 6.109038799788500951e-01 1.212731569375598156e+03 4.640926996473655208e+01 2.704815758965592454e-01 1.212731569375598156e+03
1.711984012573560108e+02 2.857458851998086136e+00 1.215564399105807524e+03 1.708423546832818261e+02 9.979202692813763376e-01 1.215564399105807524e+03
1.770404817719282846e+02 9.046373631430619788e-01 1.214192845169171505e+03 2.934778749997977911e+02 1.657687959626485519e+00 1.214192845169171505e+03
1.722928074840410488e+02 1.019022517371924064e+00 1.217538428480783523e+03 2.105895974353406359e+02 1.222277357427395295e+00 1.217538428480783523e+03
1.709021588746566351e+02 1.773592737468475899e+00 1.219734232772668292e+03 1.034939149263925486e+02 6.055740641772537902e-01 1.219734232772668292e+03
1.755878443439918328e+02 2.279626592915996230e+00 1.212465256030349337e+03 1.301998035910810074e+02 7.415080700917330292e-01 1.212465256030349337e+03
1.745466271871749200e+02 2.507585226672302881e+00 1.216291670921053310e+03 2.757065214494605243e+02 1.579558000589761591e+00 1.216291670921053310e+03
1.714218278271550275e+02 1.333618453258913261e+00 1.210707265039477306e+03 3.275509242847014093e+02 1.910788890986343080e+00 1.210707265039477306e+03
1.759183578479154448e+02 2.636764948042438217e+00 1.216457057002535748e+03 2.275582926169015252e+02 1.293544888667217618e+00 1.216457057002535748e+03
1.754807876096009522e+02 1.908337503194235785e+00 1.219873112373895765e+03 1.938357724904367956e+02 1.104598259050847853e+00 1.219873112373895765e+03
1.703934207001775576e+02 5.355618867559410745e-01 1.214374526299697436e+03 9.973033978937422717e+01 5.852945458783802568e-01 1.214374526299697436e+03
1.778659558927483886e+02 2.591566579035651685e+00 1.216490678937653456e+03 3.836578198620942430e+02 2.157005357975511295e+00 1.216490678937653456e+03
1.709317219222685367e+02 2.314370905571492720e+00 1.214207650124438032e+03 3.351592720237442222e+02 1.960778656264624775e+00 1.214207650124438032e+03
1.687792072476903513e+02 2.241904244847770400e+00 1.210999201589486347e+03 2.250657574370715395e+02 1.333492206221696508e+00 1.210999201589486347e+03
1.675758763820454078e+02 2.796417979886438587e-01 1.215169222352825045e+03 3.351948139169430192e+02 2.000256965106087303e+00 1.215169222352825045e+03
1.713292848717900654e+02 2.202369439394146422e+00 1.212456852104734253e+03 1.812320871056583087e+02 1.057799822378753030e+00 1.212456852104734253e+03
1.717386701123582213e+02 1.198247163248980174e+00 1.211567002773365175e+03 2.125955833520117153e+02 1.237901651462208763e+00 1.211567002773365175e+03
1.756941392034974854e+02 1.816781107692326147e+00 1.219948731623162530e+03 2.643600044992324456e+02 1.504660347224433314e+00 1.219948731623162530e+03
1.721655758200535615e+02 1.104420265467861872e+00 1.218396807418584785e+03 5.884285476088055589e+01 3.417806055630003281e-01 1.218396807418584785e+03
1.702111024415983991e+02 2.571284437951485202e+00 1.216668445493697845e+03 3.340303131107143599e+02 1.962447268827980373e+00 1.216668445493697845e+03
1.649894945871776031e+02 2.753683933578578102e+00 1.211675625429614911e+03 7.239925095693304513e+01 4.388112778821716686e-01 1.211675625429614911e+03
1.663530742925789809e+02 8.430006135324070726e-01 1.216354186356432137e+03 5.889098498321266817e+01 3.540120026855421709e-01 1.216354186356432137e+03
1.786964816771282756e+02 2.732725011418865257e+00 1.210322991192533436e+03 3.060572374916218905e+02 1.712721115822588569e+00 1.210322991192533436e+03
1.690987317159186318e+02 1.985743518562681054e+00 1.210857301127975461e+03 1.495067496788982453e+02 8.841387996337287669e-01 1.210857301127975461e+03
1.801579750537121356e+02 2.192575549944076663e+00 1.211032506659974160e+03 2.772735524878683009e+02 1.539057887419095438e+00 1.211032506659974160e+03
