weight logl C sigma mu1 a1 W lam0
1.461012043655279540e-140 -5.471882999461370218e+02 2.993871815532276059e+02 1.291176653772827976e+00 1.213598581712123178e+03 6.971314193434477602e+01 2.328527947411488663e-01 1.213598581712123178e+03
1.749246407528298136e-140 -5.470057442513838168e+02 2.993376718382462514e+02 2.825367705241896399e+00 1.210684932122247119e+03 8.651548601068581945e+01 2.890230470471367163e-01 1.210684932122247119e+03
1.472153169875811747e-139 -5.448731181587949095e+02 2.988833361901904482e+02 2.314684165805600546e+00 1.212414697762163769e+03 2.130979768887586374e+02 7.129804545314515352e-01 1.212414697762163769e+03
6.131618923308567466e-139 -5.434438854158111099e+02 2.985063562615478077e+02 2.189254933583329787e+00 1.212233370672854562e+03 6.194888734904671423e+01 2.075295418324955843e-01 1.212233370672854562e+03
2.121600489324446201e-135 -5.352923331056854295e+02 2.966199609688349028e+02 1.341540462690759550e-01 1.217349805087205596e+03 1.501328567430415433e+02 5.061454942299571380e-01 1.217349805087205596e+03
9.764099798131791165e-135 -5.337632914838262650e+02 2.962714525932231027e+02 4.096834705427101486e-01 1.219487307964018100e+03 2.656110466534350394e+02 8.965124527813200794e-01 1.219487307964018100e+03
1.536700859305791910e-133 -5.310046958520780436e+02 2.955940474002097176e+02 1.702235169740661691e+00 1.211336762191922162e+03 1.508225096011719870e+02 5.102352734355670716e-01 1.211336762191922162e+03
2.060714104208988038e-133 -5.307087810960861134e+02 2.955230723033915865e+02 2.949284075710958408e+00 1.219949860112280248e+03 2.147357415168864918e+02 7.266293621109666256e-01 1.219949860112280248e+03
6.105745341112130695e-133 -5.296201034842391664e+02 2.953033766557508670e+02 1.133714545127669115e+00 1.213312945553018608e+03 2.324568578709274504e+02 7.871798165786414447e-01 1.213312945553018608e+03
2.149854126293003294e-132 -5.283588485867501277e+02 2.949555503680851416e+02 2.102772478982003257e+00 1.219436109509560083e+03 1.415945127002588322e+02 4.800537319048859830e-01 1.219436109509560083e+03
6.315593449723254497e-132 -5.272787268523452440e+02 2.948037755329281708e+02 5.802612767756604173e-01 1.214345546405013692e+03 3.605561679793619305e+02 1.223037823472818975e+00 1.214345546405013692e+03
1.416958819813375150e-130 -5.241655654936067776e+02 2.939350064368211406e+02 2.225395352950155559e+00 1.211469214391556989e+03 2.348784765888431991e+01 7.990830334777711264e-02 1.211469214391556989e+03
4.906320490537335187e-129 -5.206184690294264783e+02 2.931208890370467088e+02 1.273075460949065096e+00 1.216659028451201948e+03 9.982451392315981309e+01 3.405574889292290464e-01 1.216659028451201948e+03
9.666130585843886058e-129 -5.199378652162262142e+02 2.930904876281855422e+02 1.222017666160079008e+00 1.216400877301241280e+03 3.983256759492895753e+02 1.359053578206213642e+00 1.216400877301241280e+03
1.297406048644350477e-128 -5.196410412824623108e+02 2.929021525838282969e+02 1.526212847640820769e+00 1.210439488686333107e+03 3.117253963422093648e+02 1.064264613941319215e+00 1.210439488686333107e+03
3.555520603569593583e-127 -5.163278216182127380e+02 2.921581828632466795e+02 7.382653194435291333e-01 1.217009546110907877e+03 2.922573637880572051e+02 1.000339476799309679e+00 1.217009546110907877e+03
1.457743000168045568e-126 -5.149143486710846673e+02 2.917586309721522753e+02 1.063384004186070930e+00 1.219684774878061035e+03 3.547780030827989890e+02 1.215998313059886149e+00 1.219684774878061035e+03
4.535294680573693187e-126 -5.137768479597534679e+02 2.914444727358847445e+02 2.164637588284660019e+00 1.211286151140788206e+03 6.485897192512189235e+01 2.225431531305757105e-01 1.211286151140788206e+03
1.493871579379317307e-125 -5.125822818019551050e+02 2.911561893024623942e+02 1.034533404143655799e+00 1.210507581257963921e+03 7.600988490643003104e+01 2.610622329153666765e-01 1.210507581257963921e+03
5.755683628673754086e-125 -5.112309651036258629e+02 2.909000229431458706e+02 1.806008573405461615e+00 1.216506850096626977e+03 2.241741510809935107e+02 7.706226655224657218e-01 1.216506850096626977e+03
9.362712525957804154e-125 -5.107419178791062109e+02 2.907908014621538086e+02 8.749692543725299254e-01 1.211251726776180021e+03 3.617955322486983505e+02 1.244178049750950477e+00 1.211251726776180021e+03
