weight logl C sigma mu1 mu2 a1 a2 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 2.183740505601720940e+02 1.488757540115679623e+00 1.211129687165444466e+03 1.215869015330928278e+03 3.323625097485901847e+02 2.465025455077252445e+02 2.650795979519605883e+00 1.213147871621700688e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.577720882889531140e+02 6.659432533834449552e-01 1.213476504180746133e+03 1.212385787229864945e+03 2.187420227453525854e+02 5.584594917670475667e+01 1.065235471166506853e+00 1.213254673184367448e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.860119632301808394e+02 1.330084668768142020e+00 1.214627742332362686e+03 1.218865243949329852e+03 3.611407353630302737e+02 3.300240618631367084e+01 2.118912862941029207e+00 1.214982556953843869e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.846487081094998075e+02 1.174493174581029420e+00 1.219730626621661713e+03 1.219988382943002080e+03 3.192466307675828716e+02 3.491984233362050531e+02 2.348315783842053417e+00 1.219865279575504928e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.205275776011960147e+02 1.206755495045558124e+00 1.210444710912422352e+03 1.219078989858586510e+03 1.259531295899776637e+02 3.891731667531579575e+01 7.476182709604084486e-01 1.212482814014722408e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.845853379992648797e+02 4.356524993394459422e-01 1.212643709241532633e+03 1.210417231041572904e+03 3.037666113304249507e+02 3.467976645543456016e+02 2.286007706716257193e+00 1.211456835832480238e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.957524434950018986e+02 6.425010686450609576e-01 1.210883640823784845e+03 1.218035812299999179e+03 2.531662513341019860e+02 3.984153819457564509e+02 2.203131867922741183e+00 1.215256899652603806e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.367494817263922471e+02 2.043113371258836519e+00 1.213124318234886914e+03 1.211533791837723129e+03 3.083028006396727960e+02 2.917309165527773871e+02 4.387831746177985437e+00 1.212351018817952308e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.058985095880443907e+02 1.698796658104424262e+00 1.210109344268477344e+03 1.217420875813181055e+03 9.621200446398776762e+01 2.540651899513093781e+02 1.701212869952877682e+00 1.215412588899750062e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.041172614797274036e+02 9.282333037752064087e-01 1.216655297194849254e+03 1.210936008153528064e+03 1.157047286375313178e+02 1.339786422204971572e+01 6.324922837180200208e-01 1.216061767225194671e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.924550587252512628e+02 9.351168129108768934e-01 1.214225708632320902e+03 1.213726289286759993e+03 3.535652453220353095e+02 3.334260247915641173e+01 2.010380243387320576e+00 1.214182670113448694e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.260793685079377440e+02 2.407461821632130405e+00 1.214660227147100386e+03 1.213455429455785179e+03 1.398252825551199976e+02 3.910729801567609343e+02 4.210825839268512283e+00 1.213772742940197986e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.648245443114437307e+02 1.203311996634158776e+00 1.211361814315398760e+03 1.213919805978767272e+03 1.943260883739921212e+02 2.738855409372343388e+02 2.840666912001398092e+00 1.212858139666106581e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.689239586575948806e+02 9.555021726852205299e-01 1.215177454294934478e+03 1.217319702386787185e+03 2.408078388781830768e+02 3.862213111980352664e+01 1.039066847717233122e+00 1.215473550618085710e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.166237503489415701e+02 1.595709097629441686e+00 1.217467562709231515e+03 1.216188824285852888e+03 3.161574566664242525e+02 2.997983363918947930e+01 1.597873223725696512e+00 1.217356807912580734e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.184188922148237850e+02 9.212889229660087276e-01 1.214578022822108323e+03 1.214996899275333362e+03 1.026320186110751820e+01 9.571400401137277925e+01 8.949349541306886868e-01 1.214956333820159216e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.171925323866929176e+02 1.571496749509337709e+00 1.216262676721273237e+03 1.211956493003872993e+03 1.827050340116011569e+02 3.300178611450684230e+02 4.375047494194166831e+00 1.213490969911340699e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.750375138075677057e+02 2.671530621354304191e+00 1.210456557452726429e+03 1.217468021640565894e+03 3.421993088916248098e+02 3.141933271365256246e+02 3.750011193313530278e+00 1.213812712199686985e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.852187461389741259e+02 1.949527067038538286e+00 1.215331686923465213e+03 1.218643476489077329e+03 1.945983094177299222e+02 3.320629040240241352e+02 2.843455235608750797e+00 1.217419789165676775e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.926315553295024756e+02 8.049958125225911143e-01 1.216754495931007341e+03 1.219374328145235722e+03 2.568553097146997857e+02 2.282827748839858373e+02 1.657846106351795301e+00 1.217987263645150506e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.671215239296639652e+02 2.687428678319113473e+00 1.219359761396578733e+03 1.219195863288331111e+03 1.694153432195494986e+02 9.272005867455006012e+01 1.568531663248977193e+00 1.219301788905631156e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.309170188333056615e+02 1.276559570711051084e+00 1.212777108737280741e+03 1.219721806856376816e+03 3.774727184950438073e+02 1.706910094070057653e+02 2.373855901447254890e+00 1.214939596825487797e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.212791514919555027e+02 1.530944390597078320e+00 1.211688933106675677e+03 1.210061336040922924e+03 3.977871631410560553e+02 2.724057811933616335e+02 5.526035893967083723e+00 1.211027382050502410e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.919724074087791337e+02 8.252925820707366356e-01 1.213564637674543746e+03 1.210753895878567391e+03 6.537993312225354714e+01 3.563324002437431091e+02 1.444356804496164992e+00 1.211189657643413284e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.385157565963163222e+02 2.933082795447307323e+00 1.216496595986405964e+03 1.211844750130831926e+03 1.377723497108863739e+02 9.057285345953185640e+01 1.648514283006059289e+00 1.214651446856302300e+03
