C sigma mu1 mu2 a1 a2 W lam0
1.941213694649081276e+02 6.348673624077568745e-01 1.215737269487205822e+03 1.210515567848893852e+03 1.799538226780709635e+02 2.110353642957305453e+02 2.014148097407079785e+00 1.212918870042418575e+03
1.941677475216303606e+02 7.625151986124867332e-01 1.215755583276194557e+03 1.215314824554313191e+03 3.910765577293178126e+02 2.339357885703436182e+02 3.218929787657112573e+00 1.215590611752378891e+03
1.870267811362522821e+02 5.910564807990553726e-01 1.215795059619761105e+03 1.217172137904780584e+03 3.705993198229406289e+02 1.997786464726237909e+02 3.049712788886817627e+00 1.216277390376074891e+03
2.013531190605819461e+02 7.557061640283341264e-01 1.215776785510218588e+03 1.213714619057641812e+03 1.050803800600311604e+02 2.810615136081599417e+02 1.917734850444561268e+00 1.214275794206303772e+03
1.887558692607645980e+02 7.138564535636554576e-01 1.215679303793368490e+03 1.214035541380939321e+03 8.092746314582737455e+01 2.263068114286145942e+02 1.627680642608259731e+00 1.214468518861191342e+03
1.983504245574359572e+02 8.342158244216333340e-01 1.215644820625535431e+03 1.213378295528568742e+03 3.455779055670507205e+02 2.985443050084364245e+02 3.247395169496951617e+00 1.214594308550732876e+03
2.064223213160197474e+02 7.128302193562412459e-01 1.215688437180822348e+03 1.210547815425293038e+03 2.822720135832330470e+02 2.807315792234572882e+02 2.727435624293589989e+00 1.213125158931698252e+03
1.994748469012029091e+02 8.454019490129487391e-01 1.215841707204234808e+03 1.218691688940507447e+03 1.981729115334211144e+02 2.679352621237172798e+02 2.336676432633109091e+00 1.217479976272903286e+03
1.914991012187726938e+02 5.595002540359761412e-01 1.215735271589387366e+03 1.215397023433289178e+03 3.506842845756394240e+02 1.854624955734759055e+02 2.799735229757604582e+00 1.215618265669598486e+03
1.972562383097809970e+02 7.586899520947062436e-01 1.215635696078946012e+03 1.217235319410709508e+03 4.546610395348733391e+01 2.582469323791179932e+02 1.539687864551281260e+00 1.216995854415836220e+03
2.034114069764980286e+02 7.517355433576977664e-01 1.215800101975819416e+03 1.218241336874148146e+03 2.795014385848212441e+02 2.818824008921101836e+02 2.759844434593548446e+00 1.217025896353733287e+03
1.960064709774812854e+02 8.038504680074379793e-01 1.215622675450932547e+03 1.214223496829238456e+03 1.153625920197834205e+02 2.892070357358443289e+02 2.064062608433513191e+00 1.214622471100719849e+03
2.106889053478096798e+02 8.348111818135068862e-01 1.215832353967583686e+03 1.210877472696954101e+03 3.397752137087429105e+02 3.327101325957388553e+02 3.191840335371854298e+00 1.213380941139621655e+03
1.916310996823978030e+02 6.619160479229336813e-01 1.215726770949444017e+03 1.214458881862836733e+03 1.537901695941756941e+02 2.524943779637050341e+02 2.120138893067156083e+00 1.214938813671289608e+03
1.914575803339496360e+02 6.518600690595809377e-01 1.215779443943919205e+03 1.212362292695177757e+03 1.369012917127360538e+02 2.219409584516610892e+02 1.874265043663912333e+00 1.213665964210213133e+03
1.998223862850291823e+02 6.888071568446975101e-01 1.215663221100437568e+03 1.211015311721638227e+03 1.621860163222381743e+02 2.558347757950421908e+02 2.091961766090663311e+00 1.212818633280252698e+03
1.969779166769399410e+02 5.731523501272992593e-01 1.215687020092325611e+03 1.218710783409902888e+03 7.544203545508490549e+01 2.230224928975943044e+02 1.515218220335763366e+00 1.217946475300421525e+03
1.981747674112162940e+02 6.542634718041892006e-01 1.215762485887137927e+03 1.219930254488434230e+03 3.007501454136319694e+02 2.558296443465970640e+02 2.808530051685720785e+00 1.217678183831269052e+03
1.924612858102350970e+02 6.268652949383454187e-01 1.215792501718489802e+03 1.214834063597857721e+03 1.222379453504878484e+02 2.132639746318155574e+02 1.743217699964370926e+00 1.215183264301739655e+03
