C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
2.653592618946335051e+02 2.376265812266032729e+00 1.211225058375426897e+03 1.218657865755880039e+03 1.218314778225638292e+03 1.233988940760271475e+02 2.221177094253111477e+02 1.082437206824731213e+01 1.342862401053400268e+00 1.216073504200952584e+03
1.691444549898715763e+02 7.901608752196791485e-01 1.210727514226478434e+03 1.214390690766817443e+03 1.217600885376627957e+03 1.736075477464643484e+02 4.370450275743440471e+01 1.231574623643177233e+02 2.012891956101096724e+00 1.213684032269661657e+03
2.474877361576843668e+02 2.784667416825926001e+00 1.210791389153646151e+03 1.215077484429396009e+03 1.212687638691369102e+03 2.023199611031026564e+02 8.860622367378701369e+01 2.526847482881793212e+02 2.196516649692543677e+00 1.212371431057840709e+03
2.201286709250804847e+02 2.245410502889502613e+00 1.217497180403072434e+03 1.216702783634398656e+03 1.217206622570389300e+03 2.275804577373545499e+02 3.090390464979065541e+02 1.033833276595721884e+02 2.907403334628111402e+00 1.217066653471282962e+03
1.714815059394838386e+02 1.533879302720283500e-01 1.216166066296907957e+03 1.219480855535804494e+03 1.217058288945529966e+03 1.027575837024137684e+02 2.263840379455618574e+02 2.991581993685026077e+02 3.663950917472153179e+00 1.217785247235383395e+03
2.644233063663535859e+02 1.129710239491198864e+00 1.210789115585892205e+03 1.213701952969747481e+03 1.218785810594965824e+03 1.925481608096333161e+02 8.502066821726428714e+01 1.075157393234440946e+02 1.456318558458739698e+00 1.213664904562771653e+03
2.288167893313191428e+02 2.744627960463516536e-01 1.212005430444483864e+03 1.219588013589938100e+03 1.217248865525615656e+03 3.138474311431612023e+02 1.867031024548170990e+02 3.528507205949902072e+02 3.729626906692024679e+00 1.215832284024324053e+03
1.509805899351144092e+02 2.156572220467523504e+00 1.215591637159328911e+03 1.214438280224119353e+03 1.214037918913787962e+03 3.784476415496585560e+02 2.074742645901914386e+02 1.785173941967632345e+02 5.063162759299983939e+00 1.214915772359828225e+03
1.202807312786531924e+02 1.944997431723797909e+00 1.211597015542323788e+03 1.214804294630792810e+03 1.217759913180075500e+03 3.272499241822873159e+02 3.088890571146572483e+02 2.934931225365509277e+01 5.532792214314605772e+00 1.213357482603957124e+03
1.799396577900290595e+02 1.563223843864881779e+00 1.216329559005904684e+03 1.219729673800179171e+03 1.210473501539970130e+03 7.799649898764661771e+01 3.023445489297581616e+02 1.302017545694030218e+02 2.837300063572191444e+00 1.216849666655188912e+03
2.443155019962017889e+02 3.073340501692864990e-01 1.212050624301261905e+03 1.212545532496784745e+03 1.213257394163803838e+03 8.756649945436123517e-02 1.326006842346374413e+02 2.722002492025723654e+02 1.657236223770027994e+00 1.213023999002532491e+03
2.269031678992598984e+02 2.146589939640569433e+00 1.212026715924812379e+03 1.217195653100416166e+03 1.210561090232454035e+03 4.924884111230021233e+01 1.450339838057002062e+01 2.261627824329612793e+02 1.277703720974700197e+00 1.211141964152299124e+03
2.139703118935817656e+02 5.926749172705824131e-01 1.213725713868708908e+03 1.210570998670995095e+03 1.214123704056703446e+03 3.954566699129156149e+01 2.735946714562770694e+02 2.862409066378069156e+02 2.801235553572862358e+00 1.212475771195401876e+03
2.905883436591576583e+02 2.620663073528122222e+00 1.210936497787327426e+03 1.214168316691069322e+03 1.215300369358568105e+03 3.155928357674459335e+02 3.352955987041928552e+02 1.887413639934614764e+02 2.889413208707141578e+00 1.213208043807214381e+03
1.428407453244607836e+02 2.139833023582104143e+00 1.215111756783976716e+03 1.215731207357746143e+03 1.218041034891351728e+03 3.170387998798409512e+02 2.180413747935547519e+02 5.592365442413900212e+01 4.137501717420177805e+00 1.215617475658533976e+03
2.248981518207705221e+02 1.745465316202858608e+00 1.214166336705886351e+03 1.211639461598291291e+03 1.217614985731717979e+03 3.258044148754146931e+02 3.255773750558198572e+02 3.547782534401976022e+02 4.473847540433669501e+00 1.214564695114301230e+03
1.042674257490816530e+02 7.468012983443897967e-01 1.213094840170529096e+03 1.214468669977630952e+03 1.214002750358343519e+03 1.304652470681053558e+02 3.092284824247583401e+02 3.814224933851018307e+01 4.582792520276472104e+00 1.214056377316066573e+03
1.794487002150955277e+02 6.137578113514642331e-01 1.213693251104693900e+03 1.217983310004539135e+03 1.218331362515889623e+03 1.373586722589259637e+02 7.579821352977572246e+01 3.150478582978505528e+02 2.943486040597794950e+00 1.217075284089420620e+03
2.202745559674425806e+02 1.040747338827011204e+00 1.218163350263678922e+03 1.215225314852434167e+03 1.213403768003211553e+03 3.360243598282800690e+02 1.950203524095332170e+02 6.142639062026908903e+01 2.689693779002110041e+00 1.216702788463721163e+03
1.300112197150691316e+02 2.503921233482401032e+00 1.213297271292088453e+03 1.211521122527613443e+03 1.217318147972128145e+03 1.694982069058207230e+02 1.825553066750662197e+02 2.707948804805000123e+02 4.790728026599651912e+00 1.214524837173110200e+03
1.889338861025184713e+02 1.820805799774137590e+00 1.211600194985550615e+03 1.219058293033538121e+03 1.213728498094794986e+03 1.691108938217919331e+02 1.457739060671858624e+02 1.758869203696593502e+02 2.597584426926659251e+00 1.214578232846035007e+03
2.797920403558324551e+02 2.689078744058242876e+00 1.210877579712091119e+03 1.218041302696380626e+03 1.211528241123760836e+03 3.159770159295707259e+01 1.937239528299427604e+02 5.124877085922774356e+00 8.236350512893308995e-01 1.216914204712026958e+03
1.678981064705935182e+02 2.418729140424558555e+00 1.214546656325645245e+03 1.213076778587582567e+03 1.211850441943417536e+03 3.509301914122325456e+02 5.490846025649864970e+01 1.537353991793589501e+02 3.332819306965183692e+00 1.213661675478272855e+03
2.546493315341838297e+02 1.491805861035721881e+00 1.217419547166088932e+03 1.212201628646038898e+03 1.216902613296459776e+03 2.637954407469729858e+02 7.291285647004586679e+01 4.166681203746325224e+00 1.338605431897654796e+00 1.216297120273579594e+03
2.683471515920919614e+02 2.194577412895629465e+00 1.212004565321547716e+03 1.212922941066074827e+03 1.214783943206852882e+03 2.846073017871536877e+02 2.805388977041998828e+02 1.619107006026966644e+02 2.709389295844779610e+00 1.212977874480164701e+03
1.683039630475177830e+02 1.262308851346845007e+00 1.219092475845277022e+03 1.213690779719982629e+03 1.218122376814795871e+03 3.285119892162052793e+02 3.907009779175714925e+02 8.240391895555569590e+01 4.762911529676871147e+00 1.216360013545064703e+03
2.996563186145767759e+02 1.376571627992160707e+00 1.211638597623172018e+03 1.219009859316136499e+03 1.213193606118024945e+03 2.183494681295926796e+02 1.561959993336979551e+02 3.938339911612184210e+02 2.564202424220568766e+00 1.213934047831403632e+03
1.878217753156414460e+02 7.528757004263785246e-01 1.210247393540161966e+03 1.219685667351255233e+03 1.215432164260551417e+03 8.905406659754126508e+01 3.211463017040276924e+01 3.797070935488803229e+02 2.666761026377713950e+00 1.214783050758510853e+03
2.553812897055620965e+02 1.137507550019542624e+00 1.216443273190489663e+03 1.219574795836399971e+03 1.211297525244512599e+03 3.678056859024190999e+02 3.181391162688098575e+02 2.810253433558934262e+02 3.786378190203266936e+00 1.215978082265747844e+03
2.254046704468555333e+02 2.644040763139166472e+00 1.210890808902332310e+03 1.215410990983239799e+03 1.217823242153713636e+03 7.757554047701198385e+00 1.388357186558287424e+02 3.677828187903633648e+02 2.282011683582970019e+00 1.217067597875357023e+03
2.573901377695493125e+02 1.648557209455829620e+00 1.219353256041175428e+03 1.216585903817380995e+03 1.214049881213407616e+03 3.351108678064892956e+02 1.466315698352182153e+02 4.395084881643596120e+00 1.888718529528926826e+00 1.218470604603035326e+03
1.158924020106807120e+02 9.550837677372070456e-01 1.214452528370943583e+03 1.219975929372236578e+03 1.212103939784175054e+03 2.977563157395960047e+02 2.787604998412365944e+02 1.771597766851415088e+02 6.503244209197725390e+00 1.215943394089631283e+03
1.293635651823364014e+02 6.205409443827374361e-01 1.211955399848387970e+03 1.217639798303580392e+03 1.219922277418296289e+03 1.912977703227819575e+02 2.612062323517168352e+02 3.795511213812201277e+02 6.431912439046860719e+00 1.217374076434688959e+03
2.714959728774043697e+02 2.485049489247110888e+00 1.215443168311772979e+03 1.213714158593861839e+03 1.219594964355161892e+03 3.195110499049986288e+02 2.938232668129782041e+02 2.400197830036145490e+02 3.143155644916061142e+00 1.216015603484816438e+03
2.687872702229474271e+02 2.341383465182202528e+00 1.210335553915019773e+03 1.211070249140064334e+03 1.219755752202735948e+03 7.631969708481926773e+01 7.962984841905664268e+01 2.324423639222552396e+01 6.666751061070264051e-01 1.211883983678205823e+03
2.605870148367156958e+02 2.003906845236552048e+00 1.211735658047903826e+03 1.217609384402244359e+03 1.219299246257767891e+03 3.639185498602186613e+02 1.043122333104962109e+02 1.455049614821073476e+02 2.355204633037414119e+00 1.214527154453230423e+03
2.756497323520677583e+02 2.273700987213778113e+00 1.211873717934520755e+03 1.216276947607452030e+03 1.218114993067519435e+03 3.732977750609015288e+02 1.154239279601135166e+02 3.234115323283859311e+01 1.890307862110808035e+00 1.213236486536201483e+03
1.172626363363032311e+02 7.016820358911249889e-01 1.219956627115474021e+03 1.218747189156032846e+03 1.213231379382315026e+03 1.902243993759819318e+02 3.666642954792953901e+01 7.515700681464183219e+01 2.575823341309635861e+00 1.218136401322101619e+03
2.746694857318566960e+02 1.768023454633632197e+00 1.211065214251947054e+03 1.217043972165337436e+03 1.213253054715042708e+03 3.259562878609191330e+02 6.672072195504571823e+01 2.996501234349943843e+02 2.520582624627027535e+00 1.212588329060761453e+03
