logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.358148830051021650e+04 -1.358748101479690740e+04 7.099999999999999645e-01
-1.358748101479690740e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.300240631038039828e+04 -1.300840152466708969e+04 1.584999999999999964e+00
-1.300840152466708969e+04 2.727238296066428234e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -1.086384846783905959e+04 -1.086984618212575151e+04 1.770000000000000018e+00
-1.086984618212575151e+04 1.181795273333026444e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -1.033853658733334487e+04 -1.034453680162003548e+04 1.915000000000000036e+00
-1.034453680162003548e+04 1.228009975971138601e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -1.005820505548789879e+04 -1.006420776977458991e+04 1.040000000000000036e+00
-1.006420776977458991e+04 9.670133985605151565e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -9.933471542170762405e+03 -9.939476756457454030e+03 1.965000000000000080e+00
-9.939476756457454030e+03 1.146322254727790835e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -9.012401024121951195e+03 -9.018408738408643330e+03 1.659999999999999920e+00
-9.018408738408643330e+03 4.934946002289002536e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -8.701467303888026436e+03 -8.707477518174717261e+03 8.999999999999999667e-02
-8.707477518174717261e+03 3.772095647324614447e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -8.549814211076674837e+03 -8.555826925363366172e+03 1.300000000000000044e-01
-8.555826925363366172e+03 1.302926456487086284e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -8.392173130750734344e+03 -8.398188345037426188e+03 1.594999999999999973e+00
-8.398188345037426188e+03 6.851875479906244948e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -8.246666428107066167e+03 -8.252684142393756701e+03 5.600000000000000533e-01
-8.252684142393756701e+03 9.625784393057732302e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -7.601094141862114157e+03 -7.607114356148805200e+03 1.500000000000000000e+00
-7.607114356148805200e+03 3.043376895918609080e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -7.498936488416077736e+03 -7.504959202702769289e+03 5.949999999999999734e-01
-7.504959202702769289e+03 2.706883190138763098e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -7.442511613166554525e+03 -7.448536827453245678e+03 1.060000000000000053e+00
-7.448536827453245678e+03 5.781384185749701743e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -6.949512726016400848e+03 -6.955540440303092510e+03 1.840000000000000080e+00
-6.955540440303092510e+03 2.735237629728264892e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -6.815703971023377562e+03 -6.821734185310068824e+03 2.600000000000000089e-01
-6.821734185310068824e+03 2.525339183735593451e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -6.624716422387795319e+03 -6.630749136674486181e+03 7.249999999999999778e-01
