weight logl C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
0.000000000000000000e+00 -1.358148830051021650e+04 1.049926972657001301e+02 1.599999348413389644e+00 1.213495407161016828e+03 1.212292477884819391e+03 1.212937758449469356e+03 2.686477365413756502e+02 3.754290795961031222e+02 3.147248199692759272e+02 9.132079288146679019e+00 1.212841340148911740e+03
0.000000000000000000e+00 -1.300240631038039828e+04 1.285581648568090145e+02 1.115589275056369845e+00 1.219413718133270095e+03 1.217473415935472985e+03 1.218237984683341892e+03 1.373037965026552172e+02 3.421959809990094072e+02 3.732160264174909798e+02 6.632918297090890647e+00 1.218120478140238902e+03
0.000000000000000000e+00 -1.086384846783905959e+04 1.257378875551238906e+02 8.148545088501404354e-01 1.219596027483608395e+03 1.214347050370748093e+03 1.212406989267478139e+03 2.301172935415785048e+00 3.721036276052803373e+02 3.680457880554577059e+02 5.904748385968080271e+00 1.213401596862676797e+03
0.000000000000000000e+00 -1.033853658733334487e+04 1.172072924794691033e+02 1.367990609908976918e+00 1.214338023507494881e+03 1.212948538953726029e+03 1.218639668762702513e+03 3.805476945741464760e+02 3.084156594396530977e+02 3.215676472512501505e+02 8.621741701285879245e+00 1.215282805159813961e+03
0.000000000000000000e+00 -1.005820505548789879e+04 1.038755536961253370e+02 7.528837306221142223e-01 1.213306868968733170e+03 1.219737524112866140e+03 1.213859890102567306e+03 2.246306878584143760e+02 2.748262041833585272e+02 2.582457958487412952e+02 7.294331158099783607e+00 1.215827815452136065e+03
0.000000000000000000e+00 -9.933471542170762405e+03 1.197854990046658230e+02 1.407146443265930635e+00 1.218313716892287630e+03 1.217788468265267056e+03 1.217430946031880694e+03 2.299497957859905171e+02 3.076883550757956414e+02 2.717083620815136555e+02 6.756631809930302879e+00 1.217817675821858984e+03
0.000000000000000000e+00 -9.012401024121951195e+03 1.286117086262906923e+02 4.813655034202717342e-01 1.210692742461937996e+03 1.219521941012130810e+03 1.217567375881798171e+03 3.768998408126606705e+02 2.555259762314076681e+02 2.957006312919196489e+02 7.216500412360288053e+00 1.215313797091640254e+03
0.000000000000000000e+00 -8.701467303888026436e+03 1.260682770539700357e+02 5.085556673588089716e-01 1.210414395769043949e+03 1.219934164098848896e+03 1.212561754173378404e+03 2.560665704188007652e+01 3.261118090382028640e+02 3.466233836042086978e+02 5.539393937979578908e+00 1.215925784653039045e+03
0.000000000000000000e+00 -8.549814211076674837e+03 1.020269062978691466e+02 1.134876858136435018e+00 1.217341760944025509e+03 1.215784147653432910e+03 1.219597710416203427e+03 2.674928264105324729e+02 3.085901390340407602e+02 2.459946350246776774e+02 8.057458863539217475e+00 1.217432126336653937e+03
0.000000000000000000e+00 -8.392173130750734344e+03 1.356871909274321411e+02 7.976158390517156249e-01 1.219241890766363213e+03 1.217881257531084884e+03 1.216243362225044166e+03 2.933446402145787602e+02 1.695476919073704778e+02 3.464022865832010893e+02 5.964414276495524803e+00 1.217673377473018036e+03
