A lam0 gamma C W
3.347157145157568721e+02 1.215666280374994130e+03 6.421737199670745078e-01 1.975673302519691106e+02 1.694185542158586966e+00
2.798569779580771524e+02 1.215599929220557669e+03 6.185661763582968042e-01 1.960782666390006170e+02 1.427271786695877953e+00
3.889200328473149284e+02 1.215746779735047767e+03 8.826852632500556961e-01 1.953566895902643523e+02 1.990820143722873858e+00
3.935538317766974501e+02 1.215747405505782353e+03 8.045572463550169084e-01 2.078398047066159791e+02 1.893544079933259239e+00
4.346962495411996770e+02 1.215762342167483666e+03 8.022337356895820060e-01 2.164226389482614366e+02 2.008552578665854238e+00
4.692009899473984547e+02 1.215670926510265190e+03 9.480509465125742663e-01 2.212692122936410328e+02 2.120498306491610307e+00
3.669667415758780749e+02 1.215689765213175633e+03 7.056809083290249696e-01 2.005765168003601389e+02 1.829559847931406358e+00
4.358131149774318374e+02 1.215652940670264343e+03 8.899232962808677483e-01 2.097762319047307074e+02 2.077514268515201046e+00
4.336783718554552252e+02 1.215664284919747161e+03 8.727551127119397290e-01 2.104470414492479904e+02 2.060748247487443674e+00
4.802030662947358337e+02 1.215695881248607748e+03 8.999325872187520226e-01 2.216486219188461746e+02 2.166505986536456430e+00
4.809482861356211174e+02 1.215608914148126587e+03 8.827687729521037641e-01 2.164972864278605016e+02 2.221497987670523866e+00
4.379624429803316161e+02 1.215761862393051160e+03 7.889261736002223246e-01 2.136740394660102993e+02 2.049675496727806578e+00
4.291876163445870134e+02 1.215868792707743296e+03 8.725123520249659093e-01 2.106734823157143524e+02 2.037217079373133011e+00
4.015993244051884972e+02 1.215760334174651462e+03 8.295285976367570147e-01 2.022852161075779236e+02 1.985312283976366832e+00
3.790169451525423483e+02 1.215658206414384040e+03 8.046600837769490866e-01 2.079434070425730567e+02 1.822692772726113519e+00
2.805000289045540853e+02 1.215714048808301868e+03 6.269106397189160296e-01 2.038184092701944223e+02 1.376225189417044747e+00
4.985424674195208468e+02 1.215751605179376611e+03 9.765575480128506625e-01 2.150699188943547426e+02 2.318048335083120914e+00
3.505860769242116248e+02 1.215751642790185315e+03 7.046823620974849156e-01 1.999647789083265081e+02 1.753239139603365748e+00
4.533728989400720479e+02 1.215623380228483938e+03 8.804564450241976203e-01 2.134476699568120068e+02 2.124047074544338720e+00
5.366416531573102020e+02 1.215701578044339840e+03 1.088894972175055820e+00 2.240570256214884637e+02 2.395111921479702755e+00
4.456735703392866412e+02 1.215642355549555305e+03 8.556462222218506053e-01 2.114449215665094073e+02 2.107752539230890232e+00
3.652420848604587036e+02 1.215657764206189540e+03 7.673541902520957247e-01 1.990240013437307312e+02 1.835166022160592325e+00
3.680724982822453057e+02 1.215675253253552228e+03 7.739108510738360591e-01 2.068323079036073864e+02 1.779569652405477598e+00
3.779374658811955783e+02 1.215790007385185390e+03 7.243945105534387308e-01 2.131174734442547560e+02 1.773376250071080573e+00
4.015993244051884972e+02 1.215760334174651462e+03 8.295285976367570147e-01 2.022852161075779236e+02 1.985312283976366832e+00
3.850445573622043867e+02 1.215733690895946893e+03 7.322093076287508051e-01 2.055850154100157283e+02 1.872921314786864189e+00
4.324561268933769043e+02 1.215732628689289413e+03 8.482047865634969597e-01 2.105497684991563574e+02 2.053937793311369386e+00
3.732778217461611803e+02 1.215719991172125674e+03 6.816857954676749376e-01 2.191618135483795982e+02 1.703206483385668601e+00
4.796646840892501586e+02 1.215694551296968029e+03 9.617030159319535088e-01 2.222347457361509839e+02 2.158369441737673977e+00
4.091906508562607314e+02 1.215661042137929599e+03 8.453397077717006436e-01 2.077836053980567783e+02 1.969311534817017595e+00
3.248392316730685252e+02 1.215595448249472838e+03 6.139962760922593743e-01 2.124722608692510164e+02 1.528854780120990631e+00
4.293973589071670176e+02 1.215716630940242567e+03 7.616675266311433434e-01 2.123740023898957929e+02 2.021892294137018542e+00
4.372052607771465205e+02 1.215721477416637299e+03 7.837729602040359733e-01 2.115393535027322116e+02 2.066779790794338822e+00
3.694581216494079285e+02 1.215796019093343830e+03 7.569030843155155619e-01 2.102789991866506227e+02 1.756990108752917612e+00
4.041854518394870865e+02 1.215666881351432039e+03 7.176558320625751053e-01 2.120273591496029439e+02 1.906289138630928415e+00
3.812185611701544872e+02 1.215654578711443037e+03 7.923025793376946568e-01 2.103308348696870667e+02 1.812471107274132853e+00
4.015993244051884972e+02 1.215760334174651462e+03 8.295285976367570147e-01 2.022852161075779236e+02 1.985312283976366832e+00
5.879461034550922705e+02 1.215657607012553171e+03 1.051127098243374913e+00 2.248139980844125034e+02 2.615255760161037557e+00
3.748659117826188094e+02 1.215742380245174672e+03 7.147515426949663242e-01 2.026431753663300981e+02 1.849881749557819699e+00
3.760201695353031255e+02 1.215687477427900831e+03 7.461038253585149382e-01 2.105247789369520319e+02 1.786108843975623639e+00
3.946547312584769998e+02 1.215740535804939782e+03 7.851202211063385006e-01 2.104090880934148515e+02 1.875654397034709042e+00
2.881619415931030517e+02 1.215645420172126933e+03 5.599217991581416642e-01 1.996710344008286881e+02 1.443183496583854586e+00
4.584958335238105747e+02 1.215692732048476500e+03 9.276576796073767728e-01 2.185900602878946870e+02 2.097514557249068101e+00
3.241052191089227108e+02 1.215733765125908803e+03 7.197419506977200676e-01 2.100180682658863702e+02 1.543225408104411889e+00
3.484673922384091611e+02 1.215744418479768228e+03 6.188103641783232467e-01 2.147135535124847934e+02 1.622940827618257753e+00
3.850624985987822697e+02 1.215727840375557207e+03 7.815372088322424249e-01 2.056572207794324072e+02 1.872350978679042877e+00
4.034483980638364073e+02 1.215692713046544668e+03 7.446710576295786366e-01 2.131198062527932393e+02 1.893059144326003418e+00
4.028737711770755254e+02 1.215638217689642488e+03 8.265652037536237451e-01 2.097298943852335356e+02 1.920917246241843790e+00
4.722859719655366462e+02 1.215615705153636782e+03 9.409536414237408275e-01 2.076103858545512253e+02 2.274866789643236853e+00
4.265588046966655043e+02 1.215587418114767388e+03 7.907868488470271018e-01 2.138624977689110551e+02 1.994547006355379182e+00
3.020765367096726095e+02 1.215676579352266344e+03 6.315387987348493049e-01 1.994980812499543958e+02 1.514182666905933727e+00
4.167352638698724263e+02 1.215679886994896606e+03 8.370472114940900044e-01 2.089084724550965007e+02 1.994822225122760084e+00
3.989699329970998178e+02 1.215721633861271812e+03 7.400165749979573659e-01 2.133522357060888908e+02 1.870005869292671985e+00
3.752523377854864748e+02 1.215763015296332014e+03 8.669988077812614824e-01 2.084468292525699553e+02 1.800230491061115323e+00
3.675773696494784986e+02 1.215701198499826887e+03 6.413072182705260582e-01 2.089527535065120389e+02 1.759141066490051752e+00
3.953448318835493183e+02 1.215769657837342038e+03 7.712255256251709934e-01 2.152843582979508597e+02 1.836384375572688077e+00
4.587253824838035143e+02 1.215754144129292854e+03 8.149686615790676658e-01 2.177213452573060692e+02 2.106938031003232847e+00
3.866762928460835838e+02 1.215692703445432016e+03 8.553407699581836443e-01 1.933270718454342045e+02 2.000114568306464946e+00
3.275643464126311528e+02 1.215747736343816314e+03 6.528263952910087209e-01 2.028009891809525129e+02 1.615200930407476809e+00
4.534784850659851827e+02 1.215635630552930252e+03 8.741148397082405541e-01 2.164381911018758728e+02 2.095187003538281356e+00
3.215059120783730577e+02 1.215740499257410875e+03 6.211660186006803253e-01 2.039725418183603551e+02 1.576221530664050796e+00
4.023803783895658626e+02 1.215714465638976662e+03 8.188117159533077061e-01 2.066715115078982308e+02 1.946956188851352021e+00
3.806246472671965648e+02 1.215728489107837277e+03 7.285571132352482993e-01 2.054372147310282060e+02 1.852754126196342499e+00
3.047286931600788193e+02 1.215683192370710913e+03 6.909827497519549500e-01 1.948529149714280777e+02 1.563890862011287686e+00
