logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.037564479453412059e+04 -1.038163750882081149e+04 1.415000000000000036e+00
-1.038163750882081149e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.961887594299812918e+03 -7.967882808586504325e+03 9.799999999999999822e-01
-7.967882808586504325e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.465462290510240564e+03 -7.471460004796931571e+03 1.260000000000000009e+00
-7.471460004796931571e+03 1.374033675362719293e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -7.458810593460090786e+03 -7.464810807746782302e+03 3.250000000000000111e-01
-7.464809513523093301e+03 3.514454123486678405e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -7.438130269168805171e+03 -7.444132983455496287e+03 1.260000000000000009e+00
-7.444132983454448549e+03 1.028005677817396979e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -7.193537335814900871e+03 -7.199542550101592497e+03 2.500000000000000000e-01
-7.199542550101592497e+03 1.249574288771698320e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -7.028847106938368597e+03 -7.034854821225059823e+03 5.000000000000000000e-01
-7.034854821225059823e+03 1.558951176514291603e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -7.011821761524848625e+03 -7.017831975811540360e+03 5.100000000000000089e-01
-7.017831975771076031e+03 4.451567865240584787e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -6.924412434860363646e+03 -6.930425149147054981e+03 1.700000000000000122e-01
-6.930425149147054981e+03 4.465557037650808070e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -6.817971984124167648e+03 -6.823987198410858582e+03 3.800000000000000044e-01
-6.823987198410858582e+03 8.123616456285698462e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -6.566644449890212854e+03 -6.572662164176904298e+03 1.600000000000000033e-01
-6.572662164176904298e+03 1.372002228253953717e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -6.540540942706655187e+03 -6.546561156993346231e+03 8.950000000000000178e-01
-6.546561156993341683e+03 7.622737062917400408e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -6.314036550435287609e+03 -6.320059264721979162e+03 7.199999999999999734e-01
-6.320059264721979162e+03 1.515886514438241761e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -6.171956059683710009e+03 -6.177981273970401162e+03 1.610000000000000098e+00
-6.177981273970401162e+03 1.365253085798202051e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -6.117959626541083708e+03 -6.123987340827775370e+03 7.149999999999999689e-01
-6.123987340827775370e+03 5.391105690963765085e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -6.105602114121363229e+03 -6.111632328408054491e+03 6.350000000000000089e-01
-6.111632324099959078e+03 2.474068492231797833e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -6.093694697906187685e+03 -6.099727412192878546e+03 1.385000000000000009e+00
-6.099727405435768560e+03 2.914279981911985473e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -6.082860603706601069e+03 -6.088895817993292439e+03 1.500000000000000000e+00
-6.088895798228281819e+03 2.430042973099163461e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -6.065423894966576881e+03 -6.071461609253267852e+03 1.669999999999999929e+00
