weight logl A lam0 gamma C W
0.000000000000000000e+00 -9.301537532156327870e+03 6.817267731451605641e+02 1.218493269954633433e+03 1.332923383054915423e+00 1.070434213135001045e+02 6.368693795283078884e+00
0.000000000000000000e+00 -8.221548940094942736e+03 7.094658482047553889e+02 1.218983076758698189e+03 7.720276470202019903e-01 1.206187647558864739e+02 5.881886202703230815e+00
0.000000000000000000e+00 -8.008811835895976401e+03 6.957246167365844940e+02 1.217846188809315663e+03 5.713543438265136221e-01 1.062475261728475431e+02 6.548148853882517884e+00
0.000000000000000000e+00 -7.865029662786018889e+03 7.224192564359411790e+02 1.212212963113432124e+03 1.058829331399627094e+00 1.201306647885572545e+02 6.013612408684126720e+00
0.000000000000000000e+00 -7.687085876899063805e+03 7.024346570091729518e+02 1.219367499386052259e+03 8.274385610062259255e-01 1.331912291492877785e+02 5.273880731454523740e+00
0.000000000000000000e+00 -7.649567401701970084e+03 5.960996138212158257e+02 1.211627502551678617e+03 1.411066038668585154e+00 1.023969659240386392e+02 5.821457778967999097e+00
0.000000000000000000e+00 -7.556660829284883221e+03 7.342319071386224323e+02 1.210806936775009945e+03 4.454761704990920501e-01 1.169360788868453938e+02 6.278916773403278029e+00
0.000000000000000000e+00 -7.356750422973944296e+03 6.214813671164624793e+02 1.217131079403373633e+03 1.021435195613334290e+00 1.101035571529303638e+02 5.644516700339158533e+00
0.000000000000000000e+00 -7.045729823395528911e+03 7.390056892127399806e+02 1.212310646466379922e+03 1.500478982463537170e+00 1.227194352823714354e+02 6.021912401343144872e+00
0.000000000000000000e+00 -6.844523958667585248e+03 7.499630827358724900e+02 1.217304368606873140e+03 6.405420352157629171e-01 1.267798918541272997e+02 5.915473438002128326e+00
0.000000000000000000e+00 -6.821652343882584319e+03 6.810294241763629088e+02 1.219012562734782250e+03 1.301097151810692187e+00 1.236167399635520496e+02 5.509200650147884737e+00
0.000000000000000000e+00 -6.690522088108498792e+03 7.129179493931078468e+02 1.212914262738786420e+03 4.550803257941175017e-01 1.382478619031023470e+02 5.156809946853215365e+00
0.000000000000000000e+00 -6.657318225738677029e+03 7.270079216365148795e+02 1.217301585219913704e+03 4.364894034644849485e-01 1.220865815193404273e+02 5.954855255909884626e+00
0.000000000000000000e+00 -6.573400938114354176e+03 5.857471680608648512e+02 1.218160460824999291e+03 5.454004784206948342e-01 1.198270120212891783e+02 4.888273171301288578e+00
0.000000000000000000e+00 -6.483910067047308075e+03 6.643625344447997350e+02 1.218595885626290510e+03 3.973221990689520533e-01 1.562951608425766210e+02 4.250691645622720394e+00
0.000000000000000000e+00 -6.249997816545581372e+03 6.051270148656483343e+02 1.211943969484869967e+03 3.969347166743342203e-01 1.107933412865412777e+02 5.461763386128302145e+00
0.000000000000000000e+00 -6.204752518761603824e+03 6.664016801513449764e+02 1.210299578059778014e+03 1.440168538282562860e+00 1.047160887175694057e+02 6.363890098575990528e+00
0.000000000000000000e+00 -6.005463807251252547e+03 7.222443878000927953e+02 1.211187377962715573e+03 3.687691332430230728e-01 1.339900899333087239e+02 5.390282133250135388e+00
0.000000000000000000e+00 -5.919059002976319789e+03 7.431411144569199223e+02 1.214611397390337970e+03 3.664763330199845015e-01 1.083860111622774411e+02 6.856430147099665362e+00
0.000000000000000000e+00 -5.769747116642029141e+03 7.148717767903704043e+02 1.217909820982250721e+03 1.217348317563682780e+00 1.425984139625915361e+02 5.013181822470381022e+00
0.000000000000000000e+00 -5.726066224571752173e+03 6.877421858925256402e+02 1.213977920044150096e+03 4.422404331681883960e-01 1.373019316038951843e+02 5.008976770090937336e+00
